Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1970.0,2205.1802974379757,2416.6200078168545,2404.9317893860257,2138.7921197826849,2400.2274063237974,1950.7767317336111,2108.2133874804958,1698.8491069641914,1656.5418014056299,2048.2743441418952,1694.4921668042764,1563.5912842640178,2346.6431419364658,2269.0655111566293,1797.4041355401259,2453.4140280760926,2055.1253730802628,2321.5074836913286,2346.7355774565713,2023.986183641397,2307.945768823407,2294.9649049951313,2351.390721929441,2324.5193689301677,2318.9087551977445,1782.690732571577
1971.0,2283.2023440974763,2523.83005227802,2508.5676681574414,2235.9405117157157,2492.9696789784671,1992.1738296934902,2152.5981774732668,1731.7661227220888,1700.0977018148951,2112.5737829207396,1729.7760608019635,1591.6196096256385,2441.0511521695585,2335.0068377373741,1851.0678198219334,2558.0109461566735,2107.5106269607559,2433.9816893903439,2431.0763430288671,2076.8809027099014,2393.9876429302735,2413.5554724260519,2421.8456627908063,2434.7204818398486,2420.4153321756139,1825.3358350847914
1972.0,2249.375637486025,2488.595856451559,2482.613416692036,2194.4656154949189,2439.5690401046268,1982.5875610213013,2149.0788824905112,1734.9886098834882,1703.3515105780928,2091.5007308617387,1738.7108179339552,1602.3257902631487,2390.4408362037425,2304.7416952787394,1843.3745863657612,2515.5833447028999,2092.5739422405168,2375.3887624799454,2382.7625392253258,2059.8637049774302,2354.9085449828867,2352.0014718199564,2388.3592426673004,2380.870045945604,2368.8393849250742,1825.7683442261125
1973.0,2330.3691697271097,2566.7053972187123,2541.8387627940501,2260.7305496709641,2529.2800805176294,2054.5375425918442,2221.1241486427393,1790.7047864186359,1738.7931426141604,2159.171480679915,1778.4852237873245,1639.1038887504442,2462.6908894704807,2367.2530704179198,1899.5266566105754,2585.2803305636144,2154.9734617867489,2454.9747936106151,2457.1928097848095,2125.0468372604018,2417.2158654413274,2436.2475569191661,2458.2542427236663,2462.4406404049869,2441.1510615393463,1879.6220682755352
1974.0,2269.6240184058943,2521.0683000456993,2490.7047948583759,2218.2502419515522,2461.4997624292519,2009.9055789943536,2166.3468849673545,1767.0753218387813,1720.7987080867872,2108.5964529026724,1765.1148604254286,1636.7729272906713,2447.8600634709114,2361.844215950824,1881.1368942694849,2516.4249067152587,2125.1219128167186,2426.2057180408037,2459.6441949430796,2067.1930195177006,2401.5728245761411,2375.7568948881426,2406.2984018790148,2394.0344117806171,2374.7869437847999,1836.4722524147135
1975.0,2316.2026121469698,2575.9819908187965,2553.203045075712,2284.9992504805568,2527.3778302519486,2035.993379679614,2209.5335546245906,1777.079405749972,1718.9400524006292,2144.326867487569,1769.8782734437525,1634.3040642278006,2498.9915302856243,2386.562165983195,1882.1733757940965,2596.7782502478972,2132.0572434446012,2480.1054342516918,2497.5291030824537,2109.1637179379272,2436.0060505434644,2445.0424052692802,2444.3058651675246,2475.9179429117739,2464.0564300479118,1853.9740989587031
1976.0,2362.9730029458306,2625.2572195086368,2587.0515221660557,2300.0888293342332,2555.5876029184774,2080.093135894323,2239.4734800199994,1819.7889890737144,1770.4743827885716,2197.0597759471011,1814.9544451334282,1685.7409796976449,2537.9921424666536,2426.2351349738101,1922.9562903454485,2632.8177718769039,2194.2695115694128,2526.1565319666515,2533.5095293870213,2164.3118336286157,2485.8763964926343,2478.7894650067033,2494.3817111996477,2507.0493532933606,2473.2689717767812,1911.417455910944
1977.0,2256.2607617151234,2500.5979997339782,2484.2435359368292,2226.2824563055565,2449.656304425358,2002.4012974961865,2160.2111705013017,1767.2867598458688,1707.3575382597471,2101.5829854213403,1747.6716695516957,1632.1891370942651,2435.7261723912115,2341.670236989341,1875.9520413463397,2517.7877193912063,2114.9897613701787,2411.443454554546,2424.3772927601626,2061.4517683749109,2383.6216171989445,2380.0049904300913,2398.331339770376,2399.7661571889553,2374.4701050352232,1832.0559564901221
1978.0,2338.9856484264974,2582.7393173206628,2557.8022124992208,2257.4699567683506,2523.2159354477276,2067.2830454869063,2236.5374462760783,1820.1629144466588,1765.778624624867,2171.2419641271345,1799.1784033324388,1677.6152700181071,2498.7569138267859,2406.842741822581,1918.7942234324516,2610.2582353016905,2176.417189407086,2477.236022388011,2489.0747069321519,2135.5564099380344,2457.8975870868321,2445.2619223217853,2470.8397280646677,2477.2311867238009,2453.345090049866,1902.7127023303285
1979.0,2343.520478721066,2586.2793836313858,2571.5911774579718,2251.8566661895529,2542.636706281256,2072.1281399023446,2239.6840302427727,1808.9004595404135,1752.8933269844572,2175.7397268890736,1796.8154769308906,1661.5742619255757,2496.5352082354475,2400.4657040885186,1918.7987541628049,2613.472501739172,2190.9709625045748,2482.5009324800076,2486.6762608628837,2137.7144835674958,2438.0028380910526,2440.7198867211882,2477.1165579322123,2463.9468027597754,2449.8931735160686,1896.6539869063222
1980.0,2388.1495607309444,2628.8496729947124,2617.2510181474017,2293.8472800831273,2581.954339743027,2109.6795479494681,2276.0165571722878,1839.9405601103711,1797.9103023341754,2221.3707229679408,1836.8373124122365,1691.8562173561054,2533.7757031743831,2433.000746018949,1949.224134124705,2662.5242846301689,2221.3384025057162,2517.6490973294899,2522.5579651815046,2183.9677159504477,2479.8462161287562,2486.9239855022315,2511.2727658912609,2514.4941011664696,2501.8530933755892,1931.1331908405896
1981.0,2322.8694057035418,2578.4226812664297,2585.2719297008307,2279.2128187599747,2519.5824706373692,2035.472628300136,2206.8052039119766,1779.1991697777958,1730.7038060622931,2155.3842287670373,1781.1538800586682,1642.6374741288141,2482.93110467508,2375.4499606090467,1873.3550722690361,2621.6092072852052,2146.4637164221685,2465.0123139304533,2469.2368153863849,2117.2397305808277,2430.5148495644753,2446.1055965994756,2449.6267406518273,2471.1828643906615,2448.773492612951,1866.0322865476992
1982.0,2433.3345558391384,2689.2056832921708,2671.1105760685537,2361.840959495978,2634.9088495140609,2146.4884553112561,2323.1696785329345,1868.043646935273,1818.4935713073351,2246.837202953599,1857.2049882403487,1717.2952947160998,2604.5712911558339,2485.4965360567562,1981.5805483526942,2727.1987592665841,2255.3663373406171,2585.2471617098104,2578.0791386533824,2212.1643048385463,2553.6532015713919,2552.5365790912565,2570.6632873618428,2581.9861218652177,2565.0016140928692,1964.758120186711
1983.0,2417.9487689102471,2644.0391436006234,2654.6616559276199,2384.388137837148,2612.3481318350923,2144.4482502282494,2320.1323336862893,1872.2754771418859,1822.434861375991,2246.1439722185014,1858.3064995768004,1718.7979121623841,2522.4740809429791,2441.1015063289806,1980.7181917855901,2688.2726632661675,2252.2496459667227,2500.6724328042128,2498.6569121073321,2215.2798824895845,2498.4242168160172,2519.5838812364864,2544.3666666944182,2558.7186572153573,2525.90856862996,1970.093014196751
1984.0,2430.8753808053939,2663.8734013578369,2660.5394059792643,2388.9943088087266,2629.4195731094833,2152.5844758164385,2321.8840682706855,1888.8682253351799,1839.0230799632441,2254.6772319655115,1882.055291965348,1746.6995468626847,2580.8637350285435,2473.58213604092,1979.2984139888911,2702.8408373892612,2244.6926720324186,2565.3587385120263,2573.3490246397696,2223.7049659255986,2530.6794509587962,2539.2249473118454,2549.8892778755626,2568.1952875984562,2539.1564896892642,1987.8121197675769
1985.0,2372.6913896245105,2590.9744973228994,2610.2476580055595,2318.0532044893694,2564.4057623459148,2103.5302815505738,2267.5138855191021,1845.3421374499133,1791.0984747539053,2209.127345391722,1830.1387490863412,1706.3694243560797,2516.49954479593,2426.6869947517794,1946.7111349621114,2654.383866781588,2204.8825741450019,2496.8795295879654,2515.9077487075388,2184.8300090333364,2466.2707559406267,2464.8904335470515,2498.2853842151044,2502.2708333437358,2488.3837862511818,1932.2442384823007
1986.0,2388.4293252900106,2625.0451960466812,2549.7210868809525,2276.5890647113265,2595.9884976690705,2143.6733145623939,2310.6718503725783,1894.5972053968635,1818.8084958701172,2223.2996335712501,1864.7522506185189,1746.3865327249587,2600.7838862527651,2503.3218866278089,2011.6000060115978,2602.5639741241516,2261.9121535964618,2577.9858505978773,2602.1488340300129,2197.5740203822397,2543.7872552788222,2470.3424273226638,2553.5471499358191,2477.1998898787415,2468.4271090764705,1969.2739644754279
1987.0,2457.8099505663331,2687.0465479950772,2611.6344408794434,2369.1351789609807,2649.1394396436681,2162.500279136309,2329.4865376741841,1918.8278646887934,1866.5488023553421,2274.6383573575708,1901.3155509326164,1773.5283463631883,2606.7072070030667,2511.2440750641335,2023.5244443202769,2664.5163175905354,2292.3660977959298,2590.6365676211876,2598.580395403158,2233.1486568895489,2567.0213466319155,2554.3857500895465,2595.7821311662165,2562.5608850627541,2542.5733868267162,2008.0954261702107
1988.0,2440.6626212431102,2701.4579194320204,2648.5734861343676,2394.6844536891008,2663.3413961097917,2183.2221696035399,2354.263296347679,1945.9626755001823,1855.5579235039484,2262.9020702190296,1921.1150355669506,1806.1117813872588,2635.4173873151858,2545.6236465209849,2060.7052812421098,2687.7500306048651,2325.4744245313159,2621.3113017923702,2634.7573380975714,2225.1705474871269,2594.5834237491958,2559.0206315372538,2625.886616308107,2582.0231183295518,2556.2504287867746,2009.5059071697935
1989.0,2400.3338038368533,2673.4500905855084,2584.4470017270178,2340.7345790419504,2617.7182086934567,2140.9551152552658,2318.2864486742715,1912.5955357345179,1818.5534962001275,2221.3614111712982,1881.3976084799165,1766.0952166188745,2642.7090485243016,2548.8689490517813,2015.8712366596017,2637.1613137762824,2288.6217414937078,2624.4148164277531,2647.4413824050912,2180.216555019706,2592.0920496709068,2527.5646480485184,2591.2999114809581,2535.1311398577177,2508.0137125828142,1968.5529684414382
1990.0,2475.1792971473624,2705.7234026506039,2613.9018155885315,2361.1538147016863,2667.1891827320487,2218.8167846357301,2379.8442858965909,1933.1881030825011,1882.0462162158051,2303.5388433682688,1920.2216556183957,1780.8878466986735,2654.4771111966347,2556.3829425471326,2040.414179431898,2680.7618849857326,2321.6888628572851,2627.9661254970088,2649.8998383172939,2270.0842482535627,2620.8623498597763,2551.7165768959221,2639.4263487004928,2587.0326955987375,2577.0824951970903,2034.2983736079102
1991.0,2420.7711800147599,2650.9112051664843,2614.9039487018954,2329.4433136012876,2596.8143607687025,2159.3524040074071,2337.2231479539819,1904.9445636602766,1861.0148738426719,2251.1081920878,1898.7838472929193,1755.9574621556981,2578.2023317756625,2475.1680146490125,1994.4882928428335,2676.8994516813973,2253.0456411425312,2563.166189074876,2567.4146103998846,2224.7103386827266,2541.1353028876142,2492.801238268778,2552.4731408504149,2529.636334783921,2517.485838509037,2004.3528062422217
1992.0,2354.3366968497476,2579.0202240679182,2553.5517571703335,2281.2390472855545,2528.3574800544907,2099.8333735298265,2284.9032129570305,1861.3501742316835,1826.2505425491611,2192.230963121453,1867.0155794453287,1724.5270841520367,2504.7442832168899,2410.433399170734,1934.5902438021367,2609.431886720392,2189.1839393601572,2486.6246580919938,2502.2304081566276,2169.6790525181009,2474.1354154070659,2433.3681059629935,2482.855637072952,2462.5134505224878,2449.2188916518403,1961.910544009005
1993.0,2429.3787196983271,2651.3850224756175,2624.5109405127896,2336.0744132812656,2605.0240802358558,2161.9415125995024,2336.2153721582963,1913.1665701012207,1876.0249288111622,2264.7717175509079,1923.8934944085472,1776.7455633680481,2579.6449572049401,2485.9102217797763,1999.1173696837736,2685.0628387633433,2257.9572970088489,2558.0317208675997,2574.755406206536,2238.4934447087817,2550.5046620382209,2511.5372968591414,2555.0333549574598,2544.3545494397681,2527.1338012335327,2009.0248726436566
1994.0,2315.9817726382057,2530.3476002347043,2503.784642522568,2248.2021488522028,2496.2727673826475,2058.5124501083646,2227.6055963219223,1810.0147945175522,1769.2077627228148,2156.8034604023755,1823.2994582760907,1685.9172985501968,2473.2741069610597,2395.9250493876593,1894.8309394454234,2553.6706260810943,2158.1858255942893,2449.6949668482821,2476.0225831595717,2128.7350889837808,2445.2702635114497,2389.2431215105576,2448.1288305234116,2414.2355441394961,2398.082249843324,1899.1596101874961
1995.0,2487.8151862148779,2719.6944065292801,2641.7123343215635,2385.3369485783528,2678.5635425988621,2203.7404129841948,2358.7040411598732,1923.4207422423035,1885.9565510783759,2321.064029212449,1896.7498403518025,1776.8024717515468,2643.9883553943646,2542.1474295128637,2032.9869989212471,2715.6863880117066,2309.5706448627739,2622.785295142975,2633.0267733460209,2288.2124623750929,2610.3539411742627,2588.4725557774605,2610.1014417008219,2608.6391027720183,2592.1079873741546,2025.3793038529675
1996.0,2489.0684283613082,2727.0184362500067,2565.0431184641648,2325.5624670351763,2704.0222065434637,2247.6581382020004,2403.8384937905021,1968.6936608036438,1918.4919785881441,2323.7295959563985,1944.1919650556404,1821.8781434223542,2670.3166067136513,2576.2152441091025,2072.9224542882116,2629.4810284209398,2347.2828187174041,2653.7229026191881,2670.5176442924212,2283.9036749930901,2641.6014422993421,2543.8626753583962,2645.0694687174314,2546.7860974624391,2532.3020878452967,2061.1616312896326
