Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,1662.881820841377,1518.1633247911225,1501.3844486930066,1573.8196302741112,1533.4677567731351,1743.0303809978789,1670.3790737221543,2006.9897253306503,1915.0433531922806,1738.0282612190726,1923.2976114043217,1999.8301239366849,1530.9457803460045,1599.8492028579437,1858.989110681724,1456.4788593687281,1775.977828261874,1557.3224582091702,1589.1104472133134,1728.1479084681146,1503.6631065475628,1534.6157578659268,1592.2206725957051,1550.9021118132584,1547.9990802439142,1837.3597139507594
1952,1760.9505035497596,1630.2269273766183,1603.1084616485118,1675.8322014300916,1634.5434340856491,1845.2265184708201,1759.6314478813763,2124.2208223864081,2055.3360701295505,1849.4142202073101,2039.4648839095537,2145.0468322361962,1668.0512135565286,1724.3234677908476,1978.1827148807745,1581.366831906874,1872.2981218654259,1684.7014062776188,1711.7176679583999,1854.8538279137426,1634.2906083285382,1662.4914209242568,1678.0076912795405,1670.3306219701476,1651.0385172395247,1974.9097417503758
1953,1609.1497959863482,1507.5331404156614,1546.953048703049,1633.6039627627788,1503.5174817166653,1674.3300713217791,1631.9697223044782,1963.3883352245368,1941.8633233468352,1676.7101496148864,1887.448840808167,2053.7127089119203,1520.3913047550566,1542.0934117920353,1785.0342142999739,1461.244842307929,1716.2368914605117,1559.5819839426692,1565.4600607649061,1685.4245493888973,1459.2682802501047,1519.2288720506053,1531.8724191211984,1519.0466029655322,1520.0709199780613,1895.3784076154718
1954,1719.9757696291604,1604.3140795071515,1654.4739589366868,1781.605212206563,1602.1697966424417,1810.8026854111401,1774.0783931903054,2115.0038247630209,2082.2239134067067,1786.3438618928444,2059.7409053697897,2235.9898603334145,1623.6439095088676,1680.9426091967889,1956.524134204597,1576.7564589388976,1828.8366664360199,1650.6372812360764,1669.6377038518704,1793.6132984917986,1587.4780512851269,1640.0364400466742,1648.4171065816086,1644.9816588694605,1646.8892553694527,2032.8396296659555
1955,1629.874828293679,1509.3954282064051,1546.4654164899093,1706.7685422843206,1523.0494473077656,1704.1817741227926,1663.3679931952324,1992.5440982764137,1944.6023420320357,1685.3491485607865,1929.9025004018781,2077.6188039269246,1505.8513209364235,1584.1304724855086,1861.8918442246331,1505.0649407650039,1736.4948883950983,1554.4081554651652,1534.1949496744496,1684.7654752951646,1510.7695681542232,1540.0567420729046,1577.8159959093434,1529.4442590070018,1552.6252405698419,1903.4170080808135
1956,2125.5743378107113,1959.6786444247157,2004.9669432401599,2074.056772937482,1982.9174837552796,2267.9953682004952,2259.7175483522838,2597.7346655095271,2515.8224813291563,2190.2864329728955,2484.0791889330817,2633.4115170480841,1951.5110802085451,2043.5860121758028,2449.1013012082021,1955.7320778488322,2231.1967534142377,1993.2789883375226,2001.0955725230478,2190.9579322063096,1946.1719092494461,1972.7929698050366,2047.7845283184099,1994.2065737200976,2023.7820396103953,2488.9303235169264
1957,1628.5561764611441,1520.3574219970249,1535.1759461793101,1648.5487944490283,1527.6758916988035,1708.6075112841338,1674.8195086846636,1979.4718447507571,1968.6985284361137,1686.7773468576054,1965.5312900510019,2099.3752999318103,1492.1232178934422,1534.6726882007347,1864.1323671738492,1483.3884272589294,1713.0256795383223,1568.1972281026417,1531.7238260942211,1688.8261398811396,1473.9194225350718,1527.410204306422,1555.0671575861963,1533.9626291475438,1541.4901630754036,1931.4390380439352
1958,1750.7604388011973,1650.1553749345912,1672.03647213209,1779.1758636975603,1662.3902475224013,1843.4534115625354,1813.0777055815611,2088.3893282019576,2133.3415633802579,1816.7555414672649,2096.0476099370148,2139.5927926158852,1573.0991369190235,1617.8119844236451,1941.7217126624739,1643.0651757319301,1813.5215118160781,1640.9403495717702,1609.1987382208979,1849.7249507584891,1596.0083530831118,1676.6423888757481,1661.7690210576473,1679.7349303686376,1681.736713452796,2074.5920020667231
1959,1672.2572574896442,1568.6318508459851,1588.3280090981691,1699.9591808374175,1594.1572096455188,1793.6102174272944,1765.4080945884034,2066.3657853528425,2023.5834718991412,1753.5800081390346,1993.9932602919259,2082.2516273082015,1533.3418288410692,1593.1430958419437,1917.2042733363207,1536.9234346344444,1766.8103089004094,1582.9726580814486,1568.9510254752145,1766.5838414128382,1553.5616997933446,1562.5141950194504,1605.4097801683236,1573.8070654761987,1589.3244349540967,2005.8616549514063
1960,1862.678320331052,1739.2517648382159,1747.7216871428654,1877.0941707382394,1756.7448508051798,1977.1672801391808,1895.7491112948139,2192.9322921375297,2213.7422426297189,1940.839520140976,2142.6902482995615,2209.5728090106345,1712.1307865083302,1705.8353887452545,2061.2936695873404,1697.1008106054267,1934.5730532158807,1787.6817917391813,1707.4621119409599,1944.0545831215734,1711.7393027886899,1707.0902016455459,1745.8582915272559,1686.5373130696335,1762.6741648742075,2165.2305956777323
