Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,49.300740926701728,49.019442249989716,36.635814170162639,38.14171681528741,51.541929589675298,47.516954442585096,49.232051912195224,58.216716055913864,51.909978753726492,47.744444086061364,52.128480440067371,56.632945972425631,47.021029042391973,49.199581169135804,49.926575112985113,40.65486544982565,52.296814546352394,46.843144910487169,46.353520509407375,49.313471467657706,50.87410526815745,40.717025745030661,50.903257161517992,41.70918529267324,46.793260580912452,53.046554058454866
1952,40.916895025035885,38.24282918110805,38.529513905711092,38.82361676948284,38.585171781283869,41.669650453955242,43.67417567250601,49.793140643965302,48.406470820965708,43.329368007766149,46.060715760339001,47.134730170582102,40.780031534767247,41.791723898305868,39.964805121594438,37.535886812514704,43.553886769235774,40.161617585194747,40.912211985123115,45.708825756222268,40.410942733878535,39.466622138391813,42.236666428339909,38.020042930029526,37.609576842540569,48.887994497374002
1953,52.807472150270769,56.443396378939873,58.356239095636859,57.783387615160336,54.171162490987825,51.199842606196974,50.27323850940143,50.987628144554712,52.040993963020789,52.939293082916095,49.556130188238136,52.58124643675167,49.71088233847064,45.919931664313701,49.98371234857288,55.893421588731847,49.155446605964535,51.150153223335977,46.901606131958879,55.206154334322491,50.96905219618926,57.966397113722543,50.158752303430489,57.351348198808758,55.245370753003748,51.578707039982987
1954,53.309033114823627,57.048192226167409,51.602624407526235,49.882941432436994,55.835298313939091,47.888101612682028,46.215875340698339,53.475484126018195,51.131636654090926,52.919948190187789,49.813375101738828,52.185596729569475,57.071730843910821,55.529550278096181,45.295942468430844,50.846305655078858,52.289268363942298,58.192615004609117,56.563385501219884,53.599196590021862,58.919805672034748,52.014273372329363,54.385169369093916,50.878806134424828,50.968967005043531,52.33598426069527
1955,54.651732858357178,56.732553930919089,43.11622281021728,44.270132095206918,55.680826651660283,54.469179832375445,56.27104454472245,59.425139082579122,64.858860904897128,56.745543677682555,55.252042689341081,48.83872442776358,44.080982461784913,38.246428413683937,46.464466677108298,48.067657567903922,47.57532182419552,47.373430349044384,37.632007421743445,59.474571764519979,49.041171633690567,48.753707928158143,50.067396592875475,50.538664149923811,52.924423688432114,63.375634668934332
1956,43.447659871576455,49.282216809938781,43.795062147074553,46.544120282177566,47.076063361624477,41.740669026848167,41.217711769056791,42.877996747234235,40.973989854926309,38.459713023546222,40.242733002981538,41.605108145601847,45.560588931069617,41.946406550964184,38.526720251929952,43.090668165333753,43.798278891689471,47.220283995312059,43.369739246083903,39.880821633351459,45.470820237657463,47.224685674246601,44.938918010626111,46.041581777507851,46.15571203929504,42.565819806961549
1957,32.130384488881788,32.596637170900287,30.978926498552806,34.48081439065286,32.184473551104723,34.181639978953051,33.145426968992261,36.696554255712925,32.166774080114052,32.861044643367833,31.563399074072727,35.374119422968747,30.512574216081919,29.142750448702511,33.510012142396576,30.069484236875834,32.380020488091652,31.892415623147734,28.721247895237358,33.714243340338861,30.683641131249651,32.251242248124186,30.892786747271856,30.547520404896925,30.443363104608238,33.674382049334952
1958,49.94909912447654,55.134113918247245,54.936957234338628,56.479966952555202,50.686474710070392,43.381247469761512,41.584695826306422,41.525680352398425,43.207237269799123,50.527308458962317,40.036878583450871,42.03106033473847,47.863584593329612,43.174270577089018,37.420374101958302,53.670062007513899,44.450636136956099,52.294676216242756,46.261290118015474,50.377481674720762,47.983306316418606,54.333659831696451,47.886013405779629,54.149951592587328,47.610612902411368,43.96090645891281
1959,50.710271564099429,48.257232072105289,44.228935311879297,45.40114982813121,47.291647950962648,49.674229599171248,48.382373875082457,49.927252277865307,45.431573415430428,48.967215566232476,43.649130401410687,47.767496771600293,43.406950211136156,45.041160120995585,46.313962200955871,44.156636826908468,49.073837942268462,45.95170590929412,44.41520778870845,51.475439925245688,43.249300763911648,46.684349873791,46.357630972372071,45.725779469816914,47.964184578572635,47.90107214643767
1960,47.432069103976865,43.293777931992523,42.65364934017019,39.890988459008732,45.56367004824795,47.948399452337412,47.551120911257613,48.558637069247951,48.60047058295148,46.006886378083074,45.475585611257614,49.28094698632195,40.1236274263673,42.216767448881015,49.460607759820782,43.316009199349523,47.815834046892547,40.340433411627153,39.886910821904188,48.96309542728325,43.581619133242306,40.264370063480129,44.902506189694087,44.384269203315746,45.221538086449939,46.96853484189311
1961,43.21290949865265,46.077411943183606,44.16926091018054,46.717553507808987,45.328330225202023,39.693200830237672,38.867279817096865,38.596985701689505,43.118566970383881,39.169729051650549,39.537990968829909,36.633105165798483,45.874737857558081,42.670332561587863,36.62500897223952,45.872910750357562,42.255147785204365,46.913757307774041,45.29845255995248,41.575729283841241,44.512917631602015,45.312023803916389,44.126953048047724,46.312574173764965,44.385891903864241,39.832438195639135
1962,45.144457243192093,46.861226633333068,41.770589513347588,45.205471657229836,45.579353568649644,37.418437617977126,35.833959778350682,39.938698905577965,38.377518837746614,41.908785340885686,36.331909896012206,36.000367471557773,50.419837299490872,47.923037606307979,36.813343925438843,44.577688215606386,45.495912193754002,49.358888824611554,50.658103516054375,42.774731533495704,48.313693939825399,44.66872494102153,45.268775126766023,45.801983320693957,46.238166483822255,37.896054991516188
1963,37.464576052034147,38.142045462251382,37.763226908208033,38.605141208349728,38.292407274600549,34.469322667849198,34.086374175061316,35.603379165861178,37.32328656798316,34.334892037063454,34.689081826771428,35.471247017598458,36.189385747193406,36.414609789713097,29.865178756502708,38.436258049221792,33.975311588841556,36.999741868734873,37.783796937495289,35.928066082379679,36.254927379622337,39.74413290087201,37.448561560215396,39.131010781924736,39.894568459680265,35.513032519121822
1964,35.789186243014143,36.397343124460541,37.775990059574163,35.769775190166463,35.376975606697975,29.935346773642216,30.217694447833605,32.979555518031624,34.857910006343808,34.747952762820432,32.079213304729187,31.444150827751258,34.875718281447732,31.304255569824399,27.112168867144177,37.527583343944123,29.861508926178598,36.335021311524073,34.453750496429699,34.868615737238983,33.390465735558138,36.021947503838661,33.918931436815235,37.689873520756201,36.319163312983534,32.376916649263826
1965,29.065123496547908,25.339238383226014,23.769872355406051,24.997188915237572,26.035102084494813,27.806152919403015,29.905520649832745,34.086477510117319,31.462792024905514,29.047039530512659,31.384186420746918,35.135226754185098,26.363046600027975,26.882452783896237,27.719450136673192,24.841158347137963,27.873499949836969,26.113951129565184,28.031007719265336,30.190523589239127,26.094841831216467,23.831629888099926,26.876177705963997,24.767962418177287,26.493855626266367,31.837226103112684
1966,37.627681645838557,37.22364454123646,34.32660594327556,36.594214587035793,35.584463917890965,35.288339637456794,35.389438263721395,38.940050763342803,39.798879890418455,37.230708249188247,37.876030038787732,38.077852208460527,35.719290927203723,34.115290228696438,31.583868746777476,34.179123509932239,34.112062191043137,35.860887677584664,36.169308599787357,38.710258286432527,34.100533500733206,37.536108371066625,33.639848927181141,35.199186736676559,37.302126768459857,39.386431212469624
1967,46.683129909609924,47.404033871429455,49.245259460507981,49.8252931857756,46.506502585030177,43.615665861835915,42.23242981663617,46.181840278711881,44.244507491481428,45.242470258997173,42.280794459840664,43.409934803678063,45.111239155066706,41.387639453613126,42.226144494183664,45.604127186475488,43.964060817127503,46.220113440739091,44.770838038452737,46.028169279560224,42.730292419411008,48.479283503687945,44.249515549182462,46.944358670830091,48.012699827309255,44.452642161974708
1968,44.522922201644796,44.631006458741489,44.708529781286359,38.890251715301332,44.782143134701293,39.800010550973866,42.193367878035403,47.17918813303173,45.584891495472121,44.6821882209913,41.727936890301933,41.035787600404625,44.790847631211165,42.404557183499904,39.353214248742965,43.476706433650449,42.792400761368725,45.340653722089733,43.767099682465208,43.022350963157727,43.865324219691587,43.749691702608779,43.159376185818196,45.384883406195634,45.984245219428054,47.680141972017651
1969,50.053417123034841,51.717918803156181,50.548225212205416,49.760457288381581,51.553328801513416,43.643849275297256,46.851880759026919,51.923366791702769,53.692260921850483,46.082778546767543,48.372361418110692,47.384322051531505,50.048461424537422,43.964230274269539,43.830666860621506,47.449956536158957,43.48658070233094,51.273421210630168,48.416713450408388,48.889545085792577,45.725692282486513,52.879637443322657,45.137648243894496,50.193654885585239,53.327410232419112,53.015887611888751
1970,39.062409971294471,43.465846439672156,43.33319542915487,44.999767395441573,42.218973728640933,39.027681238042916,38.778860501485241,39.351282954060181,43.39537313738964,39.433786668587075,38.707773648969408,36.487792855219539,41.578676876651535,40.130898623873748,37.490641367836254,39.310329479875385,39.95176041972649,43.457183476599504,41.727665412500791,40.810116843690381,40.974309754691866,42.921805909747292,40.286103885503643,40.292223529105755,40.33452524962194,42.013806614370246
1971,39.380398543275057,35.930872484274019,38.113353343116771,33.020937554765823,37.253865859509368,39.747531757956246,39.728346564400795,43.185818823227493,49.023478671092064,41.253162718796645,45.114969131408671,42.607670024167739,39.553350457180265,38.824721394476178,39.28721720894756,38.21036778155657,39.228311271378054,40.366260948284939,40.737105517291901,40.82300520678745,36.030749009843163,38.061517461439792,37.921828586607326,38.146313777761925,37.63531195140478,46.060767808962417
