Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,0.20798697231429172,0.0,0.0,0.0,0.0,0.018881757114680847,0.0,0.51819491143063745,0.0,0.11095270079637934,0.02767805774420876,0.0,0.0,0.11119200183983413,0.0,0.0,0.066831063054637721,0.0,0.0,0.0,0.0,0.0,0.26664030282359619,0.0,0.0,0.078638208854721448
1952,0.0,0.0,0.0,0.0,0.0,0.0,0.13056427344768079,0.40738940142450436,0.30000981942919303,0.0,0.49931051471140375,0.50057199332868596,0.0,0.0,0.0,0.0,0.099863289589733409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0784568067074709
1953,0.041539636300655942,0.19015936263894379,0.036998377120271937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50024393592358685,0.0,0.0,0.0,0.21431088683236396,0.0,0.0,0.0,0.21062402228230825,0.0,0.0
1954,1.0415809062672592,1.142749199606395,0.85182673567379297,0.42890425671520682,1.0434914281469967,0.24534992748698906,0.17340550499772428,0.74077243468373788,0.89993090712770796,1.0,0.72255652715265417,0.071357145902854066,1.1666388003836561,1.7777843866390199,0.0,1.0,1.1001633778403705,1.1537336337621864,1.3750157535409648,1.0,1.3994792920169921,0.68405488600733122,1.3994950918067648,0.94736976851226251,1.0,0.60456021120133496
1955,0.29139576090029512,1.5699574536671466,0.0,0.0,0.95560391046741033,0.037707225234509874,0.39154086292289153,2.4069058852661271,1.7999604843712809,1.3332969703360482,0.77774729040371715,0.071428820831475864,0.25025077174886862,0.0,0.42866701058766249,0.16642259853063007,1.0328654358122202,1.0012341758124319,0.0,1.5001759528991128,1.2012414686020136,0.47290813639940243,0.066693321519636029,0.49943271900167396,1.0,1.9985115711253791
1956,0.0,0.047551665546947869,0.0,0.0,0.0,0.13228438368335363,0.21819717829860949,0.0,0.0,0.0,0.0,0.0,0.16655515193842402,0.055428073481821161,0.0,0.0,0.0,0.1534244040996359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1320219314688853
1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,0.0,0.047551665546947869,0.0,0.5718608712591694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,0.3328533030563976,0.0,0.0,0.0,0.0,0.77377552384749937,0.95648578080161373,0.51841803204315218,0.20013818574456357,0.5550927540579994,0.0,0.0,0.0,0.0,0.80941234843712073,0.0,0.300223062119647,0.0,0.0,0.8571026320537164,0.0,0.0,0.0,0.0,0.0,0.29034414590927848
1960,1.0,1.0952448900219536,1.111139244510432,0.17807815121104176,0.91318953411477222,1.0189004752074577,1.0,1.259041631487251,1.0,1.0,0.80487353518696891,1.5704299297662696,0.83336119961631017,0.94457192651817878,1.0,1.3333334655458169,0.96660109592430166,0.53910832837597567,0.87495273937710527,1.0,1.0,0.52683326564316324,0.9333066784803572,0.97395555169218195,1.0,1.0261952334055853
