Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,47.126523761413893,48.841970989166917,48.815847538801471,47.936642970508927,48.645615829207244,46.229684283491572,47.064887234188241,43.23323347070756,44.245899975195954,46.267365854550619,44.154660830627371,43.351157603177249,48.623107786670445,47.90899098148472,44.939941858524186,49.40278506045015,45.889492955500245,48.298799988526639,47.986014502963158,46.362633792625154,48.990411553397422,48.579001096499951,47.977622205807918,48.36131614666165,48.41058927832718,45.17999702535112
1952,45.901577145554576,47.353891592096389,47.606936599613178,46.785930254948255,47.336319679307508,44.957735907446157,45.918533681451649,41.911791012961771,42.659487080908399,44.914252070580574,42.832332139837142,41.684210513524278,46.899814016968072,46.286520106550043,43.498010955890827,47.892651192180203,44.654599087204794,46.710967071188058,46.421100275376403,44.848483755036213,47.294230074328503,46.979179159209103,46.841617321517163,46.898066446360502,47.126380467811934,43.558189295422039
1953,47.642201651313798,48.748543396941763,48.202723969892716,47.244193756075454,48.808097979451652,46.946748516371549,47.459181191048081,43.727101319294484,43.930535006018722,46.896051615689217,44.507402515611162,42.700011149050738,48.533022550333015,48.365585427840308,45.718147856414269,49.188013303355163,46.487106132423428,48.104082555735488,48.058161692485577,46.775055137485865,49.263848940191458,48.559612723114121,48.56396301969162,48.5473078963646,48.556096630258779,44.498686970825112
1954,46.45016751253862,47.806222756312486,47.083706112373278,45.691550221668251,47.832553881673526,45.427814042720627,45.871603364886056,42.059691366597498,42.375084700043729,45.695513058436887,42.618191661481639,40.70078311863314,47.474752903776753,46.844377004408763,43.837861259063494,48.013595401730726,45.200421826167648,47.181542288848291,46.931343831255226,45.56326569573983,47.932621550557968,47.348059225114753,47.268463088542106,47.270549832227253,47.269948466287637,42.966587042225569
1955,47.743046014328741,49.142381086796867,48.323644139139496,46.472806029671794,49.018696780965591,46.868971042294724,47.336042350259568,43.503242421295205,44.038784929659045,47.089114806958349,44.156061664815844,42.492999262153226,49.175576755069763,48.434707728376225,45.081942989327921,48.940111411904937,46.606237508531549,48.561336731459988,48.914958108730652,47.033456583800572,49.234866796020441,48.60027287523242,48.449707813591168,48.692003178590156,48.506140410789314,44.551331803241467
1956,41.965894325345801,43.858133403267978,43.219216375928418,42.455843815251107,43.555369153430043,40.425020266827097,40.522005293705128,36.770830273199024,37.663010752397376,41.293654662066388,38.03936999663641,36.384723983758846,43.934625312825617,42.954189816676603,38.390575067511065,43.847567861703766,40.779825754685277,43.445345374464409,43.407793852542071,41.296413257300543,44.014147293040473,43.63526994272852,42.806508699403992,43.407145008793186,43.121400716736069,37.984746166991251
1957,47.552618104101207,48.917058742397501,48.50485503236623,47.144919854295196,48.770044131598191,46.596183431904109,46.993846333652286,43.522773239192311,43.640486897690657,46.878767158818363,43.683653746063506,42.211128499005106,49.179421445011855,48.712448327453558,44.806066384434828,49.225338071592709,46.569042054185438,48.326599395480599,48.762675298978181,46.771123106219576,49.437428118756095,48.737155398780423,48.408902059141489,48.595551294697735,48.601529504480929,44.118209171110891
1958,46.008363061552409,47.107547696220429,46.825801746092772,45.661068682315516,46.973527048461939,44.972847749072969,45.297176098642687,42.300330307835395,41.811444754166132,45.286730048703838,42.219421308217676,41.744636887061368,47.966075839443057,47.500896816317471,43.89850781142114,47.140533912749909,45.333446993342655,47.202510001569649,47.577708944131437,44.905332057531837,47.732126435279426,46.789456584478728,47.009952083060767,46.746928421143103,46.746027094630271,42.451838562399836
1959,47.649158951051341,48.70238112568866,48.130586245798249,46.678453598562349,48.578831470246051,46.107310125259197,46.458751852261301,42.87716472368345,43.404295110128302,46.632868546364477,43.735216790357839,42.674599741739257,49.208828271404094,48.648133392129942,44.632653627045265,48.987555617801014,46.505562391796495,48.52167475562301,48.820972039169476,46.427480907581213,49.09423773057555,48.637115595756889,48.533894883073863,48.591709028895224,48.548884253654919,43.662139142755947
1960,44.759635783409891,46.1108302603797,46.015086244567108,44.596740801528199,45.911609988589603,43.514509991809689,44.405833878435757,41.165887289940976,40.93762628493414,43.925642415752108,41.72045668645999,40.983480646391172,46.393331771675058,46.489690485366758,42.599448889160968,46.564540565621691,43.993518900829763,45.571226209085829,46.458702334474879,43.879398966616584,46.40373353420037,46.459283501684268,46.071854808254272,46.690410506985799,45.844082961074015,41.477670325810969
1961,44.131304138377025,45.222735214105718,45.705663796437541,44.313788126634293,45.375983779808102,43.187553805265445,43.067901126269327,40.081902794183144,39.913374895825463,42.992993454773782,40.505632023858006,39.446904209880017,44.924057230525129,44.995567242434262,42.028066452759653,46.220046457026427,43.302680248323448,44.628998342833775,45.539469117244693,42.972017533715892,45.201782833663039,45.381869151981903,44.923828062050028,45.718734036326587,45.3190064381401,40.434724522595232
1962,45.797052654703812,46.828858799556421,47.098199924664549,45.907441643553547,46.638607759826719,44.488773659829889,44.862666000059441,42.126063851280421,42.381831110622848,44.730460187174842,43.223926169753888,41.804895519431099,46.120706846280754,46.620313877558011,43.401225728363691,47.611778275671767,44.858628853968007,46.019464855681832,47.082269080244068,44.716090615044621,46.109675273386095,46.755222581287953,46.311973838451422,46.598663652164184,46.504906720738617,42.643889958987735
1963,45.782456534237106,47.242659380768842,47.780107532375894,46.446528510141889,47.162327954539414,43.568470460881372,43.876933168260486,41.292663853472718,41.399329341853885,44.346481611918016,42.240999208240574,40.584129367699184,46.912850267559634,47.023547947811679,42.66126645225485,47.952376375683208,44.728135497020098,46.791961699102131,47.88905551982451,44.023948387483813,46.234866498087911,47.483506151031669,46.38340071212685,46.93751573622518,46.667603445842055,41.761809433321311
1964,47.060120396255449,47.742186995777494,47.806137570054148,46.002669652681348,47.953989332655084,44.947449940143208,45.509031528419918,43.013323954500592,43.002389750045303,45.881034294226474,44.010916590567255,42.436585864653544,46.885410372201825,47.613239505409624,44.43956073930547,48.354560352674781,45.860709243148996,46.725016172978663,47.84604995454044,45.318324334214694,46.750864268708369,47.810747347770764,47.353356228752233,47.668916821339621,47.774235965287332,43.724446297840103
1965,45.540096020399112,46.206604208432672,46.282149466404192,44.653519581096369,46.450957156208226,43.864715130537476,44.430103108462262,41.645401673982313,41.535797004992027,44.525602944856068,42.18785205848026,40.359633299969332,45.957566797264676,46.327362140172923,42.935125402925181,46.881345379272553,44.537788431332679,45.685428879748514,46.797124505407751,44.333689863025789,45.726622589959632,45.933598202614697,46.034969012569888,45.738095530969296,46.089569343309719,42.483416586567778
1966,44.564996950817473,45.828646279377637,45.860932111559137,44.335971268395717,45.908974821188501,42.57506032333886,43.010276128131594,40.056954815947691,40.266109221975682,43.305727086556864,40.875197059914825,39.199044353411239,45.300628540765821,45.502412531415558,41.897349661125943,46.22911812693696,43.531095374574193,45.165839358908059,45.984122559249556,43.126266106675914,44.941621587905054,45.080409564918298,45.243041486044184,44.928237896933368,45.378746076150797,41.339749198878906
