Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,38.862922938066156,41.675305721499036,43.47915529645644,42.760169290465889,40.37232200213009,36.829573410552186,37.225752008119812,33.184578364717879,34.919953342670546,38.186381412626957,35.00494373521105,33.607152959944521,42.099060570375805,39.045493609760037,34.316706795739123,42.638815190519395,37.167652662452575,42.378190584830868,40.906783202375152,38.406185817208204,41.09902234601627,42.20374946582519,39.379613754861573,41.41978960474178,40.775660025522058,35.001012106170634
1952,40.062837921299817,42.060452194954863,42.794201167514707,42.515843543848788,40.919659836736585,37.671519117308236,37.572538303259165,33.843255602608892,35.008703136476576,39.576210005034476,35.299299546811284,33.827606497766681,42.388580973985,39.409320807592451,34.772634097020152,42.513546551232153,37.956277940879104,42.704815261192564,41.407343251141306,39.031917087052392,41.610911068265118,42.061031002956796,40.381733155166771,40.830265589789853,40.707602999780008,35.062296981245119
1953,41.776726791834591,43.319976979190727,43.532728471135513,42.110496699498746,42.09573256313071,39.063481817680263,38.22429568520279,34.602573193946206,35.324651838782763,41.4552237452789,35.626632891013955,34.099595734999838,43.429264209209315,40.747842230621167,35.828807369783526,43.518157325669179,39.190302288014379,43.742613230427565,42.57099157324177,40.305108604555286,42.771541516903248,42.847636766627218,41.682785069980767,41.694963258030079,41.659921641621317,35.223738646224206
1954,39.655200040665385,41.416632236043064,41.696258321118108,40.524673626695403,40.388681857868832,37.383324074384547,37.115111446477997,33.461801491723214,33.783458918620298,39.320457044048567,34.27920252706398,32.860295004313762,41.791421163881097,39.047620261786072,34.136415738479357,41.785093247866683,37.219225432641686,41.973926664445074,40.813506770564935,38.583825364707231,40.991041932483469,40.888773039290555,39.617283052643415,40.001121047491459,40.021390517148212,34.150633268196522
1955,39.630221552409033,41.446686159358173,42.036611414138996,40.615279077304272,40.360112524274122,37.490010822570071,37.273269400350728,33.555239187453118,33.869662551866384,39.381814637357365,34.221077564128024,33.093649698888719,42.012110844489392,39.339177005863547,34.109142511336813,41.510410736153204,37.55979084827019,42.001750488119463,40.935645988285614,38.709401172266404,41.187031204657643,40.973724766333874,39.727029240567802,40.158438933803723,39.914790342384634,34.165892414356435
1956,38.132114830527726,40.517857641536104,40.982453223203557,40.286746928455102,39.098427953899858,35.64896663497624,35.204931992421209,31.747088082805689,32.716319171064519,37.993642292683717,32.902912829358002,31.638986842749048,40.923702129534988,37.854102490844845,31.818158720128729,40.771178436790642,35.934466057991699,41.001879707558032,39.61973468416128,37.447977698388236,40.081362579316917,40.297790097153246,38.079104884776321,39.230554658685023,38.826523567584999,32.479594943110421
1957,38.662857409158541,41.616406847728122,42.082911252992965,40.906842302453057,39.822486074768072,36.75636975885601,36.344765179235466,33.014216073846264,33.845710134461505,38.787982799704153,33.78258915237798,32.929294917197097,42.028529074741449,39.350993705156334,33.342432731371275,41.858228574019854,37.049165890200122,42.17834514395247,40.963985852885216,37.964372916773101,40.852059578999175,41.206381713214029,39.396850136623286,39.76201699967914,38.921967093647766,33.611303270780446
1958,37.683308012999184,40.291264251058827,40.971436334637588,40.110578978673466,38.722453251467954,35.593675675294733,35.318516851298654,32.161209978228776,32.600625477314658,37.510387506662092,32.863851335407503,32.349405136381762,40.849092976081771,38.421942423715002,32.659675035968384,40.660085248071461,36.137819339148933,41.046903412025124,40.019774049231081,36.602533266119792,39.343892758255947,40.117163825461496,38.370710560822872,39.121765788915724,38.256012477956091,32.585934430835174
1959,38.982516404752872,41.277564087835543,42.110922766685405,41.001997299866275,39.879648017835954,36.997829301604327,37.285510070783346,33.981982923501143,34.50927614440856,38.246483040780213,34.717287230778986,34.21010871187633,41.753670976384704,39.577585026496742,34.627721916412519,42.000255471876365,37.411199783790572,41.952870225446688,41.080752434030984,37.793587061216456,40.46186250684049,41.538062425388276,39.651431466824071,40.732662156738819,39.502717435268117,34.551574049872436
1960,37.366624577281193,40.093056850487145,41.425909910934934,40.065000560074772,38.465278525793615,35.477297577926009,35.696019247686145,32.345786548830681,32.456471130644587,36.088651847944703,32.733645717756836,32.250013860514386,39.232116807205095,38.342406408683104,32.871416863701299,41.077900062041856,36.210635963758371,39.781840679429166,39.956624911342601,35.754553839837136,38.41750533270605,40.707773006050516,38.149522674014605,39.781080626177804,38.115158456517513,32.494621566166686
