Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,77.734669745881959,78.531971980361078,77.959387060162314,77.335250947067536,79.335181528967496,77.963406674137985,79.432376513736344,76.137505263502746,75.875834730245188,76.806701511053447,74.790958925733847,76.430438114331707,76.703650128960263,78.845692019630476,77.868753111593421,79.008599043084971,77.064494473280604,76.358946751553916,77.251316282479266,76.913694572549915,78.854535171433625,78.629913732114161,78.903302876360002,78.597991355800986,78.504917479182282,77.733977682745333
1952,81.795554911356234,83.006659562742726,81.711198501816867,80.8883983894263,83.87449058255757,81.35885694250419,82.433590083403402,79.523216494236081,77.914570421743193,80.823737559992281,77.221653270886335,78.985462011110371,81.017252012917012,84.03027890759472,81.045814477132751,82.855530854972443,81.481287417594245,80.871506362450816,82.447016890497011,80.666236561418145,83.424766138061159,82.633108207967211,83.302025362554474,82.757884784298312,82.747932333985815,80.080101833920125
1953,80.700888716048894,81.40943674633769,78.921579444843061,78.457643783027024,82.309257619510163,81.226014227141661,82.693711672859649,79.204823994140384,77.994010808359306,79.859875902061916,76.764334938191951,76.759160056428541,79.340829675402546,81.955181229640274,81.129308890882683,81.136142792350043,80.929938723093727,79.131839411576834,79.431917364221192,80.195933075765325,82.079739239564688,81.158098285367686,82.41541898275932,81.094592356391033,81.244848205929515,79.774247924016294
1954,77.316851807357637,78.129844302702196,76.220675119383145,76.153505474659326,79.142899247770288,77.347849984380346,78.513615975828827,75.624127681605898,75.133100155018525,76.166514368598911,74.100181241793948,73.973330176019545,76.853270871603414,78.703507287983768,77.644996900776746,78.599569901832098,77.254356449197772,76.427599534951,76.633166798452081,76.431281731920464,79.022176118150981,78.435300333334567,79.01869585870773,78.738866335724921,78.608177514689075,76.375476714309642
1955,80.799563460078403,81.638263572810388,80.330017984133249,78.868283828183692,82.615554116223734,81.471044906026435,82.617261948569819,79.437545639871828,79.171078834812647,79.815564688481885,78.252518744596458,77.629076510606922,81.584029571579194,83.945469799731427,81.835334543888791,81.510359597332425,81.75859555899136,80.600079021933368,82.694691486498755,80.146042792819642,83.195541687987841,81.995336429593891,83.12922088910662,81.862332360716678,81.459987801768051,80.451011775284229
1956,79.336542058711856,79.610441513946483,78.628104544809986,76.982747421343547,80.52751413783875,79.163979438775627,79.719097127667155,76.378702480732755,75.981471450678754,78.482521334736802,74.643511386757325,74.109086454571823,78.717902885808229,81.50399472450475,79.117449160209219,79.82672999051816,79.552039895847358,77.902864309137314,80.174509581216455,78.529073392007803,80.649061755592982,79.733461487473704,80.847869936289811,80.042278460562571,79.879503785809362,77.088078884579261
1957,81.56116175593219,81.437767922188044,79.999361460875804,79.144089875552652,83.1324373196328,80.392289916003662,81.401851664431703,78.410060830784431,77.309425491470535,79.686248980136526,75.953218246773773,75.687508453661493,80.007060072347358,82.734176537546503,80.464473616353629,81.773678237304267,80.917847723397387,79.292643413065562,81.399747578935148,79.704924306136704,82.302232992097629,81.588917105106518,82.295974811231261,82.024195679142196,83.30807643420674,78.428932779945541
1958,77.272653407252164,77.733381325641702,76.474712366935961,75.76590020678259,78.847429173643221,76.5092475208953,77.4413186532949,74.662683002143481,74.291221886022328,75.654489668243798,74.189696788514652,73.315209657670636,77.913722494451079,79.751268180545594,76.995777110359128,77.509692617273643,77.23699173061452,76.968716695727451,78.700740123222729,75.538654129010141,79.256292205147759,77.841479085260275,78.8574048475475,78.037259940648809,78.634101895229023,74.970797587688494
1959,79.788070443682116,79.420621918547965,78.211576434599181,77.293122995185257,80.903778119883043,78.634185093944296,79.939689869895716,77.035241394464961,76.979405160867103,78.553566073542839,77.593132094275418,76.936940103914679,79.484456193664172,81.485512167227995,79.57010704808927,79.832218803126224,79.191453404578041,78.33294859533261,80.147622147577408,78.515126941617709,81.079277308717451,79.787460686590777,80.813637890589973,80.18938977479786,80.984822821313131,77.713431189266316
1960,78.825535654356528,79.651090928281945,78.755833848478829,77.575477682051556,80.528316651950618,77.687900582785304,78.713107594167894,75.580694632636806,75.561886032756448,77.794355827672817,75.812744220654281,75.023465808725277,80.092521418815451,81.757050162007602,78.373266993426796,79.893761223870868,78.827970337504766,78.800541450520811,80.773320848562733,77.754398623223068,81.145302126154405,79.687211560732763,80.844069731295477,80.00486163462071,80.289728734393563,76.316835501333458
1961,79.202805667485805,80.014692595958394,78.828760728412732,77.101813425909526,80.657945591069989,78.616526889148929,79.407551688242179,76.208643368216656,75.977506154951655,78.032277474779221,76.326866132201005,75.271191073648822,80.253980118017623,80.92847565418711,78.916301407102935,79.932963923333133,79.25975898429806,78.918437488499151,80.578219774860287,78.034842944208151,80.999348039083145,80.213499579454208,80.731707466449279,80.346437383593681,80.4171025544955,76.676238890094623
1962,77.692486063350017,77.998802577461007,77.239913717665502,75.893177607914339,78.85093775926093,77.720496163373014,78.43818013066543,75.822629398186507,75.387386140861352,77.044922550561026,76.105715912574297,75.028893975430037,78.799192172116534,79.135867200872127,78.042996337873305,77.658122190938144,77.942777725489478,77.33409699105367,79.025182815789421,77.713454448413003,78.409392478807888,77.952846633767834,78.630495688005141,77.974253830267003,78.247670311126072,76.18850670335668
1963,79.663996545789345,80.669137731004184,80.23806482326394,78.77179816766693,81.400897183223989,78.576767189093943,79.381230253000595,76.801858289895989,75.347405368315904,79.047072791569349,76.144410598444423,74.789769501904374,81.12988824707088,82.151173562576261,79.363246239035973,80.28605263054105,80.198644820308729,79.728170155347897,81.638918445607644,78.74386111121153,81.269861818714389,80.565465795438129,81.422921697481598,80.434661463265257,80.401563119952712,76.603751014551136
