Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,504.4033215942751,179.59448453662833,566.57463624021477,403.92281176912184,464.26356449396508,255.22905114100749,477.64271715114677,370.80319318726447,403.53448742480595,503.19874351414478,302.37668886968936,491.79222044755005,545.36095891795753,635.63997499545826,331.78460169546645
1952,669.18502587212822,268.85250699872569,746.89214193233272,480.82967177621771,678.48994412586137,382.1634784124924,608.68718662148319,466.05698076271619,566.93071890608167,726.39557473628201,417.00654538593108,719.94683364453419,724.87379770128109,869.22306176612278,519.04585291006606
1953,470.25679211601266,245.76311793045812,599.63203009915094,355.64120421815932,584.79119948791026,404.35961685730109,611.60277682181049,484.7536936547445,517.21955477673748,664.65257323154788,274.64188164744797,616.71398545581235,596.76963416474962,785.36787125148373,530.30545913197204
1954,297.14998878385427,115.06271037822665,421.37099065713278,176.22054371472777,405.87927392079752,207.31330524823593,404.9395209006417,286.39775789418229,327.05679639017103,460.99249362918499,180.42628954816738,433.97863818459138,419.02928676950233,603.76367190494977,298.94074549240736
1955,592.59328411784008,345.12550949572437,785.22107113056109,414.37611609242623,823.7290376983492,493.75458105394262,723.4350667916533,588.12687042914683,652.06216183966978,842.80391363040565,319.55876743338126,758.92712924243926,763.61554959875627,939.58274012898426,644.55642743345106
1956,392.5757837882266,129.98611044622675,550.39339745247298,349.68567205441622,536.66521860647822,220.8788953080668,449.43231388213161,304.84556441138449,398.27950286680897,552.00873846543095,201.38448813047054,497.33456891913789,507.1111784086176,653.67650944133811,392.97601315637326
1957,507.75670502928426,213.07467924474741,671.95272287384535,448.02893604247538,624.26729530596901,327.36951133887789,543.22489143867176,396.46555851320329,492.58090866737808,637.71016075000648,332.14686199771643,641.01016684304375,614.61835215149415,787.51923579017466,457.82334626455128
1958,390.00442858666258,145.49090920948174,493.68579389623369,262.47827815903389,491.41750342367646,225.62912358840623,367.52864062854042,257.03810066119667,358.62072873890497,495.59282045025657,182.08625092435273,474.09751040272278,464.97234089191903,555.99583797586104,329.17111167245736
1959,589.73439517483257,385.91646557311947,833.30447416841525,435.18635339922218,789.25836928396745,505.09969838656929,724.53417345293838,566.41119327726733,652.11290353667926,828.96866189931416,309.68285797532951,783.96594115725861,777.78954404476576,865.30347740750062,614.72170306418673
1960,388.97911496597857,123.68616908581183,540.56976968356901,221.89006037618054,502.48658015772577,211.6756039388618,362.65511085058046,250.89421799109269,357.19130629781563,493.21369521974066,181.29481625871236,457.79445870270337,508.48723008884645,594.9173158270537,310.98557597256445
1961,477.15547339299718,262.23777932738824,685.0962826519218,421.6516979743534,633.63719380004829,382.69591355756205,575.77623751462443,434.59055551890543,515.19973144503979,663.17623416773847,267.58290948326606,624.10295715917368,614.3134118090021,744.68959871702441,491.18350340428185
1962,290.70755146989217,141.34379235555809,392.70376602211394,231.12221247175802,384.68725780511807,197.43058423322512,314.62548402512971,236.81652778564467,293.56018643946175,383.08482692975701,170.29563660525605,368.15599833945663,337.32179652876874,490.43334324123259,286.35267035691908
1963,443.09208549390132,185.63899377303335,552.18618113644482,396.90995257119749,556.71519901992872,282.21697440820731,363.69295408407345,305.6876164899046,402.47356209467085,524.24713940512549,257.11198492422312,494.78700878390896,500.26224330553538,715.87742429492096,376.35283766492603
1964,341.46168263559156,207.82353549179624,457.59303847881159,307.24013821198798,416.66898592563183,267.28063022966433,333.84990589266084,328.50704003612833,353.19956495282139,440.35206545176652,203.54938846563198,451.78307697538406,412.498367894502,567.71763648620924,338.94922223943729
