Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,18.038925156543311,13.309743106583385,12.203157987698873,17.000480367910097,13.097604840476992,13.704398243913555,13.999873879257466,14.46291489989998,13.795331090237399,12.847765230472287,15.000000000000002,13.46683296442807,14.057059950555921,13.999834244405964,13.696008008894536
1952,22.3068098402453,23.043523430747143,23.280444694977501,23.749909931016965,18.74778215545189,23.448766263252651,32.940608337173671,25.880683351617517,23.115748321884524,16.693395060468902,23.250059906896936,19.434852900571297,26.107509590824819,15.667715526762155,22.88161870193743
1953,20.346308493952851,21.122988617184049,16.902943647159667,24.251170896780817,14.437688937251776,23.983784579772582,23.787117876437279,25.072813867472991,19.415079616559836,14.355851088758712,19.0,15.701500845231635,15.643502968046064,13.666721984626625,20.172238340833438
1954,15.894606603819156,12.103218097799505,16.255322486066163,13.0,17.463236057783767,11.962850235983836,12.213008041881309,11.756031230028377,14.141842231758757,17.233954002357613,19.0,13.665075160956304,15.552550115798875,18.833360893170394,13.167948755317845
1955,18.863033015500246,18.10225790496229,18.518948394485815,16.125045034491571,24.659893023970728,24.315514760112592,23.319344061999974,24.048493163369677,22.164742070989455,23.982134389242503,12.000000000000002,23.700019817849888,19.846359010695441,23.666556229032587,24.151510579832493
1956,16.347183435401448,16.427027073558769,15.273796726158121,14.000000000000002,17.655821377785756,15.536276912482609,16.596972577240503,14.999733081095158,15.7358096828216,15.624825169039141,24.000000000000004,15.166819012141351,14.6028437858348,16.668046641378719,15.15318595316916
1957,34.699604287898424,21.194954961657583,23.409418522743859,45.0,19.804373755842331,22.555896687691007,19.061281955397327,22.339304188792656,22.487493791178959,24.65812032371381,35.0,20.16583180605577,22.631620687694529,21.0004968702107,19.595997285318244
1958,18.861321951317795,16.724226010104569,19.175737457666475,18.624984988502828,17.222056019475616,17.703118483138141,17.405252856541733,16.146181629219559,18.192134421192705,18.898808649701042,17.999999999999996,19.233449558300485,19.490717922226963,19.666390671724258,18.848821180947724
1959,18.006645975563508,12.347131066479665,14.224267270953625,14.000000000000002,14.046778543872476,12.278141272376027,12.936072444294155,12.586136566617911,13.604514787372601,13.86473533235459,19.0,13.70015128942933,14.113235724781564,14.0,13.47315541474191
1960,16.242660139929413,17.4848014553897,16.494112610276204,13.499939954011309,17.561502643539075,17.444423874938995,17.319092250843791,17.17096233822161,17.426304111134506,17.865529724770539,15.000000000000002,19.267504076208652,16.922157027606186,16.999503129789368,18.026817729171427
1961,16.066162453209941,16.210931452061676,18.255317963278962,18.250210160960727,16.0,16.852755234865917,19.02313663281198,17.415318121714513,17.586789356902038,17.237149839837453,16.0,16.0,17.588457836426286,16.0,19.670089673886665
1962,15.173675120374652,15.321395841493473,13.650327584698847,15.874954965508479,14.562975274527323,16.094545527409377,15.382956961155411,15.415100250912085,14.572521339779732,12.543328454215182,13.250059906896936,15.267110811643199,13.226211495441376,13.833692404358636,14.430339477378412
