Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,1709.2721404135709,1285.4634677007004,1774.8034839451927,1645.6391183777407,1669.2357936796043,1406.1770580912428,1684.3976678946522,1551.6328354289205,1583.676652974131,1706.1653267160552,1513.1270635650635,1684.2857464993008,1740.6675205754286,1825.7052772868512,1505.2894766037805
1952,1946.0278427451078,1459.7662281122816,2027.8302265550242,1768.5551273715091,1969.4154777792321,1607.2201319266017,1890.2319878167527,1722.0124983165629,1827.0643429749657,2004.8820199793261,1684.9741488775028,1994.0535472710783,1997.8772010863916,2127.86461018505,1785.7278405077961
1953,1629.0076712460732,1264.1943259106426,1797.1948545677351,1546.4947523428636,1776.408184988619,1505.5241857190686,1775.751765822059,1612.5075405042244,1665.7018220228781,1848.7835254559593,1449.7432138269432,1803.2482111310469,1776.2175943461457,1979.8530596950091,1695.1283973625336
1954,1519.4863674894916,1155.8834930638225,1640.6609195120059,1422.4080009104193,1623.4112919595527,1346.6533685533188,1594.0684465405398,1436.9169340585936,1502.1741900638583,1675.0854994635631,1393.4444986051903,1629.3998905718374,1626.9616440395259,1790.6482319326039,1483.4015199035834
1955,1818.4253340549999,1485.841828863345,1993.3166082949303,1628.4857275364632,2009.6460075530861,1682.7270736878429,1928.2719509374272,1781.1234864984951,1840.4725224536062,2025.5648524569674,1505.1321951858026,1939.5300383759754,1960.4578186929207,2100.4531500465332,1837.8425422300693
1956,1615.439219054653,1179.6509226228025,1791.5492268628147,1575.8316261742518,1777.0899527066429,1379.1209442465893,1681.6904015919386,1487.3605450205041,1596.9140068553927,1793.4269640138791,1375.7125277688572,1720.8935837278082,1740.2551449128266,1888.5352847666475,1607.5996993254114
1957,1716.3455900534798,1240.5495254462162,1873.4687915478955,1695.761154895778,1808.1030830915181,1464.3085580151896,1715.2055839384614,1537.4198155471463,1651.8011088669432,1818.8604270492219,1546.992450186463,1809.5417180288457,1806.2467866679415,1954.45124051426,1633.5769495689044
1958,1579.5097331093784,1160.1469918554656,1703.8131965243167,1461.9222227716468,1694.3697109572699,1332.2438046168527,1531.6372666111056,1364.2745376075434,1509.0298925916825,1685.5460282727418,1317.6222537975054,1654.612321557157,1662.2993088066773,1749.717715515935,1485.5991577738828
1959,1681.5192594041432,1456.4026590582923,1875.7965373698164,1544.2606907439283,1835.9556461442276,1588.8254350181335,1788.7771774624964,1633.5589208434294,1712.5563980324723,1867.7919010757573,1395.1340087836352,1815.2012629474541,1812.13946435246,1896.6211001539289,1685.8780035693981
1960,1662.8485472792579,1197.4300914084872,1828.9884498746997,1486.2970401576126,1777.6753709760926,1377.0217581506079,1608.9042190464356,1434.827710707149,1580.9673443120653,1763.5467522330266,1405.0147955776893,1727.9692851587865,1788.3028810714175,1871.2022123241909,1534.4950516265919
1961,1676.0105498390735,1285.1920956583922,1860.1264989166327,1603.6386757126904,1779.645692951741,1455.3577221992193,1679.6381082778348,1518.3109893000196,1636.2312089279824,1801.3711884303823,1401.7649535863513,1782.3811809292008,1797.676514462795,1897.472418327631,1611.6407696658675
1962,1503.5195705992041,1200.7174639585792,1644.1835872020438,1483.6936175460773,1626.5785440564193,1335.1586048366266,1515.626951615609,1381.3002158148281,1476.6567894156813,1601.7273134937279,1362.4345150675517,1579.4333216079663,1564.7588512076663,1725.0788335653722,1463.5949581989798
1963,1712.8374688266069,1253.1525138557743,1826.4917514774315,1688.8352625644795,1812.9397090281452,1432.7782625267018,1572.8883316424829,1473.5810033687055,1606.9026645586384,1766.0593346377418,1521.8352133159592,1727.726433015875,1768.3157681886187,1949.3450867181009,1572.2923947894824
1964,1533.7170900606548,1196.595605229383,1643.3279381889618,1529.657235103112,1582.5040524714416,1323.627974145423,1448.418120520229,1420.788182049894,1466.6914177165056,1591.0787865067898,1418.0547934282658,1591.0284233237282,1584.2463884378367,1736.1499162421226,1428.4592437765511
1965,1652.9630342594933,1215.9683505186269,1750.9349602302327,1615.8160537441472,1715.7581950494844,1361.4152262647858,1549.5774573153874,1430.6354859449191,1545.6564674694262,1708.6215939443282,1452.3391902185247,1705.1652988666169,1685.017229212599,1890.9192209477824,1495.6252477643739
