Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,1570.9139085312429,1971.7339977466402,1494.8688935148177,1651.0081165198612,1572.4859265834543,1890.466942133387,1596.7530736714541,1737.9017212787564,1689.2543811013563,1574.899011181441,1704.3297891551013,1565.7714513101289,1541.3542950824453,1444.881957446009,1764.8669968430029
1952,1676.0084789873242,2102.1962087750053,1592.698314789689,1790.5312390255724,1699.5786382753145,1994.2866238285035,1707.6585798125602,1848.3696368661458,1801.808489832039,1683.2014876056039,1836.6027308448645,1665.8863957828173,1673.0997508997057,1567.3586064529172,1867.4018221714248
1953,1629.5105429565726,1974.5250325351094,1494.8421289242772,1674.9436931693613,1553.0499293603186,1825.2130049072348,1594.8722753805328,1751.3236758213941,1667.1441563858432,1527.8821867214945,1755.295275678604,1543.4830289944127,1535.5377079078489,1436.7671980788696,1695.4608003364351
1954,1776.9088980502411,2144.689568227142,1607.2120989449475,1868.9234090343934,1658.6511367636001,1982.8590305808989,1707.333844321915,1891.2417454022645,1797.8227164188011,1643.8675257555478,1861.5624347863838,1652.5107322622805,1657.6513084620256,1517.7089054148589,1821.4546317520619
1955,1702.6317127805264,2006.6414335732381,1498.8933270667319,1841.522430927293,1540.16547226127,1872.1830455371783,1588.1478248626943,1772.8938771228934,1694.4954016600407,1571.1824259553657,1864.9556251195045,1559.5979610777747,1554.6070817394359,1439.5809477087773,1724.8532331440649
1956,2073.1225531839336,2568.3390723666635,1964.8567641928221,2039.7769195030774,1994.8400294020262,2483.0814914883404,2150.0479135612395,2362.1135380599794,2197.5554361186728,2026.3291906664138,2111.1792768084597,2020.9427364654184,2000.7048510572688,1884.2768514510371,2247.9437874196296
1957,1647.5105897975768,2036.922417356592,1491.1755478130742,1636.2426013078939,1536.3576274350685,1871.5504820599954,1606.1450767212089,1786.5391175258951,1689.6148088779926,1539.6749823056657,1787.2300531120507,1562.2055990296162,1550.0915774880018,1460.0857490584933,1721.5751615883573
1958,1776.6138793972236,2148.1162388450061,1640.3941549905824,1787.3078163242708,1612.5303676576377,1967.6171447223985,1782.9953384273563,1942.6251166145371,1813.8475444632784,1647.9873642672239,1889.6874111221227,1691.4587006040435,1692.9360447821064,1602.4659825551703,1836.6884644633174
1959,1698.748807761521,2060.2395881240454,1545.4678365860179,1786.9164160640235,1569.3880144994976,1948.4510293193357,1701.1796079721003,1879.9451089126264,1748.3826216959601,1603.3481327118436,1858.3553160111517,1604.8942619298246,1587.2393716466443,1542.1923945067219,1781.8225812802541
1960,1874.7818662926395,2209.3250369543766,1687.7945910050012,1994.2298746948977,1725.828102812332,2079.7521300372878,1845.1882621629547,2029.1731077526986,1904.4517936210611,1751.273527019827,2005.6499407690019,1775.3928981758418,1721.7222983943288,1692.2443499366875,1968.8041113578763
1961,1902.8758065930017,2330.531402094176,1733.9807823211274,1969.5906690314478,1854.0328609589326,2188.4891822891877,1949.8881109603039,2155.2035431851918,1994.2357477363362,1881.236937815002,1981.7320081162209,1853.7037952323049,1819.7172963511312,1757.7863750908425,2020.4949504292608
1962,1766.087516013803,2115.0347188280939,1635.5127694645764,1742.0928308310479,1721.9189508395489,2035.4735621105608,1809.2429309037316,1989.8647815513887,1853.5139979453766,1762.7982464375464,1835.3070827280917,1722.7074675876859,1717.6842088089511,1636.9837485848025,1893.3269949521512
1963,1707.8942289137533,2183.4450614316497,1589.6067684376601,1743.3288155544938,1632.2062897421424,2092.4801523486153,1886.4793899400111,2044.1078392929023,1855.3102360418507,1727.6995508448533,1831.8355332323983,1688.5726441559341,1648.0461480682357,1515.5992232648173,1913.3085506795178
1964,1769.235373880995,2030.3947005549865,1586.9273271854402,1764.2948353528388,1675.2369687816567,1949.0885992913618,1809.2903402255104,1885.8295492196842,1791.4470191917121,1690.2809176156338,1873.2672698312895,1637.7013823440068,1652.3657595285727,1574.0093501684566,1821.8474206596516
1965,1884.2812464621511,2197.8095930082059,1722.3394259407494,1847.5505167476983,1747.6465910441343,2066.3550114115096,1879.5389754391599,1991.3780130309722,1907.9228837201611,1789.4863504840271,1987.1473631411277,1771.1466402937426,1799.200560816352,1681.7735062822399,1933.1321050999454
1966,1902.4160128120132,2297.4363831559226,1751.363666882108,1861.0706439352352,1801.2700957366278,2183.8698530359597,1959.5857951656192,2098.7458682726929,1978.1734791995809,1846.6545994697537,2071.8713858970218,1799.6490906682161,1851.9064653569239,1678.6483699765483,2013.6445940953536
1967,2172.415672338594,2529.6227553796339,2025.6093091730895,2139.1137144701215,2105.1745543591501,2443.446059220129,2238.0673525256016,2316.5503816619334,2256.5229558282276,2136.4633186500009,2262.4451251242908,2087.7498896248162,2151.7246384287055,1991.1233403820258,2327.9883352835486
1968,1743.7112898616099,1968.2305700763645,1579.4878178571582,1702.0034051299772,1636.1278121841106,1868.9628095557309,1687.5398694347746,1755.1160261980435,1745.7530343195997,1645.1937081628064,1783.0613335115183,1627.0569667516199,1723.8364135620216,1507.6686730979975,1782.7712282453456
1969,1802.7238073580545,2131.5151368471793,1643.1424872984767,1758.8510105484634,1708.6664723025478,2027.4097572116057,1845.2799505360929,1903.641538998208,1859.4557057873294,1748.5069990809272,1767.2615277342366,1725.2127647291095,1775.7149858070293,1598.0536599304971,1910.0776418084417
1970,1807.5581698064375,2149.4573110154288,1656.2919534297951,1742.7060123577512,1695.981171147791,2004.0296607546129,1861.529729025646,1923.7785197891619,1871.8504017841208,1762.2698737383362,1797.1242102497786,1738.4221450974353,1789.9273444709479,1637.6577368716,1940.8366637734275
1971,1873.5055467721825,2420.1966035002238,1764.8624083751808,1845.8378689603887,1816.6631787367273,2222.7459725843582,2036.4350911976001,2119.9762733697903,2029.9598784309505,1909.3541651534886,1940.9714010755224,1860.4867659788119,1885.5956952677764,1782.6318687724374,2086.4768216597195
1972,1941.9231652057063,2367.5342446002005,1814.650064635649,1888.3163212395596,1916.0694235902122,2239.7305265519958,2042.4277410736092,2121.3663739058484,2066.3417413874981,1987.5788410712289,2084.8020019872019,1913.5932852661583,1940.1085150264882,1843.3798462026646,2134.882933900652
