Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,38.099194479817172,53.999196482178796,39.366378055195064,40.423952296958262,46.75450097738748,53.925132146994656,48.459442427275739,50.568941899363352,48.08246283044582,51.629097071594167,34.808754729503526,48.358024423005126,40.744351255241135,53.07907058534834,49.176207487697916
1952,38.791241650790319,47.203776766086293,37.079746564918224,40.619715012543033,40.758141219012408,45.87248809246281,45.174481194005345,45.734014384932678,42.302952431681327,41.722382191806027,35.257615985479241,37.341655254139276,39.629309890764837,38.889915091057084,41.98410744536632
1953,57.69049516502028,51.125788057457036,56.27394126194654,58.520372448264332,48.370890953264322,50.069121137176026,52.077281801175552,51.018080354900896,52.612956564146309,50.532520597086766,52.815091857844159,54.580842461460172,58.880636336544114,56.051534536986956,51.405357264890803
1954,49.795185115798574,51.475791332430155,50.603468415168038,48.089486436129604,57.046189769374138,48.85831782708528,48.746261414708876,49.458285409349912,51.552297420735144,55.983772861465539,36.940716843094677,52.976433600447379,52.25095090430441,60.970704332715179,50.873230922275141
1955,44.312180586481141,55.856914696297927,47.173440593062836,41.207990123648642,41.059455372688724,55.136898482710698,62.043524631964942,60.236811196666068,52.001260905091364,49.647075311830392,32.600536279456065,54.862182740634864,48.383948496569175,57.924949571925389,52.007601537185707
1956,46.471831900093129,41.212407633980149,43.113926501108423,44.829840647852535,44.401067722840537,41.207319709565553,42.203614435727019,42.290314125242261,43.443987799784558,45.218411755997067,39.359090784526359,47.782882634945842,47.219641149277656,48.483807477531904,41.677218845430694
1957,34.451290809878827,33.15575412584878,29.369685142598609,34.245919377048288,29.950709678523751,34.921588376397956,33.260610514671583,33.592162770017786,32.585253580815703,31.41133593420658,32.374535720762225,30.715973790453731,32.410529186352782,34.961521424079024,33.056380981270706
1958,56.341054941152343,41.404215340721876,53.008339774452395,53.066792674760777,47.613962384853025,39.875188488563325,45.307323623521491,43.515406962714557,47.259627877488455,47.599280408079295,53.521495235095145,50.950655234875619,55.335501277610561,56.103358762228275,45.839466301434882
1959,44.994058775725428,45.690623777935919,44.40285834054275,48.386898931236594,44.664976935686887,49.155411082534023,48.090868185511653,49.237635354308097,47.135984395908501,46.049197655435343,40.465190718897297,46.74057937810845,46.461555430631265,49.315076024535863,49.349124931351291
1960,39.616061181170167,47.249760565961871,43.682535444980267,39.960706864638738,40.345944665836925,48.628878567657303,47.546533244421703,47.396347152095359,45.318819999494934,44.569352891460753,33.501687227566421,44.403662898078515,42.451149402814437,44.895625374502572,47.595561267412606
1961,46.310132165319224,39.426297624344436,44.344049267542985,49.177993065021752,45.305623972849176,37.948643498756752,40.177325991096126,40.242457426139289,42.360614373756952,44.109383930753275,43.861542521035375,45.12250627981539,46.314999866328328,47.250138555700694,40.780082670638322
1962,45.084055660384955,37.184330486493153,43.56085457081187,47.987149614676071,49.80236249835513,38.215742353289478,37.045971741077736,36.92990775625703,42.135581803076633,46.649972300667514,44.522815686636065,45.530974756086238,44.89212705142841,47.240989237254205,41.612392126943959
1963,38.577084873422599,35.562731873241425,37.996089848422734,40.588748488369106,36.781872110441697,33.46764635299246,36.124942104952922,35.472788822464132,36.319266826501035,36.65792629184925,42.280426556677469,38.31280960585606,39.549843156017324,38.472124628452256,34.283575566887478
1964,35.498453600495203,32.838042186507479,37.235068648900111,36.941065559486681,34.505347240325364,31.162558334999737,30.91807087814874,31.094703158754236,33.462474008343747,32.988367321725086,36.554603843636002,35.69009640583635,37.558595986849014,35.860923844088553,31.820296478998095
1965,24.759348263824116,32.889570087029085,24.285249200190403,27.017870960697987,27.081155002483513,32.133387824308528,28.859540917947953,30.453171110797275,28.021974997875557,26.591913560909369,22.103876617825041,25.439368738831654,24.382900335768959,25.32337189621175,28.003696619735923
1966,36.628275562945973,38.821602554485352,34.112860492864478,37.391445637173703,35.929621270833266,36.404660922779186,37.067124484125543,37.088342622559225,36.165747086913576,33.607346060715052,35.502270624915766,36.78456768715305,36.579368170659542,35.69452719872902,35.368849346956011
1967,49.626693718520521,43.647458328805477,46.529934584773436,50.864780512066886,44.50799876579125,44.507152069592856,43.175551854256163,43.248987131391928,45.234334643866831,43.761134114502099,50.063918287568171,47.254576991266546,48.99565875122849,47.42242804104643,44.529281022064772
1968,38.750240504306213,43.145528431708705,44.651854214641077,37.489341760947553,44.366370449215751,44.681035354380214,42.36952730414621,43.895289341659463,43.145390991050107,43.331235326295378,33.616552315507768,44.381149314862796,44.876404772968748,46.252090922390913,41.957602078692709
1969,49.540443414107507,49.87854182424968,48.993877616408426,49.843438767745766,48.852880680236538,49.198718592199377,48.837009005208891,48.042431091689856,48.433323168235383,46.320853987507988,38.403326446902668,51.768595942973967,52.103837558537187,52.967032834895392,45.003693731952474
1970,44.635593593322767,39.570422201239268,40.327069275775052,46.522011448664728,41.80766509125484,38.772847269900744,39.872814523170099,40.433496652358002,40.584687687975055,41.005239187942031,32.523019930217224,41.592956465127592,42.683854899232678,45.622862790801484,39.114538014647266
1971,32.8896317347264,45.546288741778262,38.138782814061216,36.257692220799079,40.00294896195156,41.510429354665334,40.965596427426014,42.570440467263822,39.733032903490908,37.802548844950827,27.255619682378057,36.421321252435952,38.279858642604843,36.675869589485572,39.524664355537169
1972,64.371980582195434,57.368096854374002,63.098349370084783,67.12000417400526,59.068488529630109,56.148723386069818,57.572817529263489,56.767195332561435,59.135289516979583,58.329523574734957,48.114973253618984,61.19569910368093,65.018179596651265,57.899314157093649,57.350368468972306
1973,51.54332835478089,56.71334514386615,52.571485026694141,49.407543132851572,47.37279007862108,55.603681852264486,51.743761529200427,52.177582460852427,51.565906302159924,48.286436981856703,41.071413544145692,47.924760353457479,53.165447295402458,47.037262869137059,50.096174854853146
1974,35.216432226642482,49.746879544258206,39.935481518453813,36.501310749526958,41.410350758798977,45.70040502215322,47.001973088546166,46.334041280575214,44.203143935972896,43.228204993323935,30.561583484434259,44.674264760176129,39.391326851430435,43.524000762874593,46.832244904321307
1975,54.118483950114204,62.190422636658731,53.225548862695717,51.227740819205309,50.661787958430395,60.182481480956781,58.087246966052582,59.727437279523109,55.21307011052965,50.939544044774742,36.838729676207585,53.908141343281052,55.723932254243657,51.689457866212216,51.888796527771831
1976,38.260202583799561,49.600830298047285,41.762831465803941,38.574142546349627,36.125128613744884,42.781358157389846,43.677317054718308,43.283369533524336,41.252779512865331,37.274225922207116,27.916976301661322,39.900159081130973,40.41749440337783,39.39863368579222,39.785313656053468
1977,53.546833824454268,58.426276791811162,55.599942410696869,53.743167010487163,51.250693047302001,54.048686859196245,54.266687383269009,54.863538252457332,53.442413626949353,51.434434068236101,40.509167688853999,49.740200719819384,55.522883149136497,49.810077411190655,50.955672628933939
1978,45.008002151381675,40.586632653065912,45.878909367846632,46.980104327353367,39.429887460654676,39.553127103384227,41.994730417600486,39.561097012465368,41.649213966320929,38.85696745366014,35.120068873868476,42.936522420918884,46.133360637064001,38.913491054015182,41.309462333468574
1979,49.140285960651752,58.056803089575375,54.913445084158269,45.405115685843406,46.780908794292323,57.245225167431961,57.594340883233016,58.44385793029835,54.507950782058579,51.797062120531486,29.691727880852362,53.217963234981553,55.305747522471592,49.289945483480686,55.602868735209761
1980,35.122909146773878,38.098404569770523,33.524411482524584,35.465509453655621,31.596596824721345,34.844071895960774,35.901259825944869,34.911022948359381,34.7611058247494,33.680278425721745,23.717168924739354,32.541238238391152,31.887381676090225,31.051982199034455,36.745785712377362
1981,43.215811356271928,43.014618743793157,37.812524886510673,39.84014329636998,42.191470293666839,44.108150145287013,42.144971034948121,41.113667647752848,42.407042047342969,42.886370082850661,27.611463240005026,40.105136965790265,41.99804187635894,41.092997941785896,44.68188181013322
1982,43.322700574534181,42.644354858522448,45.244457310122051,38.761922245934542,45.354166163025972,43.584446125389348,46.858282550030438,43.988308860289493,45.107655195824833,44.745710482836074,38.446468028301652,46.449314029199762,47.115923363222969,47.080986409473248,46.803386547278031
1983,54.103781948005185,56.628414690117758,60.007673437039436,52.756285945328933,62.473007984844038,58.601760057598717,61.695947201163186,60.198061693105082,59.146071475564746,59.040310373392678,47.173760801337181,60.160071821659159,61.643833400487971,61.065051189096494,58.661569033753409
1984,45.581929776249829,50.720074866200228,48.471946323735907,49.182425030139264,51.370084889268718,52.57416657683283,48.168827483229357,49.213413535280104,49.148131021379875,48.228433675709653,42.293990425980724,49.769614920491598,48.7676557417536,53.596314917919123,47.81005811142122
1985,40.000192028762505,40.796098731612979,39.924536302026617,42.760015180577767,38.874175180769271,39.651523078179004,42.188516918972311,40.621737053617267,39.641796708875937,38.43606792998564,37.430488990405578,35.830003924740964,39.424051422138184,36.378888332635363,39.380221202270413
1986,49.766070234634348,49.517660274428415,50.049688065041806,53.684320820752951,46.888267399345139,49.603894393444776,45.644680896925372,46.577795489880835,47.765241650095973,46.243231106349228,46.365869069554449,47.555069602460854,49.209073431880825,47.554189424628653,45.922055591035502
1987,46.275126025721498,44.635073633002683,45.240075012515497,47.507918565727124,45.807864257654991,44.842731158018715,43.787768924189557,43.606483151148574,44.486740369216847,42.36255424028662,42.358470881229195,45.747657950452968,47.567495736126993,46.609924541267127,42.677718735330721
1988,38.077638328696473,43.280641448337171,41.117563072082433,38.457360120101605,37.985661779410826,43.312174803161433,42.209175604810696,41.647808908989518,41.049436245311661,39.127399775605589,33.196419269182165,41.8367002511444,40.84210844282422,37.833340728835907,41.312501615382978
1989,42.894851176372256,48.810289793683836,52.068135800078856,49.664598002668527,42.322103883620024,52.404180157751441,53.964348597350906,51.981865589921313,49.547139946874665,45.455033861961425,39.663938534272681,51.088611184872747,49.717709362662823,47.778675714517092,51.433371968102229
1990,37.76935925240042,57.173772620057107,47.968578215801912,43.954097891619853,46.727110175254161,56.344258627072342,52.04457256112007,53.760896566114241,50.672428647556259,49.247207232270348,35.995160181374736,51.160198713150038,46.806651495459739,47.912170150648564,51.706000099212666
1991,41.764184839294863,45.145973165736677,45.786435416842707,45.990380623214392,45.511623088571845,51.616575967861735,49.269574197570023,48.781477131669604,47.274150737602106,46.160282057066084,37.953373546411825,45.891049384302448,45.993816821732239,42.454189847569985,49.962437274704833
1992,44.107198458490572,44.38935690341043,47.019299377059809,44.512545996643247,41.656011639824285,42.770964237920865,46.764678373053528,44.802722805021943,44.077275431670955,42.031034746704037,39.007781242628774,44.604869092246226,46.123455024139787,42.792164315499633,43.113145970940778
1993,39.537074075929205,44.849001786905816,41.640441262814164,43.088889539424827,43.341238305501932,43.455556981042136,44.238975591255688,42.021492299895932,42.934276182458547,41.879840192931709,35.684877438509183,42.147702426439892,43.267753746190202,43.565121824084088,43.337580168469891
1994,44.680162827523553,47.3136858116371,47.436865034023711,45.881725187656492,47.313799596419884,48.061157417711868,46.976849443348222,47.995184959083574,47.174507418881362,46.065913346554623,39.43699785861466,47.307158310828562,48.332498321858559,47.590447571065503,47.301877375777451
1995,36.762212307563253,42.676860852174975,38.796784151558072,41.127703276424896,38.820074653591369,45.523342689724267,40.080756335764086,43.281554005590174,40.058452598613378,37.89977065527976,33.656785619059363,36.170438423102389,38.603377633006993,35.548121760185836,39.692045247343927
1996,57.897656419783495,62.501488997405495,57.993857402825761,60.586365851566732,58.775475011412006,61.591855976250329,58.36847393833051,62.408022654229228,59.665510133765146,57.728217417952187,53.40988874358235,58.826956508639668,61.092706730275474,59.603150005509733,58.678039022421927
1997,43.758208172090605,41.827210532828595,40.274419999028247,47.11820391712714,35.790150063591661,43.648640967739397,39.805950178632685,42.102421370451587,39.914569997191215,37.181502216469788,40.841477165061789,35.673297404487364,40.205365582347611,34.212138252497859,38.760637315994245
1998,52.246690037161699,43.020688337209656,58.689022046441124,49.992414861039492,50.946641123762419,43.348973923017248,41.555791048008139,42.02909108105942,49.022177062126467,51.303500073883278,45.111510991091649,59.460435283316549,59.491232201987714,58.403111796677777,46.646340119182518
1999,40.26294290701167,49.683118152081782,45.71864554090741,40.099258073981865,39.057531512038622,48.944901500724086,44.786348952500369,48.350024907949667,44.952596268498375,41.427931008416117,36.255016868676329,48.675863869588646,46.061619194340111,43.794695652024224,43.142515764301805
2000,41.449918986492385,54.628970039342164,47.622517895690784,45.019903959141452,48.70269982416373,52.585632845529219,49.833445033079151,53.241648489918902,49.168164098119327,47.711109570470811,37.766085792641128,50.276344653891172,49.610485287471725,50.637269579830892,46.080272245419557
2001,39.474247263312591,36.572785429374861,45.438585891161665,42.121067790736454,37.955480974034863,38.004318616698278,34.738279202777015,36.481920014900062,38.524831760958321,39.051232151859253,35.890034788756829,41.804223927102093,44.855805719196411,37.956811804505925,35.463441853858221
2002,48.006746376523502,44.715916432242118,46.161306222351733,46.470511507029769,46.194640073835771,43.077778245887153,41.628450187317924,42.180633800582271,45.137838822458939,46.436841840663604,42.090813129056698,50.044026827460563,49.160769819618004,46.640958981995148,43.456826254425096
2003,52.244450524502113,53.990325976359216,55.688372396886898,49.818836073438604,47.154936829663818,53.432373484552912,52.585997415642076,54.244695223289554,52.379240179703935,49.830249418029041,45.086165214055541,55.518588893974972,57.633991687241114,51.570379721249886,49.360166008787488
2004,38.053856002511296,45.945641151078753,44.622942369121638,41.323079674540594,49.894100904731289,43.130285313348828,39.343448443637101,39.752064283674081,44.27550490892051,47.010856200148623,35.280739185353156,49.050512161203713,42.85573041876426,49.687111165676711,45.205617251576058
2005,49.188630107523622,55.516519638166983,58.809768237669246,50.469402844723895,54.721960092447418,59.624597589561319,49.867071626109798,54.846619808215372,56.511932212411914,56.174533259851984,42.500671120593317,61.008637747278939,61.542043687543838,55.202939258114974,58.357815647025802
