Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067490878553357865,0.016986453707819461,0.0,0.0,0.0,0.50008287779701865,0.0
1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,0.0,0.0,0.0,0.0,0.4392573479608361,0.0,0.0,0.0,0.11459121980206165,0.44112285760432324,0.0,0.13329164982487934,0.0,0.8330297785538634,0.13423089498069421
1955,0.034560257549991841,0.63370078843107691,0.44884961336697443,0.0,0.22002082010474969,0.22245303188335599,1.5319114279377957,1.1464731875225185,0.70642684870244921,0.74723398898422955,0.0,1.6000919943675143,0.50807903584875835,1.8333608931704266,0.769233813714161
1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001678443409333889,0.0,0.0,0.0,0.0,0.0,0.0088823721535545852
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050672605643442706,0.0,0.0,0.0,0.0,0.0,0.026816092744764833
1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067641548972529556,0.0,0.0,0.13325879181591085,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0,0.78037089046889219,0.0,0.0,0.0,0.087388219876704906,0.23726904169649887,0.0,0.099927585593959228,0.0,0.50008287779701865,0.0
1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
