Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,34.134662863752638,25.007686400716803,33.974200194624828,33.622523137039614,32.77356807301431,25.837177903614791,29.751783758730252,27.565886285806677,30.02524277774592,31.476707398907774,34.119976751640166,32.304266642921796,33.732519717644777,34.180704317376524,28.826173031119783
1952,33.754256563295208,24.943474178046788,33.542383990442254,33.04822617947115,31.327682823456545,25.054318588505275,29.215207778857703,27.049959390940497,29.321248986581324,30.221063669981202,33.255162489305178,31.359796150174535,33.01606024150643,32.909419092069697,28.107381984974637
1953,35.457455271150572,26.839109277220079,34.699439723319024,34.747277519397109,33.6072798650248,27.472219972741456,31.354761019070434,28.996316589348051,31.254612734203,32.495798137582341,36.293901606224942,33.04113668415728,34.387984882981044,34.903034457015259,30.082368211171261
1954,33.776486578759609,25.174138571619242,33.897199937162085,33.531416141355464,32.553595724427204,25.881242245497088,30.007967110753679,27.531725760241862,30.156272991186142,31.704420242858525,35.892046037546905,32.449319701320604,33.340606192720358,34.080671504188174,29.47914725377867
1955,31.068082618641895,21.85489214214277,31.552732755527362,30.213920383005149,30.629445631802646,23.737596960462376,27.527358887956613,25.132178705307584,27.618080077170958,29.154435421474631,32.855021266961238,29.931470002959671,30.881261358852598,31.471231323656273,26.943163537071019
1956,29.454251644469345,21.086913680013222,29.476332344395992,30.185656783524696,28.604867939468008,22.527683284936167,26.093158717558836,23.966503311635453,26.043484876474281,27.489763900354113,31.475714531597056,27.908937149882366,29.062539809079251,29.521765155197304,25.034932786985717
1957,31.739631543778984,22.642301220428418,31.172214769902727,32.778783718546727,29.026878012412968,22.93374998185806,26.806178248464686,24.469676568697576,27.169070936928936,28.366773091693748,33.578204122486021,29.172883104685738,31.025140723592703,31.004740891195432,25.928280983874018
1958,32.360528450549552,22.207989253383865,32.093426664191512,32.214498442807148,31.142124265820645,23.85308598879087,26.886659791123581,24.637455345287858,27.889437464675627,29.609797984588436,33.867211365528235,30.440193353000119,31.951978089839589,32.24353990477011,26.732193474026701
1959,27.447211098410804,17.814703845270245,27.01137026717937,27.387794660451394,25.893733453273438,18.291432204917491,22.515705695798857,19.790359795826866,22.867779124207814,24.271075994067029,29.456800491392379,25.102026544104945,26.568874406865845,26.633762459020218,21.745651597120194
1960,33.365596993292179,24.336847016722896,33.348544526166158,32.565079613860057,32.375268235491724,25.696771893686023,28.650865948372534,26.48932383998169,29.292159971924175,30.792524039424336,35.256735003587252,31.413890227455571,33.15133350928906,32.97721920444031,27.825243618308146
1961,27.516451595632279,17.342101582498728,27.342596673937347,25.843480118865337,25.217189408685343,17.457376547668925,22.104106143408472,18.384497397525244,22.571917992078578,24.144168983525812,29.728336950684945,25.350326671808158,26.661843245276,27.511986248509977,21.674660860947839
1962,30.665252423017382,20.555071869354787,29.552771341012658,31.130230370915339,27.109031813334969,20.976830416266676,24.722164835275969,22.100042318319069,25.109167364509826,25.498305016645268,32.919643768920537,27.139356284190232,29.116880370790231,28.597121983776102,23.774663506875765
1963,28.973474301705416,17.085646419059614,28.024909013433799,29.146702769925753,26.241849238655682,17.868852230022345,20.748757974877662,18.301026356733299,22.727108661116436,24.27498150394953,31.129269743612205,25.810638392102263,27.712331714470956,27.726412011185793,21.061073014689317
1964,29.18454676036022,19.300682266793046,28.18410002403466,29.514916512085133,26.058291073767112,19.831805806319235,21.999077481038956,21.018057152140866,23.800678025260083,24.647953630718941,31.403770679371878,26.302654346760661,27.795357312070603,27.878774539597028,22.477226150034692
1965,30.310418910627941,20.47975460104044,28.98376801216482,30.472453234423199,26.803083901403419,20.98837410981627,23.755306997003927,21.773253902486573,24.886405686634138,25.846966565742257,32.129336800329504,27.20778749202842,28.886314770737645,28.557649165199827,23.558312625936907
1966,31.468434679178205,22.337094949501836,30.575949037944827,31.644286295971664,29.551656295973224,23.349175542750253,25.642308163923264,24.548543505918701,26.841508800112624,28.073987028113404,31.880695093236881,29.166512317960226,30.137489169347852,30.791027245285704,25.469735501576551
1967,32.130174557022116,22.845761921696873,31.100529364508539,32.766071758366103,29.494123152823796,22.821992635841312,25.801853876364504,24.816895986559935,26.944912487721446,27.929549916497539,33.497054674716217,29.431537170773939,30.06109319690804,30.871597943120186,25.35191372947698
1968,28.628389446447986,19.407401481060873,27.910936637379539,29.073466046128789,25.761925664003879,20.393612967359136,22.783810877666767,21.951907791822897,23.755813753305461,24.518372184856499,31.186752008396539,26.063386143244649,26.748858123211456,27.723605508120826,22.263671775474311
1969,30.460871807292619,20.342389301879368,29.393595202794792,30.874213475377271,27.690230201333197,21.773511989965272,24.051442483700836,23.025430696357297,25.178869177467803,26.117416961188344,33.298329849011047,27.21501179296699,28.55901711160109,28.882229085297123,23.642368523976764
1970,28.202714910155926,17.569857642905674,27.479520837553178,28.743806933446351,26.421115618555405,18.53007336461831,21.549258994708914,20.252148779361491,22.843192902926237,24.397111074064277,30.904420208692329,25.242970194351745,26.412089787814566,27.632675284766343,21.095471251518518
1971,28.832754414308177,18.535079252239733,27.607538827218619,29.551208271775852,25.096425281787841,19.148200239307478,22.163182762250273,20.890382459387226,22.8593154975853,23.052401187516089,31.876269044887021,24.735340472779935,26.413603952509682,26.158299948685229,20.905438100140373
1972,32.122513271951064,22.338571148547025,31.338963863566089,33.111051602205492,29.198577185226018,22.810008636562976,25.953689567668452,24.953731803049049,26.808781283594449,27.296584224417,34.119625614781334,29.024929127372513,30.107300048448266,30.607391996895554,25.241110806193564
1973,32.987276490601666,23.034024799405191,32.013728264182191,33.674855830154925,29.312398579877929,23.863409147872638,27.0255981377734,25.690755883923579,27.550553619740583,27.837568659147305,32.811839618987648,30.005194416688088,31.192748880917417,30.494164954795433,25.955666703919416
