Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,42.738833354852495,34.144863772017501,42.68762240096612,41.49056303924111,41.332910634787751,34.305985410649214,38.701794032488827,36.398726963979193,38.55850837407008,39.528696349109623,42.346349829464529,40.435448093899453,42.040967791844182,42.488411348226535,37.18544296678747
1952,42.478375846103447,34.38054772880556,42.297520305829657,40.526470780154753,41.736135583642984,34.843668660162315,39.026953631425037,36.606875071228913,38.885507527419563,40.162840012659089,42.800926488013602,40.645749360090427,41.535731407412605,43.107839199745648,38.234509239574741
1953,42.100022529086104,34.668160423171905,43.20032215825406,41.455515361902293,42.839952514460009,35.647912420133665,39.572846146666208,37.092686093602872,39.777804183499825,41.391822840704748,44.618690103310151,41.83284384728757,42.329911008123538,44.423347637841992,39.813491196295359
1954,40.520088937125415,33.378329564472139,41.470322448865716,38.906842833621717,41.120838161590562,34.487990410414845,38.26565147766344,36.013440368254081,38.142395976645489,39.609825952227922,43.03024359457136,40.045957857004453,40.474211979642561,42.5831123268715,37.746571743954156
1955,40.592115479465591,33.405480931929958,41.596831888749122,39.340131089450864,41.268410339182509,34.585375036972771,38.300887009748841,36.178309583346156,38.243730722835693,39.788586513504654,42.37472543552947,40.039283035009959,40.63693765698671,42.554980606568861,37.850572186904742
1956,40.241213113812471,32.027089046581622,40.582141855427949,41.222349682625008,40.061488708037295,32.433526316858355,36.792282238999441,34.293589487830999,36.896170095942971,38.361398887249429,42.371522995704247,38.868040816545999,39.843225365951916,41.769473633635819,36.158351956328048
1957,40.867387870814696,33.057657820530736,41.452352494951711,42.042519384920972,41.346469121064295,33.762196944238262,37.768949895034375,35.289609107658229,37.902956880530859,39.546429915622959,43.296016062091212,39.456242421457624,40.629534310229751,43.37055424524943,37.168588280142863
1958,40.162514553423371,32.193667358354517,40.485495156519434,39.820742220773766,40.314001619911132,33.033463956682738,36.35576798374219,34.201230352653866,36.882234681048324,38.405461895968102,41.534907236471312,38.63152027188837,39.71485822052113,41.453516428824379,36.126938367772013
1959,41.053785445206813,34.071994446912292,41.841283205900837,39.777571595615342,41.307772836351496,34.940507015388789,38.099097227222146,36.206321303293734,38.311586048360127,39.630175620756276,42.676903106542412,39.668542609119591,41.170760281938136,42.535441999380545,37.373497340567418
1960,40.133048161720382,32.062431017524446,40.967056612368175,37.754123938992606,39.634140470912179,33.298907240092369,36.435908906765661,34.441158910809264,36.807493732947279,37.882875333258731,42.128400409552668,38.515200180095761,40.311153395312466,41.901343221041451,35.770145360689455
1961,40.826110993451024,32.946266730672505,41.366553524921429,40.7446001103458,39.054962899209016,33.483196605282707,37.144384758874239,34.450889987406917,37.249489419885613,38.439067258729423,42.830366278749516,39.060222810671689,40.085824704926466,42.300275341773322,36.473436676069852
1962,39.231066485127855,31.153986563631861,38.995538396183825,40.689739047279922,37.353988904521685,31.551646169805316,34.651777144898837,32.268556381056761,35.186209312287652,36.103410569661449,42.066990448553483,36.866351918730665,37.854389517620689,40.232618017136772,34.329047725267131
1963,40.060748616554207,31.251222115812478,39.797344347923726,40.971103272068298,38.415355588483592,31.462311133048207,34.269007693341514,32.548543544443802,35.554415096904634,36.566974801337977,42.332539120916216,37.499610498653652,38.948130459484815,41.040700510566595,34.420311745702044
1964,39.996392708480904,32.244127608821131,39.919838654706389,41.157131744014066,37.982886280825745,32.604964849557319,34.81547501486579,34.323861163881396,36.014648593640096,36.595139768391967,42.449587574143166,37.926366685962115,39.078748766921287,40.82112553125431,34.757680112010938
1965,39.167852241203789,32.027766332590794,39.26560023312188,40.410646272175988,38.169775680101765,32.479974291455839,34.792640122969821,33.66276594086137,35.768658390869462,36.957271562002681,40.609962509313803,37.519590111057973,38.29510673512592,40.55778668456076,34.709918168104359
1966,40.135398834564327,32.492134236326066,40.1397406205256,41.19558606832765,38.967376920015319,32.728723588600808,35.69447178801429,34.278676477104256,36.36862112177247,37.290598619107705,40.410526255489842,38.315434981496182,38.73276747556843,41.66859628189269,35.31408855863377
1967,39.838107040273528,32.326444151547044,39.778095814454872,40.605728713901911,38.566451796752439,32.830981255331842,35.497493191870326,34.466133791910011,36.131680754233791,37.138688388065489,40.558641762956732,38.104774704583711,38.100450586424465,40.580664691169062,35.013025629499268
1968,39.737291514913508,32.542981491070719,39.915733130932786,40.760185536279636,38.397274632626896,33.072914200381106,35.601911937566584,34.38924493261127,36.151781323167825,36.889243157965424,41.209791150760914,37.895076782137856,38.178100207704979,41.115584230851056,34.981390281177937
