Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,45.470874525290625,35.387096855233807,44.551246412898003,43.514651681487784,43.155427822961101,35.811234146253859,40.013234986332421,37.61449663323215,40.169025657349842,40.962056628098523,44.755763835218438,41.998190029892264,44.255517573809882,44.324615459733906,38.62611052972224
1952,44.422535901455355,35.007970094266142,43.232296522344122,43.543089672781335,43.358899024355061,35.80251346576101,39.523944061025489,37.047007595157083,40.042807394145314,41.247785935099436,46.569734402168407,42.135549575925459,42.777577471999926,45.182765555935298,39.683703792362294
1953,44.6655408071829,35.070859871087514,45.438630172482227,44.427434004830531,45.238998466396765,36.525743505428103,40.712054771423091,37.715547770330986,41.55295183548062,43.40269057297759,48.82867981146952,44.229655193192833,44.49271944275862,47.341940882236351,42.229139559384343
1954,44.938070977257524,37.1070295331645,45.553211180723743,43.172859522564771,45.10283056448035,37.859451680175852,41.773594037163058,39.339816139983782,41.940359877346602,43.219469302123024,48.054767994044369,43.937901429601801,44.725906254848269,46.715492770912583,41.515663856592923
1955,43.877718705887261,35.992215880709253,44.523745558503855,44.610273582013157,43.884306329556239,36.510216771219369,40.414235966428571,38.05339672621416,40.705599250097769,42.096015333619079,46.9248047105214,42.559273466750952,43.41144707662982,45.346158986635039,40.036758608607613
1956,42.887404126070244,33.469865562839111,42.684489240815779,44.643390514241375,42.396047713281874,33.561736875851366,38.374954363118874,35.122497669297694,38.750528453154658,40.219457034149599,46.008577801574006,40.945451703216442,42.115861366797581,44.799385822655701,38.127305792120978
1957,44.644647866671519,35.568631389443091,44.631204005421303,45.317750214000732,45.278200003148427,36.555191642071861,40.200054007033096,37.2863244442267,40.959988116269265,42.981215487264308,48.009844761496339,42.672969854979264,43.956172832700993,47.80146310053329,40.265300075537674
1958,44.478644479096666,36.517946558751774,43.999538109946251,43.900128852620867,43.780122809270551,36.390378835409223,39.761841512791115,37.643667306384451,40.465275074096319,41.862401091548563,46.676861185617312,41.919193805505145,43.302350325739894,45.255172596060106,39.409831353455388
1959,45.603058110626172,37.848339074683146,45.895217476459678,44.228879246630655,45.571067734440405,38.865038647891993,41.42832077383035,39.743403108092174,42.168334254318005,43.333675428463877,48.308438420482133,43.192027833610666,45.875371742284599,46.732343556113072,40.826134061758253
1960,43.51901701151106,35.501591166039056,43.934377340089625,41.397235479277725,42.26532822153397,36.602161382122873,39.292566069556585,37.582402612596894,39.848739843549964,40.412458844647055,46.833000903659439,41.348422144342877,42.710307979621142,45.560406213188742,39.064513701468286
1961,47.283895257347119,39.420258008020255,47.528390052576469,49.240690756508847,45.308987386227251,40.252334648646041,43.039210228943425,40.665225662961156,43.588308468455196,44.67054674278296,49.838220541339162,45.119708111060206,46.316031931250684,48.377851240326031,42.836082659098679
1962,42.275060050128197,33.576860107310061,41.467701309477029,43.875817353694408,40.556263852478672,34.199883194086226,36.801382275361135,34.421962353929565,37.823533330408743,38.862718528175918,46.436749706402743,39.629188036777329,40.354275752634656,43.238695646186791,37.066349286510572
1963,45.411672689945092,36.422061629496483,44.306739059110903,46.535190662458191,43.239497023240311,36.823143710547384,38.785255584347645,37.901188850276185,40.542871447494313,41.09033544903216,48.08371937831977,42.426655624891424,43.834606667850082,46.012758201819381,39.563399887518976
1964,42.475745907720757,34.636668771484423,41.954076273852891,44.957361597399675,39.56906067559531,34.80129910984396,36.815561095955282,37.026203510148022,38.060256040798258,38.026091975460815,46.183792733211789,39.795851872815739,41.190861034916239,43.342853870991142,36.481906224828244
1965,41.652916962187888,35.31724056955116,41.492136571952884,43.499170697777231,41.212289020164356,35.542204248452798,36.879771649465724,36.523172283677205,38.414005594360205,39.314534522282102,42.541517055345786,40.001407306335778,40.542330130558078,43.235278975794436,37.345674995789267
1966,42.765913534330259,35.633118468862016,42.902312110532563,44.663018307049462,41.569253539579023,35.54543221603172,38.141559651637067,37.035741528320571,39.014421352581167,39.515377626116404,44.213548837027972,40.829927311802109,41.032099235309275,44.56915943827601,37.904548006368948
1967,42.684974790390491,34.113335436558032,41.750715282302764,43.772879515901003,41.051976406561536,35.237774100445307,37.525982119473127,36.493355244694243,38.26818900645921,38.978058549529727,44.864724059181661,40.003550208665203,40.075394792792444,42.828806456593732,37.20110974428227
1968,45.162734552527851,37.336801025762632,44.510514675860868,46.963107403887733,43.336549125284904,37.926172834853539,40.38968244614346,38.882826723316576,40.843291884278202,41.167203694785826,47.462459169349465,42.273211871478644,42.796017414611903,45.992688215589844,39.478237787807622
1969,44.215426790702367,36.512174616411919,43.788075022305506,45.956176816508915,42.729562704871007,37.737814739140624,39.526942801258677,38.480254062274923,40.218695656232171,40.789124463795474,46.90229485434535,41.318388390615937,41.805687971161269,44.77447990413453,39.088201384860731
1970,44.926803374527786,38.522284823700438,45.554048593550213,47.057107821866559,44.602157019877986,39.455325388674211,41.218375447768857,39.953662663059212,41.735023338054475,41.978683987107146,47.235080348815508,42.866447565090489,43.528874541165756,45.507440075096596,40.320867227141825
1971,46.235805480419486,38.326893819131072,45.968167242336612,48.126042375926616,44.524674401509721,39.527574228963971,41.771351010580723,40.806057800179417,41.889834188158325,41.427417620084697,51.392729203938345,43.434035640853999,44.103191607096676,46.625271492275594,39.791672498669151
1972,43.851275924958856,33.343329070864918,41.741343433371178,44.186065740937046,41.036131827061325,34.758818604747326,37.725436146062734,35.816195412325058,37.837297328364023,37.855134119993423,43.552135300239456,39.671287435565709,40.218878478299224,41.697520195896139,36.175447680753386
1973,44.903883395392874,35.121827190917443,43.318057369470182,45.439989084140443,42.370798504041268,36.679916030015669,39.388811609967192,37.270201429351125,39.387546415040923,39.560715357005932,44.158040883839718,41.734454412890436,41.479050605513578,43.545579301818407,37.554307313007065
1974,44.028867750537962,33.20842281160823,42.135112224436554,45.869732795920427,40.981412619787868,35.080730254231185,37.964494835189271,36.305515883707336,37.998132961947782,37.733573414395984,45.432476014250611,40.080950508051046,40.410119867890351,41.619137749205841,36.182507450693031
1975,46.775394908882596,37.363343768524246,45.276350785844713,47.900394642812245,44.281149665378052,38.586377679898497,41.507778488190532,39.975051160341685,41.339019790150559,40.928089634329446,50.159451565189684,43.155497788381965,42.907252595339955,45.818346389900441,39.536086949200836
1976,42.164271848496576,32.215979081344102,39.535752398075651,42.418628955474496,40.472639692968258,34.099106488712998,36.638938138966282,35.493469058024075,36.72468446673814,37.234973105938948,44.029928328222042,38.845163110088976,39.005460129931706,41.325229173408367,34.560407015524312
1977,46.359614073829214,37.374857716905247,44.441801353976551,46.98420081144134,43.867917270389526,39.096023192246079,41.215077721615415,40.519600925135805,41.379451571856393,40.796664862075907,48.611288201463047,43.287749507308284,43.55428644207025,46.025635336512998,39.818991256068365
1978,43.179190039015793,32.594525552752692,39.822632439188205,43.753038293616314,40.02162413806343,34.156910970503368,35.283252866485469,35.350949355693551,36.90634557317599,37.175156142320105,48.225187861144441,38.837166270136649,38.933809868998075,41.466230899494207,35.494004269675187
1979,46.130712804531541,37.003224753169718,43.819827393367582,46.490710274421751,43.877431499444853,38.623874555650652,39.76494481066549,39.047792144343987,40.856383881725371,40.509563854087162,48.877389146617681,43.067824504209135,42.990199426801688,44.560931256084494,39.515679874266922
1980,44.162863099922127,34.171071843680508,40.7341883853043,43.898330183189756,40.175942519645027,34.789469225251231,37.053580886937773,35.376054111394758,37.702713451653601,37.583718931839712,46.635949487739971,39.912636951544322,40.485725517692678,41.842043107507848,35.836681293342338
1981,44.311683374098052,35.316457984174662,41.163146282492512,44.050206380338246,40.260840131254604,36.346192239764072,38.235144468377243,36.918160461481037,38.399707457542924,37.795983543443405,47.183224004935155,39.529828016955186,41.00462747095542,41.55202172379223,36.525679581518794
1982,46.346522949818365,35.939780017237752,43.325331231153314,46.627476017038816,42.006550863509794,37.70190452705625,38.256719153737556,37.600490336073719,40.019278349155961,40.123428844949458,47.040497850881337,42.276226533094913,42.870788284953463,44.063438715131909,38.696859707113596
1983,47.803877374431515,35.51280085293476,43.923761195942895,46.978779453321472,43.255329137316934,37.637100023519181,38.299612187051501,37.735911201036593,40.546058577671467,41.263547152402488,47.846579670098826,42.418780327337622,44.14363338435566,44.806325177725931,39.318014388108317
1984,45.41435314224033,35.063905659998795,42.069661229529238,46.278587987966894,40.911405307805595,35.819932458388948,37.336030962357121,36.809209315373778,38.864771405650814,39.221542780648612,46.326634271850047,40.379891739105979,42.104246541704747,42.243985159700458,37.290913640608032
