Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,39.769746207141637,32.614957033078426,40.08146127816471,38.572307478511419,38.927703818449871,32.890838580353794,36.753101575331485,34.786916122181928,36.486755007816797,37.536876325045405,39.471829526602619,38.195794294912872,39.497115222048144,40.223398975074637,35.126723510570145
1952,38.033343437831547,31.548509333163331,38.538625737017469,35.905001939706111,38.006147356346901,32.276808904195441,36.141730527082998,34.034770156153797,35.533669785455068,37.041490525010794,37.610779143902192,36.731426980663564,37.386199314915608,39.130255738666705,34.880713426137255
1953,38.969812564673063,33.908247455293676,40.356023643217711,38.305605923489139,39.862501699205495,34.938169561919402,37.768980749265317,36.030024464825033,37.702150537552761,39.046622798984117,39.901806562581037,39.139576578032347,39.590874380794716,40.952421174388242,37.551361007871726
1954,36.515438959097743,30.890200070621042,38.328489377193861,35.364019050028723,37.936252501009697,32.346898846454849,35.638964616680916,33.586307340812212,35.310513188736252,36.902360938805778,38.220541213389737,37.030255046920431,37.137060266098089,39.154850269738823,35.066378013347865
1955,37.335225902629652,32.235670007322518,39.12219701019086,35.044560723781622,39.00007381157225,33.518907831049802,36.908838907004061,34.981414443857155,36.397910665180561,37.838994893941909,38.066503165408427,38.050212849708693,38.242283497712627,40.336473800169799,36.182329188348888
1956,33.91293540674377,26.472283696460693,34.323917427606311,34.884818405280939,33.787123195978225,26.583652674853319,30.903711810670064,28.5825001754604,30.934265802117469,32.430002345776543,35.753549483123408,33.109569595039339,33.752417501350443,35.614826134203611,30.141324609138444
1957,37.286691523758797,31.700738003461055,38.684251212877392,38.7763087381784,39.087207056117769,32.404089106770989,36.041829876007888,33.970467879807195,35.835367972470742,37.540618041400471,38.414307715679477,37.159698410020447,37.786915348804683,40.206740606702972,35.275332223606945
1958,37.660226327726299,31.949300876327822,38.775957021886647,37.908559038932282,39.40492193786492,33.501959697067726,35.77571058182825,34.211085043264944,36.163012305872059,37.856000458343892,38.036595835352728,37.599941346594377,38.126257882577313,40.101749759668422,35.745662805598442
1959,37.10806206396672,31.162198545607648,38.567822405793095,36.546181069198674,38.370203190120826,32.087644052364887,35.332322824799263,33.346885271716921,35.412179360856491,37.000531821006362,37.96035567842268,36.923746879444579,37.859047733759773,39.42510162929986,34.923989526318877
1960,35.835894042748883,30.282637780076943,37.47851826795528,33.675138796677572,36.785870566290981,31.443957081328918,34.031673588734485,32.448405598577651,34.079817191258712,35.223110152286857,36.702958235037684,35.314991406970968,37.258427499072532,38.061949607506676,32.872851804471878
1961,35.466071896926444,29.965819514293322,36.943518824644542,34.351283544896205,35.15894405699634,31.055090940196241,33.819849926151527,31.953962488270854,33.641225436608948,34.743381036977851,37.157221689271339,35.034524675164199,35.698394356310125,37.852598273458113,33.098476518335943
1962,36.477134241077685,30.86380019200476,37.199333384500136,37.947256896154585,35.600793057760995,31.222378358375583,33.890852473295496,31.837632536538475,34.064325600320444,35.027250407087116,38.276577021184615,35.487484964848626,36.070204685993474,38.426852989692939,33.427815725598329
1963,36.706488861197506,29.769100390851211,37.080206359498902,37.617655295967893,35.974060903972607,29.721544345619691,32.734816451515222,30.541443562817328,33.39886943890658,34.575999078961964,37.915892274743129,34.866766251364467,36.127419326068328,38.744541640943638,32.495635747166297
1964,35.952484356549228,31.440899778357039,37.676535458560252,37.300897990900388,36.412548471102113,32.041019991845609,33.805234085610167,33.025395052260961,34.510538282195952,35.424236498873015,37.341700096352177,36.124353782612417,36.586624334750269,38.725383484485633,33.756305114080007
1965,35.374046745253665,29.768646656498703,36.401664184663829,36.538385244746308,35.483075614347591,30.666992828836669,33.111980526365471,31.857549838001265,33.439957574768748,34.755414302028413,36.480489866090259,34.946463659272602,35.368187175816175,37.686536413240162,32.823200693365195
1966,35.267730891987704,29.280482199681483,36.067496224918422,36.518791511244075,35.223573025673936,29.992428761753491,32.764310866736629,31.341460490119243,32.96104479705896,33.984600361868871,34.730596686326052,34.660602226754477,34.798263850545489,37.875026912596383,32.294739650750053
1967,32.780038291300158,26.729421918960337,33.73560930434612,33.694486630306507,32.178913409574001,26.958747988826691,29.628896319198958,28.475218714463068,30.102580014455846,31.271252986778961,33.332919533571712,32.074947531904925,32.039404304239305,34.532238526212907,29.008067618553568
1968,36.566466358753281,31.609197002039327,37.690724960860251,37.563315106608862,36.420917303892431,32.027215167443252,34.490932689139541,33.443537227440693,34.603375566480885,35.556574311397164,37.660317460984139,36.132690375990393,35.738887785267849,39.200302474848407,33.817603362663853
1969,36.465555143981497,30.445613133952321,37.593846676774518,37.290429515708716,35.574276294587328,30.905007787450387,33.57821711528856,32.542634601565169,33.874553498704579,34.682573201068969,38.375926260589679,35.429930842603248,35.660264052604177,37.955762720510933,33.034867744405545
1970,36.508700660444163,30.70154659858521,37.413489893410045,37.781737629499986,36.176497473231045,32.070630596959575,33.835392281791954,32.911802561871504,34.107363743700219,35.032299171211839,38.167503296407567,35.583998144661322,35.529492695356979,38.379591385015722,32.929355631476305
1971,35.918507169047309,27.738384102626544,36.557029564487976,36.662336892606106,35.256519995629766,29.582866100329223,31.836517782010315,30.641472248921399,32.533378509714389,33.483100123172775,36.504595829625757,34.65449279005081,34.938305770176889,36.698499052919225,31.638863564375509
1972,35.413579404135731,28.125510646116368,35.477226261916954,36.052275514871106,34.400699440613053,29.866386112359752,31.801715504935384,30.801533331577232,32.251521861906511,33.123486500757707,34.64151302206804,34.351111981267671,34.005649256773445,36.352718068207828,31.40974069799671
1973,40.007177031334649,33.235422456141102,40.17711387523206,40.454440213749002,38.962378835261021,34.969834612395751,37.11961969998859,35.982934755033689,37.053462517692147,37.558304022652166,38.225533153842498,39.269260803235731,38.732504304788051,40.420907124716791,36.012645623088389
1974,37.938859095925558,30.05962983689702,36.988861233647533,37.754261337705842,36.682203085200719,31.543894497886885,34.431871486602297,32.57843661270369,34.1064549525424,35.018563094649494,36.425238380645858,36.389517879639598,35.651323288154977,37.532924753930622,32.876197242022393
1975,36.657304912175022,28.979292976332719,36.98139126128688,36.98660702373548,36.074281425112396,31.221999968691424,33.25052983104333,32.098565220363263,33.338599207248031,34.061494441005067,35.960397844484618,35.185617333033647,34.834714019686835,36.983971453757505,32.171714251787002
1976,39.005484103088783,30.296688250484682,38.042368754805729,39.406253614268053,37.994800025626688,31.979216855641546,35.060574856176373,33.577131815125718,35.144967738966145,36.137634838666187,39.126112505941641,37.532676799548597,37.134685799970789,39.582024968362852,34.323886274870773
1977,38.726529764886195,31.521543773037632,38.040681169410895,38.725313123555807,39.005606097179246,33.491355943710147,36.099242949342795,34.902484050330713,36.076994655608559,37.232354123898446,40.061548837484246,38.259994922004545,37.300618131905189,40.668676124672004,35.6777821422031
1978,35.829378709063334,28.32950905163624,34.996179052549408,36.150679151169214,35.034464735840949,30.469862279932883,31.367611032128508,31.519189315330092,32.55428572072654,33.577399263660979,37.167757803292986,34.264721909635327,33.825187270615658,37.2189437044321,32.077755904305363
1979,40.007138286300247,33.315561957923379,39.938013088019261,40.563320096246947,39.442401696143989,35.164646039300976,36.299431189674827,36.049950764694088,37.28832212120961,38.241555744520497,40.756745829444192,39.404161168946366,38.924396868561637,41.267193251370315,36.713715113092825
1980,37.806440758498404,31.238193999925706,37.377539634222565,37.662781902682646,36.075582322503365,32.607148639198343,34.869208088577913,33.668269602411669,34.630084874411821,34.888829546404629,39.471714023726378,36.960757278764412,36.123040721875633,38.791141219054353,33.473087650686708
1981,38.20260112111297,31.509115712511328,37.631979819585844,38.143086066850998,38.056685723483653,33.665808018989573,35.852925688376928,34.411728821112632,35.548298670285341,36.4113922474804,38.947347400154513,37.680229859136027,37.036303601772552,38.978459041916842,34.602852193644466
1982,36.769156855188271,28.855531495944298,36.031061241136534,35.421699174598089,35.288543728903463,30.136956293562967,32.574309286590164,31.15446886577443,32.794632729406295,33.427732559778001,37.459818345331605,35.041987818996724,34.764207951825107,35.804716765452149,31.645803055358932
1983,39.830487713886924,32.978340081777652,38.756214149465961,39.979380029983112,38.338039855877206,34.356763479965046,35.251205664842978,34.564938989585968,36.385089902474256,37.466454745380879,40.058111871149194,38.154906616509074,38.231398202679088,39.74912077489271,35.60680059693285
1984,37.330113560746973,28.765244803609811,35.647362465279869,37.359885915438717,34.777199700160956,30.131707183729816,31.514378892943828,30.839731189000961,32.660724091748577,33.658932957566371,37.410251632707315,34.353808597774048,35.031256531365287,35.399666975882361,31.552781088404465
1985,38.208269014057343,31.966828575861655,37.239310325523732,39.240683576680631,36.835644949432243,32.903531073072614,34.647886393576002,33.789147221511065,35.036076736546576,35.926043760666474,38.945793831851283,36.770385460049503,36.935746311374068,37.87889563871785,33.826852149535895
1986,39.241949333130002,32.322503562344494,38.908492765451392,39.326933132671179,37.278975878176873,33.412709353738222,34.883127121127806,34.615738129521596,35.87261808475737,37.270147888343253,39.617246362810008,38.022724375918273,37.70451658533392,39.751137487949492,34.81962094931982
1987,38.184422029203226,32.087926861531898,38.41347940481824,38.925174401059813,35.771873485752835,32.714868296057816,34.695386078186516,34.365413093525383,35.17843948387587,36.002982116881753,38.770718549317884,37.605806614017219,37.131415030897273,39.335082957077027,33.93036636922966
1988,37.968756023106415,30.936568085876928,38.358125705885712,38.404521253281388,35.977415583821482,32.411910324909897,34.398970384104224,33.11506029671466,34.916883620707125,35.868194518954304,38.564057034461698,37.157519214863477,37.04149441015322,39.158559786025897,34.262802611940195
1989,37.828019402392066,29.753476062182465,37.539846121699568,38.175734099894285,35.379939638736467,30.806485692428851,32.687134046175196,31.815425252685824,33.734628426302741,34.726595369041448,38.503600133468808,35.964530375590542,36.249571392619899,38.211873990238765,32.607115562980717
1990,37.973618326539309,31.008170810067408,37.781479333626564,38.291893849096624,35.185134314398702,32.263689747926556,33.770118453172053,33.597446356101237,34.314863319909662,34.700108342214719,38.459778656845899,36.143809454685105,36.567978421279967,37.932104112803444,32.876968772897577
1991,40.892316472157226,35.427654184391329,40.811553664665169,40.83578942293007,38.5631523117356,35.905992106959644,37.475161432062428,37.24913671108196,37.854947766598272,37.925546723996789,41.130861872040796,39.171671945679712,40.573186015811011,40.831025162391406,36.348869581856626
1992,35.81271271695686,29.267171765423857,35.504970587534487,35.427992307343139,32.965981582562478,29.978413857803687,31.336561539429262,30.730778256179306,32.264241505517006,32.592559566167012,36.005945172579416,34.283511865639518,35.31114856797479,35.838229785902762,31.059337972131576
1993,38.448772719090371,30.127213966655976,37.917147035845524,38.335511095844311,34.827098245559782,31.480845118332546,32.799219537985124,32.153818355839149,34.091672180822314,34.501084020767649,38.683890973278338,36.384762099290953,37.637435318405927,38.166593952398564,33.007358627645331
1994,38.85830209291403,29.847693928658643,37.845094298053098,38.734957016678237,35.643667938289688,30.65551147727146,32.694818647638918,30.516258374813869,33.953139569505147,34.596007906618233,39.110118630188104,36.53173002292975,37.923557950140086,38.702364478052857,32.806197275957501
1995,37.871120824812159,30.381227047500843,37.536927671106184,38.068101353059895,35.524439449518056,31.554622350754091,33.281573709297717,31.818451873194181,34.095928846218534,34.408019345066151,37.998244214869182,36.223991423960904,37.230845218486138,37.625556274207675,33.152967045875833
1996,37.01779684121243,28.734653519222764,36.22227171373617,36.709094695425144,34.296028135914412,28.863379961609045,31.659615457160367,29.641200600073635,32.579655825537372,33.266258309021708,37.039339875903195,35.043977080391052,35.890118726768421,37.072944489297008,31.761584173061514
1997,37.613149394783186,28.808745145873264,36.766485513291833,37.626731805128053,34.981808091768052,29.626207131564005,31.880258904789223,30.76209330080869,32.942695334433971,33.932367573679954,37.892878302671207,35.261549312430319,36.492900052070866,36.893701013986856,31.383785728067899
