Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,14.103513269036933,47.641071256060386,15.717085692877903,19.749789839039323,16.337900656080425,48.346424528459664,29.783589051814015,38.869500974774141,30.223870293895519,24.249842906979136,14.50011981379382,21.30274508925153,15.752620657097721,15.000496870210632,37.042930621638774
1952,22.89571396674511,48.154640613939996,23.360324486455038,30.499939954011257,23.726308828824365,45.642304082477828,31.443544936642109,38.773921826469689,33.435168228144192,28.365908399784264,25.000000000000004,28.336471979289708,26.946020681660926,20.167301534348471,35.799934592609617
1953,14.655438309215018,37.709644792098572,13.620445444703636,17.499819862033693,15.216834150971318,32.773887566515711,22.848020812172695,29.773388482189656,22.343505493477458,18.048093764703044,12.249820279309297,16.601178885030489,15.491944690158453,12.333775083869815,21.14338631837547
1954,31.415027771758524,45.755834770966857,27.39364306819996,32.624984988502824,29.483781668487854,44.051398867391953,34.295304352865344,40.190186744807718,34.878605597798533,30.758089385212937,29.0,29.834496773524251,29.981402787420215,24.834520389185698,34.509320879600608
1955,28.45136913844264,45.318169488563854,20.992491379853753,33.249969977005648,23.483561512977353,42.697973651321767,32.188568802618114,37.530292502101943,31.945028907686922,27.605243662789075,24.000000000000004,26.001415866815517,24.568771435457165,19.001325053323605,32.737343614645127
1956,42.69194845139279,67.434811116185486,36.860868950087237,33.749549655084174,39.504500169716202,65.291256215751133,51.357026503764686,59.480635483295707,50.091378286503051,44.179682655659597,25.50011981379382,42.870230537169796,40.209024741598022,29.168460832077972,51.806291035465733
1957,30.620644153368652,51.890611597374743,26.065760284472645,20.874234413643237,27.067669644703734,48.125585883296225,37.933761858841166,43.750572906535986,36.912486509949666,31.742385261199836,22.249820279309297,32.202653293170201,28.169857729327155,23.501573488428889,39.203110358949601
1958,21.897194988558457,53.037848035430102,18.236893847424867,21.500060045988743,15.505110787715081,44.64143037170733,33.869224310339192,40.357170870982856,31.99620692864141,23.790806231115948,17.750179720690706,24.770665816926925,21.661008846017747,11.335431251809982,36.46914293208885
1959,28.4146252213,49.83496104142241,25.341965616124792,28.87495496550838,28.605535990942233,48.088176398062764,37.698919006159507,43.091527916318135,36.577767901960989,32.809352941533476,24.249820279309301,31.770237354580651,27.491240772493892,24.501076618218185,38.486452840824896
1960,32.001411714652697,42.394720725324781,28.496406675207574,36.499939954011232,31.022187705605198,41.570566741918014,36.871136099815878,39.191982329298206,35.963145522377481,35.405692099443158,28.249820279309297,33.934885044699421,28.702159206986934,28.667218656551384,38.255418077237337
1961,32.934743880809009,55.526872718511321,26.885657233358796,45.124924942514141,33.70892802817918,52.237035351833249,41.614668772695538,48.042598198574552,41.592255342222415,37.249745097419783,20.249820279309297,36.204563100226146,32.790282842913044,21.666887343649087,45.593108448513171
1962,27.829990338228487,53.700499043739157,25.156989493784295,19.749669747061809,31.196460327641461,51.553532808295095,39.379931252622107,48.383990981263167,39.230471169275212,35.859856502701071,16.0,33.703805701408335,32.017166927265734,21.167135778754332,42.009443157694925
1963,30.82948561225766,56.110311863751818,29.12922641172268,27.249729793050555,33.80403096627753,56.164573912933641,45.699108554211996,53.384742196461261,43.042164782181736,38.823531566300161,24.000000000000004,38.5390601116978,33.642884612371894,23.334603068696982,46.270056431595449
1964,33.278401124915007,50.391791111845222,28.986054794712704,27.249849885028045,32.731973449002631,50.034976101027446,41.720480685915987,47.193172130489017,40.02753672185689,36.708757563566941,26.0,33.770632324418145,32.301675680635078,25.167467289942543,43.3316823884565
1965,39.070769326355411,57.489123687496367,34.880371414410412,34.999879908022486,37.366758329489649,53.996303696841991,44.06035672435997,48.802585322045836,44.825984329138528,41.828288509994657,34.000000000000007,39.637505638642253,39.416706714465327,28.167963565295789,46.952005818957979
1966,32.831468692269219,60.946252027715921,31.077605173317245,28.874594689575819,37.413147165804659,59.589698089834407,47.719871351203871,55.095896305253014,46.254320338333478,42.400376869340775,34.000000000000007,37.80666359438608,35.506923761579351,20.50190440475971,51.774985862750711
1967,35.552533293791413,58.744193704832156,33.759788539818466,34.624864896525239,36.999313258469151,56.643155903513318,48.678030442810552,52.144728072808576,46.109628974722057,40.876808640537931,33.500119813793823,39.937420303158511,40.696620279543318,30.000165359022422,49.759824841136322
