Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,42.463350666269754,34.555668624014416,41.964573139931694,42.153592461309906,41.197920652423548,35.515340294217971,38.603115455888378,36.865066247601085,39.026326009125285,40.8147379791329,42.524086803044476,41.221586344822725,42.275559622320479,42.722003995031692,38.017950014095966
1952,42.388069997091577,34.470177333070133,41.960057051255276,42.923483712918724,39.59154985655104,34.960535728067647,37.932170509606337,36.448789799068955,38.352667695375715,39.427705455730091,42.047434082128994,40.235020961501327,41.881743590187234,41.152576932215318,37.039159580669512
1953,43.476335730836482,35.507280772524105,42.445377489511728,42.961283063002249,41.101241442725417,36.64947627267658,39.990273439938747,37.888227848321797,39.626263898153177,40.897522220481164,42.592215240902533,41.093901598984957,42.585246011366259,42.424166575808911,38.50810598602542
1954,43.007331734624572,34.80094893498724,42.708836020146265,43.710301050448557,41.167884674949548,35.50858378864325,39.328477009168324,37.169535911492275,39.45511919219247,41.111819749586246,43.152681793393562,41.653997313851129,42.802355447473438,42.610620232360752,38.67265989477103
1955,39.047529050171583,30.616517735912449,39.791525449459286,39.696747617382194,38.347730330605003,32.565812558243671,36.037242542599337,33.748246528856392,36.075181498860466,37.603497985921585,38.856778269249311,38.349943367841199,39.475410903190344,38.978535353521764,35.444375483811235
1956,36.662995514391483,29.007945218891631,36.770079809056519,37.139591057674913,35.67353774586897,31.064478655472389,33.634398107800514,31.821153211699546,33.81556616364616,35.462316730942817,37.025941839187183,35.649275098600953,36.77821364888996,36.428544291734958,33.108436588194763
1957,40.776229262792832,32.45510989951498,40.098554308421676,40.806938305615795,37.551075007785251,33.321844595354307,36.054819059906727,34.169742698968243,36.607901394233899,37.915040322063753,40.595377197168375,38.596486836632977,40.423990289698089,39.260213168943444,35.51084849076851
1958,40.721811784029072,30.682913838698333,40.081024538505567,40.547616317041523,38.435372306490514,32.784926779974889,34.924100201781322,33.019654722772501,36.159179733356559,37.980233314052882,40.673822749593455,38.708201306977635,40.30525155652974,39.201186814107153,35.076024287355146
1959,36.563482399409871,27.820397144241024,36.487379859006836,37.138404460416254,35.053868899709727,29.082945161174869,32.215657545690952,29.720355730409239,32.773727411683403,34.301111377518446,36.854185120462397,35.249187212076379,36.540177733217668,35.117911287678353,31.89397677232758
1960,41.140160523000041,32.667667972931206,41.200779240146083,41.653357906563677,40.125739303044639,34.327484090307436,36.891976148634789,34.633944255234702,37.579496369766026,39.539510632098207,41.281797340332972,39.894867759379785,41.189998935788715,39.860089557512723,36.403313949406481
1961,36.962870165182053,28.47824810312391,37.124723900018793,36.825441855937264,36.01959105745145,30.225272902201432,33.1894415380727,30.576451510773765,33.673674597334013,35.425487665562031,36.717330632526043,36.147303676101032,37.159503184209981,35.954442113032371,33.155985172337999
1962,38.63348390242632,29.501340798904792,38.054921596354262,38.775294054371415,36.38467309252497,30.925576643023117,33.493177806527676,31.660808750042563,34.182662027483985,34.897057469239378,39.393194553933846,36.27878179492437,37.981541519839936,35.985397000351441,33.074184953887965
1963,37.718127627363856,27.726279827996279,37.3724947921609,37.460889904584462,35.868137819231542,29.542959961411867,31.302643177283212,29.710334212902428,32.95878086924948,34.229682040292822,38.20414691491667,35.579840195004628,37.375727391636637,36.0710457603208,31.607999170074049
1964,37.70517397740614,28.951721860412086,36.95272679132993,37.630929046387593,35.219796945139144,30.926586177833695,32.113305006402619,31.254127326972888,33.499951057596284,34.650432578498467,37.708158166833812,35.690461410559017,36.994501539318357,35.90115467858508,32.493935430324782
1965,38.39345302319429,29.560564967429105,37.726458831196716,38.259366239086425,35.943466589756277,30.623351461567523,33.28538383284311,31.316060353057207,34.101993495282017,35.242725633436763,38.511827531648798,36.496265594333003,38.010700387292829,36.4872813331027,33.100330534066174
1966,39.557740664473165,31.018928818762305,38.960610929748029,39.29536184296898,38.231452064632578,33.164664915961737,34.897883654435262,33.945706471093331,35.797638148805113,37.218958577244187,39.013874433240204,38.087404197689807,38.875677286900029,38.303044089434465,34.677340002416891
1967,40.105333131115472,32.100115118063485,39.939233245952089,40.77194770696638,38.460091894777349,33.22167530298367,35.597254735480142,34.724330565332849,36.414735384828454,37.677626548302861,40.607986999603867,38.792327009865645,39.513758079201111,39.024576460077029,35.163734377453942
1968,37.145211393332453,28.776605292410363,36.897104301925346,37.355763318364829,35.114733277777077,30.575835423788014,33.038630265952413,32.058723506760444,33.465261067692062,34.616217987414281,38.66490474025494,35.601056970225443,36.408136755465534,35.99700494255535,32.406884347207395
1969,37.793014645352258,29.086817294896836,36.667343813280752,37.762422388731288,35.360766194879432,30.951637549976041,32.669514695899935,31.947401443627975,33.461851571949083,34.553160066009191,39.534660916810921,35.012363070912869,36.324525146123037,35.495002478374246,32.237124892559656
1970,37.156027612140512,27.33876515417554,36.147679769483418,36.989018111352785,35.251211055537652,29.180290713166094,31.618284414735971,30.858433866110929,32.597923551060212,34.315337567320071,38.317346872865471,34.857066944067384,35.92772643950957,35.649598189456476,31.258387973109457
1971,37.268412016385554,28.377501712706891,35.970380110529661,37.827750478855805,33.987861606141408,29.84300319577239,32.010025456559511,31.232729178544826,32.585171630346998,33.281198666780078,39.628216035789201,34.170123744473024,35.669105838829509,34.241932972828401,31.253251766981126
1972,41.280397427392153,32.516827334725626,40.832856656953375,41.979636708554466,38.604091014542391,33.331970437419592,36.147270400774858,35.231097195934282,36.965034855354233,38.00899001013876,42.468323629945459,39.137677714477334,40.17177442189994,39.771969119382469,35.896433368651827
1973,40.19670006052268,32.311604978720176,40.636655526855492,41.107400820460732,37.712861079076816,33.471411978121772,35.841607315945289,34.929121631848275,36.496433306050399,36.935498375166027,39.999470746139373,38.763428485794378,40.16043682843825,38.431089428690839,35.286501358897489
