Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,352.08911594022277,457.76492372504219,469.89353834572898,421.36537725684354,445.27428474393753,297.78227894408883,366.52807468090492,176.82386464518382,198.83150670305329,307.05863560560698,170.36830435456704,189.60677407002518,400.24744259491041,399.64318251446736,218.71403979871843,501.41681692741923,298.24499491124624,390.76420651414082,393.06519770300622,305.51050767105812,450.61989387054797,464.42908654508972,411.25428289499303,441.87881556851386,423.25640994049121,271.26910534208753
1952,586.25386117925905,688.47071704064558,655.00192859493404,590.78163722695047,692.36782987772676,449.14162733471079,494.97630571909752,294.37797496847236,274.95946457402061,524.07138539550851,263.07500778609722,284.43502649197455,617.05194545905965,623.62175740125178,333.47288833778998,706.07318452336131,505.40333560944413,615.31657483569188,635.10395871783305,481.72626466542965,681.09739220707684,669.55816673173524,660.24817648559122,639.55673813838757,634.973834097495,353.80615403105355
1953,495.74606556051111,566.60535063213308,437.09262624733543,370.51640364734089,547.60163743499891,424.61908145902083,460.52859866693893,268.68945759774948,248.86553618265208,458.86933957240956,217.44746090997853,184.08610454300012,490.86131210037229,495.56855886662453,318.95994077878419,544.63672701918097,429.01024402993079,490.02568724543289,467.24771781346737,417.38435175601597,565.7363729298304,531.33052333322075,555.1092909224302,482.53699563201371,488.20587880281658,312.64190964358988
1954,308.09038958372849,387.91640716942089,283.64689002997795,245.10212223909812,386.636824572134,243.20713321007003,281.55089951800471,142.68214253460022,128.73690107056154,268.24695827806875,113.12004183540553,103.54316286990318,350.24015769344419,339.07129536483069,169.72034454133231,391.65789121631218,252.74503842838121,347.63494542841875,322.27284214323294,236.68571642322888,407.76683719744733,359.50300052144314,379.12612133730954,331.68695409657516,326.16655121063633,190.32718979737461
1955,635.42342049982801,719.96166612620789,680.99513641696899,546.71333951815643,717.27098707955361,575.34307978221511,607.69583273390072,380.46546286494066,384.20206911991016,597.33014338395242,350.08877881261168,327.38661123198114,727.46610121432764,739.27426680742656,474.14037334454679,715.65415718242639,611.28618675181747,688.04136353968647,738.34774194218289,568.09865433448124,765.92095108436399,707.48242239599801,726.21199079511132,682.04447172187724,655.51728015074923,448.66695111979698
1956,428.00544743778892,492.47353924386368,456.01637895361432,346.39236363352808,476.97830242208522,331.78952637005438,335.6605923357227,160.05379822089145,161.32692083263638,399.18100889116749,134.16315112060042,100.79134059193483,476.78232556884893,494.61676467453816,212.42401220164848,508.3180819160192,382.90805685905303,447.51696497283791,491.80186643869314,364.82262018493725,526.41201259928653,466.43079111018801,494.21540912160788,443.14901880246833,433.23376623938378,212.10001014792272
1957,459.75042121859201,544.91316553202466,516.69769403354587,426.17829208531322,541.76512403190122,368.84033819894529,401.03586297089345,240.58099596053822,240.36362684411918,397.07726729303988,200.95594771289555,180.75764344449047,485.36838820255554,518.84864867495799,292.00379548373019,584.69940160574606,402.25452377811155,468.20890000641356,510.6903326016743,358.37726759988902,529.17967939319317,533.84825220860387,514.85980390448572,510.53263152941776,528.68575204964259,284.53768488446218
1958,360.48845748589969,440.19796607103535,409.97866139096027,343.20423259719797,434.80017564334128,274.35700710638184,297.92222909441085,156.52663516512669,155.59744899189332,303.8191908239167,159.5198847634002,123.90630118081361,428.47600742715343,446.87813311714405,215.65821128724423,452.80466499225548,321.22056109145399,404.33140403531729,446.82292692191771,264.27562121216312,451.31913025625516,427.30420152821631,434.64007324530036,414.47140158636512,416.33273384490786,185.86662085643638
1959,530.56004321379442,567.93326549517053,533.16008984015173,426.93946113548304,583.29411695933311,419.04599533963972,491.54227110291487,306.98067264863482,299.27000313548876,448.17797560484348,312.78091395042441,301.57830245615304,560.96220499486878,601.49600285506438,386.32558082305633,614.45467319965314,471.06010545526374,526.11358590022417,588.65802793211139,423.98798809219483,605.71429193146082,565.01341595068016,595.73291752733905,563.23127973537214,577.30296498221765,346.07394605567265
1960,342.47020200970837,466.57757681992535,465.21175981193579,346.41310786398344,433.81030093323193,255.46729032586859,299.15554427654934,130.65029992236893,123.31299504054418,275.14179608899468,130.04242331369528,116.32514732416377,433.76088734361474,480.43450739716633,208.72267255563483,499.93756257441862,324.98024874052913,402.35086304187439,496.96195610474018,253.5565231801111,458.43413099905843,483.98562360812139,449.75725163516819,454.96959363273515,407.88806945650504,172.25652641658485
1961,402.2210541715279,480.85073050317533,476.72032509295639,359.63754922046047,486.28444695609824,321.88106104141701,364.96997592286891,200.41702628552036,182.56363618981737,313.33496968161973,184.29714125556296,173.7999307686097,439.5570429147316,482.19578357381545,270.36674166863361,531.78049524587902,382.05791249450334,414.74797297551595,493.54839010367249,294.96802143376431,487.00417771097273,486.1504307861631,489.41281189823172,475.12126551541201,457.7498009294992,236.85391169843945
1962,281.61733775074418,337.26360813179747,342.93273800432019,260.56327290944563,344.80980639251914,210.57786360805596,241.92138821558919,112.04668391756557,100.8377920081174,223.79938010482644,123.82843969220211,99.027673562271744,312.46526069679635,329.90896762860291,174.35020476336291,361.31725692871765,281.91950320910837,290.29340675908077,363.1279158028579,228.62587522394571,306.6677998925245,318.79407833559873,351.81597494379048,289.79248898245083,291.71603857832895,140.85811186201812
1963,412.54424418277023,493.84225068606162,543.84959463292762,431.31947197267857,504.24837664231774,301.04685560792655,339.19316263849419,235.5039296131653,180.28377035318897,350.84372213724237,201.42390619970419,175.12649563961784,486.20490339573087,511.95222294753262,294.47901353523076,529.56901867017586,429.00782384183509,456.46871199351904,544.56242826991877,328.39239289474165,450.73024913383614,492.30860293502582,499.03430164513901,442.68063275296271,426.06370495534514,259.01295142541193
1964,310.46182402585941,371.78606379305074,355.46254356372231,286.80108350173515,381.60996232373134,248.64754209389409,299.2873720694131,186.74270735022702,170.17140282271646,252.35904040987265,196.87984321739097,165.88267317934299,313.65204199651197,384.88431728978253,235.18507877689433,376.05111332504754,322.6282505736047,297.91134267316028,371.77412759870901,245.56120091054046,331.37991317974343,346.73613588377356,354.75405563542256,325.57576843608172,338.82123619514289,213.88664569609227
1965,394.6962331392993,509.03457937170953,505.05203018185233,409.73605988398612,525.48888967975176,297.65037126059445,334.94864643338417,218.59526531252868,205.73849253282509,300.90998818680185,217.96024225837894,169.95878543805401,471.5153203207268,483.13604590386859,270.8858734634573,524.53206359471119,387.04832195869557,445.92887583567858,505.59499045226448,325.34263507776063,452.48449378537913,483.95478208248386,485.95391830672702,419.12710645446657,444.69255129797148,263.38931691874495
1966,446.4059066466599,540.97012444306495,533.93161105248453,389.52540370006352,554.10741993822853,336.40895148665254,385.62327105694521,221.59369687587693,234.98571206847845,361.44892581962199,258.45486424157991,176.26864792065265,512.44816479031419,540.70559016784443,320.2621119471417,576.50474535983449,442.1190089653947,476.69371332933218,552.95626683950718,355.26114112816009,481.12838104313852,450.71693520404153,531.96598372380106,450.3630074593849,474.43690916522297,300.80063570228208
1967,455.59186181133464,528.16438024828528,454.63259793172682,346.8152291019523,562.38612140978125,365.78370541962545,439.63536241610672,238.25968876481335,216.5820524593274,368.7610297993993,237.52591763156582,186.58683139313189,532.08212635572204,568.02850629521367,346.74622579988903,511.79113350281523,420.91917984506694,477.24233287930463,572.78507730653837,361.89078911991686,551.51317357525079,420.95909935285442,541.76538521632892,436.42885804422008,490.44058898741923,304.88930809652879
1968,408.35964430547097,477.57004625595073,499.57802392168014,380.78060215180307,495.21668787991268,326.32159422659549,386.00233849826805,224.91270278485305,224.80064668966037,326.77363425221466,255.76759807767564,209.1191126771906,442.49054696451708,466.38072573692085,301.13784243558916,521.55236987988656,378.96180671422519,421.88654116702372,497.8599645166787,326.24743248003978,425.18334598621448,410.61921332318536,449.64149711579984,420.60669729537068,448.0584057301935,280.44426374755187
1969,437.94850021541743,540.87414754083682,523.3124528088581,399.5663688077982,529.15052394124984,364.13146204578373,403.55994665353904,233.74644088769264,200.82273315993805,377.69467355238498,227.8284391650389,202.5463325799015,533.07556101249725,558.58773583617779,325.11302985410379,577.78089004281969,438.74822704485399,510.64342706478885,583.69964483861656,386.19477177520469,525.86644810584403,464.38787667910123,525.94558617879363,469.68750920974952,477.21535587663794,278.82956992702691
1970,449.55121662840838,535.40284556354527,534.11590642651595,384.20155830682307,500.57951913276219,349.62200024523287,414.78482795504169,265.22475429787431,209.77591769155634,384.27497477506233,225.23631277303804,193.72818626710327,545.51739707301476,561.47290485894541,295.08210093319332,574.56840900475083,435.19033708274065,506.39835015111555,601.69241343104272,381.22418507874221,544.17679309782636,442.34969151792831,519.56517024126651,451.58331672337545,467.94990766584209,291.6002002863176
1971,415.51731126770892,551.86397189574336,587.81309664852324,478.94379576501223,533.48176223102325,299.39353724002001,369.37635927678457,215.17953675694486,174.28102057891147,342.3295884618143,158.46132112110726,135.85243931302955,516.83510283580267,465.4432883476498,254.270551476023,593.92874664028761,394.92928814693096,479.06197918341371,572.86646356943959,346.5012703878179,484.08830750831805,474.82859350081742,486.24757999235044,467.06036665939183,468.700787206896,251.04332365303091
1972,374.75835692141408,440.02748142497268,421.48647595808484,285.29838279935518,460.9369540628569,293.00214980700093,348.91844376094218,202.6278171161542,197.04882179603891,307.03267605167775,198.17186844169348,154.08268029128001,403.26093578130923,365.96567181149783,223.97182918444491,442.15587862526593,320.41908751894817,376.95729855062098,434.79081226024175,326.26350042326732,400.00024245519387,344.06196409870921,418.14695477138565,361.47343684158562,404.38263368046381,245.58929237112585
1973,569.56701302666477,653.32021086125758,700.35570434973363,459.98224938577124,661.68452574016021,484.97305316352708,571.20769618574002,382.42052728183489,281.26602756144979,496.75500969058629,292.41442185651346,241.42559083137181,639.88972049461961,609.15311130039595,416.93703567979861,689.2913397771498,528.57162456825915,604.43148019642422,691.0212706395539,536.04883287362031,614.22428724137524,567.42998072481635,633.42426728949943,587.80393252450415,606.85165595751675,383.80419888220649
1974,370.95675251459727,473.02807324744612,566.93099070927883,388.18883147393177,464.34020090392028,281.05698690990909,360.37441215232224,209.05101017437417,157.0454779977369,294.62915645289149,129.65438043921969,117.86874135756233,452.51149118182462,416.48138990315175,227.93928370482325,520.21525708275419,339.4019889274158,433.58737461744141,513.98049079392308,319.68624601201935,422.19697274222534,399.71127637402839,405.18180478884119,411.84916664214109,427.35875765840638,233.31022855565317
