Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,13.79324706510832,13.666006889632293,14.518661189094731,18.003336714174136,13.261335334579533,13.942511247123146,14.434924945013263,13.000445712193248,13.400078912301444,13.445126217113771,13.389370445355247,12.715070243865064,13.0,12.999497209201998,13.666937566026283,10.834064480041574,13.400787166049415,13.077060290974591,13.0,13.142967698120467,13.000000000000002,14.684055450389074,12.999966694775614,11.789917280771242,13.249018962598212,14.447074477784273
1952,18.665211415403153,18.099730079518029,24.633650688704659,22.139272112908611,17.133444887931446,28.022514679544027,27.839405403827133,21.073374501746233,22.601105723868518,22.336584844513943,23.195621828223565,23.999999999999993,14.666638849979925,22.661389542147191,23.38160577836441,21.00048787184711,23.104700497596706,15.532696065227364,20.998109575083781,28.002041614469665,14.0,28.62920544541036,17.569101432495913,24.470113971462926,19.99975457331816,24.880607380808399
1953,21.0,14.572980604416163,17.185965166727591,20.036998222455843,15.089263898405809,21.358733363674403,26.675646246738239,23.410253267582846,21.899338648520736,21.0,21.972984243131112,18.290215213787448,13.833361298808866,14.6655864722985,18.049116367045094,17.337234457135377,18.667744740251415,13.153424404099653,15.625110274786755,21.0,13.199639381779489,15.686690515712751,15.667764063565695,15.580116462554075,14.249754647687716,23.819898084631795
1954,12.583078876241244,15.138593237882844,18.593559541604446,15.676079255555294,15.43121042373472,11.791776206238293,11.847980785573808,11.999999999999998,12.099970422756448,11.444797628071216,12.111319535757984,11.999999999999996,16.999748955471752,18.38961974669791,12.000000000000002,16.834878789828167,16.664011218095368,16.999845292831829,17.250094521245838,13.572574604078328,18.799759746460307,14.161100087109729,16.029379267424773,14.897394536404198,12.500000148739067,12.316670213033763
1955,24.332071154217115,24.094630675886044,17.368760198504955,18.643388719872458,23.261206481732824,23.660654701578387,24.606815610198893,23.335540394672424,20.499160709235568,24.110075361496612,17.163999955155006,16.570791286000677,26.0,24.611109392886874,23.428619324832923,22.831626707355845,24.501850649833155,24.079761890877176,23.625866444753147,23.0,26.000000000000004,20.895146158155587,23.865716572754522,19.337905854875409,23.749999925630437,23.448067106355527
1956,15.997489316107252,14.95183519571752,14.111030994565974,16.179853253128478,15.042501606063373,14.774806971893435,15.523244382696527,16.370219053204298,15.900325825502954,15.332200395425012,16.529552060809586,16.571926072475673,17.332859556926106,18.442419204921006,14.523411373298634,16.998699404916039,15.065863256955414,16.074896324186291,18.375141781868685,16.357348915127069,16.397876729372452,14.841588453269367,15.098827372856617,15.079241867024422,17.747301124564341,16.027786236766243
1957,17.876078617778905,19.71313319845288,28.410474963083463,36.115794676203365,21.129700441361575,18.488694752826728,21.021065622882563,24.375834960278777,16.598637067676581,16.333297234905849,19.544900007601399,24.852371061769627,22.250501419506993,23.671847831545477,19.143287083890264,23.00049025167181,22.430786445604003,18.847269213933313,20.49981095750822,18.715331311676263,21.798359853591919,20.535576445790763,25.032532605569813,20.872846835799074,20.0,25.546140961323729
1958,19.208398285136752,19.475657422020877,19.555623482714346,18.892374292789452,19.260689931517874,18.264625123987798,16.542141751968032,17.483367065059721,17.099773082524838,19.0,17.668747114929584,15.502211315907346,18.083528422112416,17.557693540467284,19.33368382238962,19.166910470377736,18.500616843654942,18.079991481854446,15.24996849291807,19.0,17.197837004290811,19.26295068682624,19.033661732795977,19.184244212806085,19.749754796426739,15.762592404682875
1959,13.542321636168092,13.570949498258656,13.851790387938841,17.969602852028952,14.043577468149753,12.962029689116129,12.848242632966635,11.370591009144858,13.199842175397031,13.66692239756012,13.730803333107026,9.1449958767121462,13.249832628715145,13.832874357328791,13.761825156102756,14.332845990336162,13.832772179211027,13.690525116831962,16.375015753541014,13.714416424581501,13.201041415966015,14.0,13.800020863210992,14.394946575911703,14.0,12.054978329374812
1960,18.207822090358583,18.382205440303768,13.997622200804235,16.072120694931769,18.478534303452854,17.754537741733913,17.23874112528037,17.259487916809359,17.300207278616835,18.778095259701463,17.41660582313764,18.071357145902866,17.666555201534674,17.055651844512674,17.90477781621362,17.666666931091637,17.734108845642254,17.846421346652228,17.625236303114526,16.785548452819302,17.800360618220513,17.736996967312027,18.534508817349497,17.867225071567429,23.0,17.184491192905377
