Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,2355.9846732024325,2667.8725082601331,2760.661900906503,2621.6435804333837,2616.4679650606608,2227.3127005590322,2412.5728372012354,1818.2974947411349,1893.8598634344255,2221.9249071416912,1825.6212869631445,1838.0432720926863,2543.6158888593686,2478.2452096486718,1999.2300175337095,2798.3990908362025,2195.9904579202748,2516.315315260782,2495.6555530099927,2245.8171474171786,2641.6204988830646,2705.5160355700973,2527.1615963318209,2631.4351696857475,2568.2996596487019,2075.1361525829684
1952,2655.5511645175807,2929.8583822830651,2850.2078623825246,2774.9653843981673,2900.3105399360593,2375.9922697732377,2479.6420711126543,1927.7389021246563,1922.3221755833349,2519.3532415525679,1891.2986599334752,1903.0890012153507,2754.9219568349204,2709.9051458082831,2064.5282667599481,2959.194930901308,2451.5539158232627,2752.7891567005454,2765.9084575759762,2428.6345866975398,2874.9004889678004,2879.6358231050685,2813.8542676391153,2795.397108453401,2782.1872252293019,2093.9041607725731
1953,2752.6757030923204,2913.8345342886678,2658.4062898496641,2422.0716792937128,2888.884406647504,2514.9800232105808,2560.7164921975959,1958.6767331764456,1943.2310968198699,2653.4610958364842,1852.1145581421504,1720.7796026628428,2719.7629994255522,2708.8190774478012,2185.8634769380151,2875.3892597358417,2546.1106650750189,2705.7266269985525,2669.3358256737561,2534.0365038759924,2902.9097737812458,2789.8796663387438,2899.5600546181236,2677.2285644786843,2698.9446229696796,2089.8222796015457
1954,2391.6807291290006,2639.8500884286741,2449.3299735743185,2293.7678692308173,2619.7512248333574,2198.8490320155051,2294.867968778794,1750.3707396617403,1736.0545910371591,2278.9917698140011,1704.6954823563281,1578.8458183936332,2524.2078253735654,2462.2787543529148,1917.3254944868265,2694.6759891106703,2168.6188654882621,2494.6760650588953,2454.0881142304452,2214.4320198908886,2639.5212175257457,2577.2514051105368,2527.8407598423642,2527.4185325916469,2520.2429727389294,1882.4324176941218
1955,2762.2821293124607,2982.4099253048703,2871.7082825791827,2562.2314169014139,2960.4300131472223,2587.1659823645737,2660.8437186320352,2065.1675547267851,2097.119963406994,2674.0374785461267,2042.2233801588759,1906.4974354323881,2975.5399103734494,2953.9141735823009,2289.6291181476372,2951.0810327750019,2636.3529964311392,2881.1819545440421,2980.6031851273051,2611.2825131140644,3055.6269802985075,2899.599910856009,2949.1086852553913,2844.4456073945539,2808.8815908908027,2221.1246050420405
1956,2288.7684518936717,2510.7857079625901,2406.2293723110497,2183.2944872433673,2444.0857910559685,2056.8378388709666,2048.1093426054149,1570.9135718700779,1632.1771246922508,2231.1107381022116,1571.1876040822128,1415.7541507504097,2450.0259719310843,2439.5347155267305,1741.1976809338678,2516.2209605036173,2146.650104098479,2362.5299492344088,2458.2896637784097,2170.6326099468142,2548.2913073376244,2442.3942200661459,2402.5164681531342,2381.6383479013975,2357.5008097695818,1695.2247978076896
1957,2678.7623606928264,2960.1736263825655,2829.2463160831289,2571.6676305595388,2916.9868348244931,2422.1763980257238,2481.1659163564868,1945.7631284979743,1942.6158874416853,2556.6900211935617,1850.6230740459109,1737.3636806448262,2875.1232028480467,2898.1009654926361,2118.712746417496,2981.2803468621341,2512.3445427382771,2786.0945829542998,2914.5895764786524,2436.7076358030436,2950.0965646386912,2875.1432160387153,2833.831749236535,2787.6138377145385,2828.1345811756623,2022.8996871418137
1958,2268.645181949923,2499.4077070885182,2426.4005910401133,2238.4230813746385,2451.1811343096965,2034.2545988822462,2078.9764253361614,1612.9922620315349,1633.479758133609,2133.3410501373892,1653.2990175154823,1548.2508652768536,2514.8774166124667,2510.6661317544226,1841.8032343186073,2504.9945701199886,2145.9083988415759,2432.4680289181342,2522.5907341421898,2021.6312104934161,2547.7658777543061,2452.1414988169709,2458.0175986500622,2400.9745271279289,2402.2895624710318,1683.7130141468069
1959,2836.8739087721488,2990.2932986567935,2936.5830561139223,2673.0368561316504,2981.593033870693,2550.860455035443,2700.3652877867057,2214.6892520594415,2250.0753639504751,2663.9610865826176,2280.0349132316996,2206.518922898671,2980.7491252951495,2988.5284678142357,2428.7879952337566,3094.6881281390492,2679.5076177654778,2888.1008990790642,2991.6451432340341,2608.1119336604493,3044.9250764697322,3013.8685665366743,3008.4123690043543,2989.9549192195291,2956.9162191170863,2322.7681652548008
1960,2386.0036734444543,2610.4014263252843,2673.7810351359744,2397.8981328013097,2573.7321503420721,2150.2919964000889,2280.1205149798134,1751.1878455000679,1744.3560563532594,2215.1585854567129,1777.4900139172689,1677.3048910513953,2527.4528879341392,2632.3051112214957,1990.9252848294825,2754.3148913422478,2293.4602979328388,2448.1997200894766,2648.6993213605729,2163.561294243746,2588.6617632745906,2655.2968834122148,2610.890827366261,2651.7093537411965,2537.1165420758225,1815.2212992023135
