Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,50.581776046217506,52.702846423807003,54.604457372099546,54.594847047185155,52.201264619481854,49.051331954868552,49.757233897455791,45.7422575596812,46.706752780109312,49.742526163466167,46.684931639243217,45.685224681640008,52.197105045355755,50.848916605322522,47.292341206574129,53.62841374964534,49.110148858610238,52.399504465066663,51.712931590837997,49.800274496440863,52.215890333540258,53.702240666435415,51.521702801031537,52.88094473314468,52.109903630873148,47.416416307083765
1952,51.697979243303955,53.593770054570228,53.477382616854214,54.237921435456563,52.973615479620825,49.890513560482354,49.948477996917006,46.650765632268616,46.62374952585634,51.086568913711574,46.896049227694142,46.425902323382253,52.649066663449176,51.465856858658093,47.782542652448811,53.669210153864107,50.334560580481423,52.913639790891352,52.425813280521389,50.624253120834538,52.900393692003867,53.715502289696175,52.264114237749631,52.751562116722162,52.37872338068339,47.390453275503219
1953,54.539796416936859,55.766339969699104,55.46466715588047,54.422213350506922,55.395676972201656,52.543403162272064,52.181044641720092,48.690934723397945,48.785293393094193,53.98708841889195,48.425012398399396,47.324386961705841,54.745447350667298,54.00214910896127,50.420533435112908,55.529683950014608,53.251748070711074,54.93824780997992,54.629863573180572,53.251887222899335,55.203354893675758,55.295923959545597,55.021618942846473,54.429419470301404,54.311144292343656,49.420650018060265
1954,52.354888541323625,54.163473366518993,54.222095579628736,53.822580666263434,53.765986907681594,50.810010306178548,51.097033562289134,47.321313479190543,47.770914891395059,51.673582024150676,48.048204914698665,46.534864617293927,53.664054384483926,52.583938173609447,48.647102793950147,54.690220639549466,50.822356737286441,53.703571856513221,53.432578342782953,51.393521650105789,53.68714977986965,54.385029009670461,52.790850589518968,53.845451772739558,53.471759754559493,48.524682224138843
1955,50.948858079751325,52.667073032874129,53.411111079065556,52.580819423206258,52.280139587669083,49.279892060375559,49.463009358607088,46.123348974462978,46.736652918592114,50.349159723945263,46.790088967017866,45.25416168313366,52.638855459117565,51.308782311051544,47.246605388481136,53.082867182633215,49.570005781520244,52.451380177872778,52.093009524219454,50.19240899596916,52.545595705294254,52.824646977404491,51.677996056921707,52.397272021648831,51.846028879000642,47.076475771941759
1956,50.78038648605412,52.902721275763746,52.991246629435004,52.336884094602766,52.12894290401541,48.954764821973001,48.523332731446402,45.073127664734599,45.874777029790174,50.484311040603572,45.977059767442626,44.50582274999487,52.283199469294914,51.390147732092608,46.418118235499875,52.785392965331532,49.383515259536424,52.0345027126058,52.017747109493044,50.166535935330806,52.618483933782436,52.896442004603522,51.188288016129142,52.166257870650277,51.582308569645633,45.889389759468486
1957,52.73966230001183,54.883700012958116,54.794265174737703,54.011785294494274,54.383602518592959,50.863387463750797,50.752828357053964,47.397083688414057,47.587927390303449,52.06401330322948,47.579702949008258,46.313383993042002,54.645650007258972,54.01809650469059,48.976762392055782,54.76137566422841,51.907636677720866,54.48979740318773,54.670454700010602,51.484044677431619,54.5780024287087,54.655989818002332,53.748705739835948,53.807588941162763,53.532711830682729,47.777899180118027
1958,51.051789209376047,53.06704681747005,53.669297249085055,53.112871668478583,52.400256085639569,49.099079128613475,49.185262519823532,46.191595685838244,46.639983593650555,50.246213609653488,47.119827192314929,45.995178200782597,53.00614711211162,52.029761494363292,47.404006689948687,53.395192736964056,50.250682158609983,53.076023532321976,52.767151338061041,49.802296255122094,52.784420182146192,53.425479384409755,52.104024542707869,52.696520075843289,52.223341050569381,46.822288420821721
1959,52.547712188048337,54.478827881488634,55.488322209976801,54.731422137835587,53.809699385285484,50.474386323821498,51.232389257430377,48.182838339528203,48.496206001873212,51.632228104278369,48.828892307250939,47.956516251786667,54.636149255577365,53.620705256152,49.495481728924332,55.270240470338699,51.289066221845594,54.466901364533982,54.373555295522912,51.461882277716981,54.294436788852835,55.634780491693689,53.477365773899201,55.085769068082435,53.767485114860307,48.885601458502506
1960,51.268388743565374,52.716768946956165,54.054999278044107,53.143322315092945,52.406929109584809,49.849357796998724,50.026727133207537,46.925111991101588,47.140901531201692,50.196984056130432,47.234941446532282,46.279537438041238,52.15584827542154,51.981800977451456,48.225001035261641,53.894964581225814,50.628128956251878,52.344152612520212,52.785177136663769,49.949103853754352,51.840927430641564,53.044694383413209,52.114717815676393,52.868795347583074,52.202338296600573,47.344923846559198
