Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,40.298700797815862,43.428206534219946,45.947485204425568,45.495578364695916,41.944858190568063,38.261034379704697,38.655116301306713,34.572039702769295,36.222879692953384,39.537928862395177,36.403082992363508,34.521955029138823,43.925939167904886,40.415766187600752,35.75922847686887,44.200146576431585,38.499270582351478,44.364337920876125,42.724606923278763,39.772261937651258,42.699575906723602,44.485240643681372,40.964015252586293,43.218595361330273,42.137373906749268,36.06879042299942
1952,41.553017519114022,44.074277986518027,43.752360494575399,44.512839973935968,42.252470285886588,38.973998090767715,38.187128611554115,35.011019918926578,35.288394562776539,41.314133091312293,35.733513618606629,35.08155030509608,44.00472814389137,40.482229679308908,35.673481916050633,43.472597355744838,39.119569250808226,44.473510395187148,43.063973947744074,40.298556438166891,43.020151143554912,43.609219777160817,41.48352954071769,41.828242087336868,41.547419114530371,35.235776651507976
1953,44.472014461682761,46.093280305496933,46.487966750317312,44.685797094556349,44.447048972205231,40.825169215559661,38.955489405399376,35.534499049232075,36.12858527739116,44.435784468516239,35.872725155038459,34.790639953800707,45.804872895997804,42.439878247571102,37.206961398758246,45.592126448453065,41.467108503905123,46.534535637416646,44.952068369081076,42.667011163087054,44.862797865411302,45.050978366884699,43.839715396712499,43.356857252592043,43.302422107698156,35.712007732856684
1954,43.583817283845377,45.509765374048833,45.965581096350881,44.939132675058595,44.14804649651105,41.079107726503743,40.537406456171865,36.779755599742259,37.244637002222404,43.464779620490418,38.106824465249339,36.674594375564901,45.685285391138315,42.877198289763236,37.517557399667147,45.838014849167408,40.852323495070316,45.901144974662088,44.85118393960515,42.554404983819474,44.736272539505492,45.187035124277863,43.122766856934703,44.077030691930197,43.925392813559732,37.408336566146708
1955,41.975398283173753,44.20087127215902,45.467689634454928,43.948230096998479,42.802413034230625,39.533068433859334,39.067266146000016,35.776734599941179,36.485111104462682,41.86785878494203,36.907655582062247,35.533891448236403,44.775528766247689,41.639652282911314,36.001470857534592,44.212639384083992,39.409312166068766,44.794830294661558,43.443861711681386,41.182470669546404,43.838804148057804,43.68113967101953,42.00372505401139,42.695984507400155,42.246749039147417,36.259445883943698
1956,40.269144986145491,43.234818461166867,43.486264802561827,42.960098206288286,41.078707042895523,37.418901872375116,36.265334792428746,32.918744703043124,34.274368815764383,40.542416757199369,34.492753935547285,33.07251571078983,43.174307153784795,39.831093325468501,33.127140650007206,42.698378967199275,37.635858863985277,43.561776207024259,41.95074075727738,39.679699167470915,42.365612536737046,42.807172269059038,39.801536413840132,41.096550320925289,40.467948804665241,33.329216755539512
1957,41.828373542437177,45.303135004327466,45.578478511115129,44.680373099822518,43.308566434984201,39.594807990750873,38.780190839838482,35.583990241627717,36.323577984794227,42.096082840848709,36.419424921608915,35.471600125002254,45.818590860354071,43.075797915398212,36.354825014125346,45.098231200170034,40.089522028669741,46.245410531460053,44.937276222857257,40.956724136684002,44.422857100720606,44.637597435851234,42.680567478197389,42.749788870066482,41.788884429149846,35.599618573236796
1958,40.863685903905861,43.924448711683922,44.901108867012255,44.340240928511847,42.037942213172165,38.898609597520306,38.64038257043763,35.71332187158518,36.616294486232569,40.802773921095877,37.388784609693147,36.510224198271189,44.123598592075474,41.836147314014255,35.965306488826293,44.203861098759731,39.412797195174946,44.723133352185016,43.526396736981994,39.906534964845186,43.067244849800133,43.787850569299934,41.760427196890042,42.344817195681017,41.380986321195529,36.273227520868609
1959,42.356947706763052,45.31882502982149,46.439024286914496,45.533472645137081,43.350151836596631,40.363303366775,40.856325600072765,37.982824261947641,38.166855733956908,41.702255886891635,38.399961992352445,38.106989475241797,46.073408117406828,43.440482508172721,38.478030437375587,45.794297957762069,40.813680221735481,46.335082717498778,45.344189722717758,41.290294448027247,44.541162774763464,46.343672448648576,43.190703518739653,45.177818759682111,42.812440872402654,38.232040442236382
1960,40.417610788774645,42.907579041177939,44.739975776260515,43.437733152920593,41.327572525952014,38.880102586786137,38.709894470145024,35.758435337952839,36.080391443665107,39.149930609872186,36.148659503231507,35.665084724247784,41.361188281707953,40.984943280110834,36.155494912973296,44.300424040000273,39.202801373774186,42.543740651799411,42.791739059856219,38.739652394371092,40.657788062336692,43.150668034300239,40.852721264879477,41.985484402110245,40.728293124951414,35.736786028981484
1961,44.41916132634649,46.214718817107766,48.027918959460784,47.314453601226234,45.391121252200868,42.113253217987818,41.843293909302879,39.762715240170152,39.721844459139326,43.026675012626932,40.105384251665242,39.273685898576574,44.489314161340161,44.842195087180571,40.181758552423481,47.829275552029344,43.165010452496198,45.446762103551492,45.812735385070859,42.525506415142779,44.931843424857007,46.621140812804086,45.146191551744742,45.861792409390311,44.970642745080482,39.644389750810014
1962,38.855477320697958,41.065940193100481,42.291909707913689,42.231766149995678,39.725606900921015,35.949946137669329,35.705825786107667,33.502539847718943,33.801543311320756,37.028606733849969,34.229561100108505,33.801151238550574,39.313557868974947,39.481097566773343,34.285607657239666,42.08238428590996,37.796171106433057,40.750268942179268,41.274790995850523,36.669542013213245,38.690146763368134,41.140274381614297,39.34173394505796,39.346611718365267,38.738754832277188,33.402726879973983
1963,41.494334354497866,43.832554362426862,45.536146704017852,45.370475359156423,42.258430021916823,38.250769708223572,38.228701004017189,36.231347944114475,36.356463551854844,39.667848796752132,37.156575801561679,35.886313095411559,42.143457624402842,42.241564132268095,36.744904900136078,44.672585327935629,40.363448686806748,43.362998331372182,43.838262650322477,38.528462942651295,40.566830372107901,44.52251877698648,41.374231747044043,42.579545657701928,41.609655322809374,37.11164872438286
1964,38.974873211794822,41.164296112161701,43.25297242925047,42.463866746533292,39.52400909710903,35.803700693360909,37.198243197332054,34.21030056251751,34.409573288106976,37.051384154718633,35.416021391661779,34.01732648142589,38.33476258378645,38.80554027722291,33.453895512877835,42.480645224884938,36.847813471980814,39.976247966620114,40.101829360895991,35.125057153717606,37.663413060702474,42.037140094737232,38.341411031394145,39.801028830135238,38.95623585604892,35.455702202982536
1965,39.1402068840314,41.309717400063363,42.817164371124527,41.63905454650547,40.138055390499183,36.41115269271782,36.770069307238465,34.749007255320372,35.218171008024257,37.120360224232336,36.112126547342001,34.779479967700894,40.682164735409415,40.049350985274891,35.520116870215048,42.087463550510471,37.529603192838707,41.316044535818925,41.551084460399018,36.742306144352057,39.309754189448519,41.405265369464054,39.649512177488816,39.051730627725114,39.242122042174401,35.67596104140739
1966,40.002535194540414,42.320171931581562,43.99164733688756,42.761602998744245,40.760011072880047,36.985258022540847,37.490496868430384,34.639302235819422,35.729830113444223,38.341492297008067,36.510802490184155,34.827470048241807,40.820442607079656,40.25807832258532,35.605384189157377,43.297921890217644,38.170969864741018,41.937338578809182,41.895292842295369,36.534857166154183,39.193307425832906,41.226153572174745,39.893850871374752,40.276690899677718,40.03286378212249,36.408026268297562
1967,39.22257775397982,41.122345786180894,43.016776957589215,42.667238857941257,40.055486945154527,36.453058686570827,37.012442138444094,34.251593839536049,34.26984646539416,37.627704929241418,34.603999931403983,33.965717570394318,40.311906130385289,39.629768081139133,35.131055040479431,42.11228111378508,37.107615723150182,41.267017581449956,41.629383212118519,36.25251304512004,39.154718702045187,40.178671107086032,39.568610061276935,39.26709914460254,39.171494264852598,35.645115033584766
1968,41.197167447678311,43.906157220218688,45.679527591978314,45.217153222015838,42.066924196679466,38.97232348244043,39.661055256693331,37.2091903820643,37.393973132556852,39.195985068423326,37.995293261954359,37.008585808117409,42.530657104978339,41.85230855651195,37.628918477526881,44.875214316151919,40.014001651170553,43.795481533736172,43.847716403293504,38.222075291585227,41.068086004823542,42.832186602241237,41.426712195505552,42.103934926442044,41.610039456876606,38.251237810630357
1969,40.478059652625667,43.035599640956008,44.588117681915449,44.228441384336506,41.069557919134461,38.48181790684194,39.287907917802301,36.78767489538771,35.856452637396181,39.188731807038792,37.108749257154898,36.499506618704523,42.069074534869628,41.287056283158741,37.690888045094525,44.050904309696065,39.560198614578567,43.171974222764099,43.177168582437851,38.376198769913252,40.900635253178052,41.855399026270895,41.183019438576494,41.412180640959555,40.780200462289564,37.47673497989075
1970,41.720051469475898,44.583243186003322,46.329716967990464,44.957767566661069,42.075271849479613,40.06996040797582,40.807036149685196,38.696370096977319,38.076968830784971,40.959171877062424,39.183776189776836,38.382864518092397,43.939342193721693,43.337986666258992,38.712896405016359,45.797630765924957,40.705015068510015,44.904214351649351,45.074646299179719,39.99061543616736,42.530224656695687,43.292937686293286,41.63452561012263,43.341234976167442,42.445196793685,39.240428491070773
1971,42.039636078735356,45.186057047605338,46.959645451711317,46.297279554250075,42.914239807750967,39.723024850096785,41.40731264191416,39.014867659853465,38.286549462737085,41.505984213818735,38.715869765956427,38.009889734189997,43.864819228109774,41.609083547128456,37.457052399425649,46.355081518959885,39.712113876837918,45.282013195854717,45.126623803682527,40.480959995490068,42.176425753296272,44.041979091925668,41.271514522116881,43.590573915794543,42.860098859510167,39.8235286750066
1972,37.813488369484013,41.31685056330992,42.536053272926168,43.92021421284938,38.588838005354475,35.873955122884901,36.800054040144616,33.841023991057085,33.532517159713805,36.754769589779499,33.976509503615105,32.609449383306078,40.320990519919448,38.447463213965314,33.873001604326134,42.167912446030364,36.645519714470609,41.594766720686607,41.666404676650352,36.542236879973679,38.671600102688373,40.481091159344317,38.206213251568094,39.632047888865245,38.877810230253608,34.780634877768314
1973,39.594166326848942,43.24931370288148,44.637174036593564,45.011666810312256,40.753166965916414,37.193259907759547,38.123663176302522,36.094099069044759,36.130233251876582,38.763419575785697,35.654845536896332,33.988869190337951,41.835921681217627,39.293327003761469,35.74219946617589,43.47190886991455,37.333001159730479,43.145328491774123,42.917095165259106,38.009266828828302,40.571375430471242,41.789056745747303,39.839132171277818,40.673959349028451,40.316696081286608,36.960786729815425
1974,38.05846979881342,41.402077265451929,43.959530810118551,44.152387445978889,39.157776832313331,36.044207102391177,37.015877506819109,34.224740623921811,33.609265813945143,36.729298063406297,33.37473333129131,33.004921865606647,40.359812568425141,37.97523310358752,34.286720346893759,41.942497948347892,36.289193736977694,41.483591196431696,41.671778632746573,36.543714405655997,39.070644827538878,40.540183322714178,37.827402861677065,39.36578514320783,38.88547796306468,35.5226601624653
1975,41.287167134161258,44.987903909969184,46.872896695437383,46.87767216598499,42.214413369521019,39.332445629296188,40.594161569808726,37.81621274322147,37.834276491232515,40.158544667667478,37.698938187704933,36.881377148501983,43.91507239389118,41.017461485141716,37.285521101045084,45.120268678298153,39.735016373003724,44.909113284345935,44.80497814727628,39.770562399754809,42.044017767409102,42.928836204969265,41.263950716898918,42.199895723718015,41.735174454749178,39.428546368867714
1976,36.51288523571538,40.668472818253782,41.176792983892916,42.186858289439591,38.114374001424366,34.390587805122507,36.316652936331593,33.133694327223601,32.296856932626085,33.746548681980705,32.376144459702466,32.246985396486309,39.982153949959581,37.829768571171222,32.430633432844132,38.587340435920403,35.240542733565185,40.782461509275166,40.965817151642291,34.759460657958847,38.383340972176804,39.216882230857642,37.926781186486672,37.991054231540666,37.195414962056397,34.255806423213244
1977,41.412032630948069,45.008156235021886,45.820563491912182,46.441943803900706,42.522239593894028,39.732693018399708,41.103977853451283,38.510318268662473,37.429538955630711,39.502258821485363,37.80307304266185,36.986262634784993,43.597774077635783,41.113485155694811,37.579512590476277,43.968382798284736,39.988808147118235,44.148706727188525,44.334456126242372,39.574759466140002,42.376355902861526,43.505042946909249,41.19507800840816,42.809359124329788,42.243832118237428,39.129544361043841
1978,37.462835833686569,40.691060803006089,41.813473200398491,43.283150962720306,38.136041062779825,34.598684694338765,35.404074928393683,34.056840661100878,32.663676037838002,36.178434971690116,32.75983041098948,32.483495244085532,39.238616463724824,37.717416038712273,32.483768520791024,39.094138176990242,35.624484467001032,40.44458386075506,40.648754735853352,35.442066575714648,37.810451008367849,38.969661958438962,37.918074153031434,37.78116335856491,37.107436097745897,34.010872350007297
1979,41.277000228103212,44.540687913946542,45.345129124673825,46.228685366501466,42.129134213696425,39.082389385177414,39.363710902891327,38.491395362909984,37.305108532077142,40.64582319557406,37.188952417043133,36.846802842944257,43.400607666428705,41.066332441742659,37.523409197966906,43.394047343346941,38.728012676334046,44.306246119921596,44.337213804854244,40.186819638826996,41.718054053813781,43.036097052572714,40.471107394890488,42.091898687329476,41.545229401896471,38.3290381232366
1980,37.503286823704293,41.841575870228752,42.858735754404528,44.066589176968094,38.743067504092828,35.359710787964069,35.882832318320432,34.761786348713471,34.78284025694353,36.759141232456209,34.314816034476706,34.45313596907345,40.265608924635664,37.558823801918855,33.97424341623968,39.846729843455407,35.817913929326608,41.548518300589834,39.922318453325381,36.322912069421278,38.538926693171646,40.488538629879386,37.077729576289777,39.250057129616998,38.074447064953517,35.243547996782013
1981,37.648474097468323,41.793662324364917,42.699270713079748,44.144887640021842,38.207981614252233,36.496522008607819,37.315578954172018,36.373324161394727,35.639716898520604,37.430056916845956,35.531625786636944,35.166819975005431,40.054190158999518,37.478304278613372,35.256308066075441,40.499152456766041,36.100559108685665,42.0667961533915,39.85622128083412,37.169909635039062,38.992456196078358,41.070472151942944,37.576075709985922,40.062806818540771,38.241746759536085,36.816839663138637
1982,40.591504772055501,43.879253733467287,44.216440554047622,46.218363459041718,41.350192500301063,37.736383775413614,37.880071231394965,37.748477452049592,36.196006210745225,39.010518353118364,35.904062658974851,36.180722184466156,41.859360465990001,39.561540224754673,36.591948394460523,43.319992160516833,38.591516511015094,43.282481926264126,41.832583657740344,38.650288935917317,40.774913483474826,42.951411636421007,40.354502860616826,42.222102984068648,41.309791043929913,37.319384037050028
1983,40.95516982729557,44.631708984765261,45.998175682247719,47.651021922062256,41.318254586001217,37.888466122187737,38.108336296887479,37.425637474384011,36.842563842595979,39.36301327447368,35.352382928971295,35.678619309701013,43.58729671842697,40.919640541183064,36.470482276815964,43.741473096190354,40.237080135040799,44.373424988403173,42.745557467817328,39.075193079705386,42.109267463490824,44.13403939784628,41.561571196612817,42.729573386474158,40.805683794155307,37.169090999518751
1984,39.101310052878311,42.49210127308551,44.473087267166505,45.431716087711656,39.220612082678144,36.117725088582098,36.76742854951631,36.29326902270175,35.855415950782579,37.458721110198148,35.156774148209848,35.033220870821303,41.172976968421196,38.53630634843892,33.503689686413509,41.596157599016635,38.394623430763254,42.59340073640977,40.069798212415165,37.129689961780088,39.826789707784222,41.869250570910282,39.537154282541628,40.676632642520055,38.73499354955117,36.493412767613485
1985,41.346256354522211,45.100044598275097,46.729394004010466,47.495222402814477,43.288834525675576,38.303517408204378,39.382515341642595,38.003829595202873,38.120941937200698,38.937158360764244,37.973298071363878,38.290697430669091,42.731524304805923,40.283886780642923,36.337341307887833,44.700083002013436,40.159628233022495,44.32253242407505,41.572780750684622,39.033874351707496,41.99533149103911,43.887961295046814,41.913774838600283,43.790821987646723,42.760404197308006,38.943133568935188
1986,38.231682958446072,41.482953785081008,42.923713190761767,43.212790627022571,39.036243475905259,34.459649228643116,35.976607827006063,33.588699341190193,34.697895063347055,37.25787667617486,34.375782330352365,32.97865717813665,40.360147632981587,35.925673740490268,32.205874376753073,40.649237041815567,35.397865936205321,41.436400534009401,37.927565972358558,36.223902692235875,37.897377527128491,40.001357570744389,37.372423913560674,39.636735805355471,38.741143073349114,35.197324533782073
1987,39.060475567850517,42.622741014230229,43.204874028234826,44.082949702041532,40.037286247951592,35.779173617388906,36.58480933167251,35.057290322871971,34.792005763035547,37.983875175537598,34.296574001514294,34.199483315833582,40.149707673620249,37.115454535870469,33.543022691201344,41.631885580794211,36.719578480700022,41.552928947474108,38.363651111234411,37.330688148815327,38.996708434643089,41.003680849239849,38.873537779350166,40.833497339603028,39.809122934389322,35.732981714449878
1988,38.119501754061822,41.852587706945336,42.743004807425748,43.634174326675513,38.908167320338968,35.166603252447715,35.419607057877968,34.140607200145922,34.521369066083153,37.505373098032969,34.258961614483766,33.853264312077798,40.781906538784114,37.403275050592129,33.015427901225259,40.962731980754427,36.220110008955629,41.729928639860354,39.574379467625917,36.809236893068409,38.984372893098502,40.069133523922169,37.860911775786974,40.097669699549463,38.735809523239233,35.008708389403182
1989,39.691366693355789,43.164682572786162,44.669654330709967,45.047918862848427,40.897085259613952,37.634601334315114,39.111332350275347,36.643662447092353,36.607158423368091,38.927634925423781,36.097848983965307,35.302796459325791,41.383484248492472,38.842440317231592,35.360947015336869,43.345971505385698,37.851727794617233,42.447170195634158,40.650492945939007,38.551715213235951,39.801039543363686,41.658829153303948,39.957951926980726,42.219835530671673,41.330807258624915,37.300349398343968
1990,41.480289241047267,45.327572337446917,47.033070791126434,47.331952653588353,42.479630378654356,39.30796652616435,40.242093233521871,38.550565917798203,38.746053099123898,40.823438640440685,37.69168851638711,37.077843211906902,44.29901901820557,41.761203009655354,36.833812510732791,45.42984092516356,40.041936906644281,44.649079573413559,43.468132032075012,40.273226165600128,42.739978305564023,45.905505309547529,41.786815122359712,44.85126606889397,43.13306687232609,38.974739165552201
1991,40.392728082783059,44.368404976352451,46.844989952123655,47.289223501309557,41.487093164869549,38.386660494997642,38.547053590672654,36.937283959068047,36.218312879071647,38.98367223424016,36.484024809074285,35.891431754880301,42.826876954111256,40.009985583597455,36.410084539494008,44.925288486652114,39.063878483849138,43.222573719273534,41.745384028366601,39.239804689108873,41.291116561194322,45.348304513586243,40.322303905611847,44.270201429432177,42.445745883164022,37.345339525489216
1992,39.254331105304416,42.307330400396694,44.509456896976097,44.71317613636775,39.955930561139219,35.793971099939817,36.152175373376785,34.680830406602468,35.170385026339346,38.402870628002155,34.440312031913791,34.158604898144134,40.352061611817334,37.888885349542448,33.658820714586227,42.943937614907476,36.973994251247504,41.320463774309019,38.929975212410611,37.363695288003356,38.637738247382451,42.919869583208168,38.686535101526502,42.043205502767435,40.777147535401213,35.78620512905195
1993,39.435980561466749,42.698894652826276,44.97348676122941,45.236550072105835,40.23984427627817,36.275965588475245,36.189732369497271,35.288357125050481,33.995384293910583,38.8744007309108,34.292841929988832,34.70741878772953,40.781952081915648,38.148046960814241,34.568094040070008,42.684881663813115,37.065872547327217,41.646824271870742,39.45142646830341,38.254729927134449,39.007709817129992,43.419320594535534,38.803273079531778,41.955221677321966,40.451371572854242,35.508080045369475
1994,40.99517149137548,44.430473037920194,46.165515529125095,46.777884609786526,41.60922773560435,37.340422365974696,37.156303034694005,35.726738239362511,35.035030465921515,40.260753836714102,35.254543405896925,36.489461452463324,42.700090716129083,39.674353476665729,35.809879959366874,44.041372270368612,38.162793979715147,44.399792103453052,41.1853455685631,39.128424294147038,40.816604047485093,44.657766650862484,39.872879454190993,43.154966560758787,41.739740012530241,35.126817069172589
1995,39.856972481933326,42.909279138806831,45.265725486261253,45.839294429243246,40.228662207258267,36.479884446886786,35.511198922844237,33.946381818740889,34.622005348340871,39.014389989718559,34.663825669113074,35.33122883394546,41.324935950908184,38.199664743608565,34.089390739111934,42.863729083238653,37.028365857556878,42.685212799632936,39.841850835323953,37.955249336521732,39.477956096966565,43.199205326410414,38.498836592484047,41.583101062611725,40.723866799746013,33.749755781152025
1996,40.024729502364252,42.50897243607605,44.045070685706982,45.134495095853687,40.251498040241451,36.44947461637355,36.868238793560472,34.654107335845566,35.958218012001844,39.250484623994502,35.08923807995162,35.545013463914806,41.139991920047024,38.570104783723117,34.599395845668106,42.071343482678394,37.119055182491877,42.219381501791915,39.708613971452245,37.974300334388062,39.86015573410964,42.492396778709498,39.131276667783069,40.986102893209804,40.471552579202886,35.949838257483073
1997,39.245164424472797,42.567760042763275,44.553507861516763,45.173205202719082,40.028428416245283,35.313746056706925,35.702701743139556,33.654208979599197,34.663204371687975,38.145637030249141,33.542436757587495,34.402013132551751,40.75742788438447,38.120818418446014,33.775966306174716,42.030048003595979,36.678784814823736,41.92404352067333,39.364341502013957,36.933292121733921,39.80311396876759,43.170987250988269,39.27841978200891,41.026585300119905,40.031457067771065,34.584140566150637
