Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.0,0.0,0.0,0.0,0.0,0.26357524950376143,0.32522865053665356,0.96249461817310689,0.099970422756447463,0.0,0.19391241694444675,1.1422158041346187,0.0,0.0,0.85709508232537024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81443697504536772
1953,0.0,0.0,0.0,0.0,0.0,0.018806660290460617,0.021626884506490637,0.33297375842089921,0.0,0.0,0.02767805774420876,0.0,0.0,0.0,0.23798370416490813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15732889514616125
1954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071999153333883459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,0.12482506077551114,0.0,0.0,0.0,0.087025876295370563,0.92334840489560066,0.9766836421721482,1.8142584085863596,1.2998124791975243,0.0,1.8323591558724475,2.5703583398316714,0.0,0.11130362280458256,2.0952221837864,0.0,0.76650764101094837,0.0,0.0,0.0,0.0,0.0,0.56724117364293125,0.0,0.0,1.5503926730800441
1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099871633684609079,0.0,0.027788578921545182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34205753688061891
1960,0.0,0.0,0.0,0.0,0.0,0.97950613005848308,0.86666078126330215,1.4438160583813859,2.4996545356385806,0.77798511282133498,2.3610589234931463,1.4297852648369413,0.0,0.0,2.1903009135952218,0.0,0.23309203000006531,0.0,0.0,0.42848102834055346,0.0,0.0,0.0,0.0,0.0,1.9984350931491537
1961,0.0,0.0,0.0,0.0,0.0,0.0,0.043535860965687304,0.1479759463762105,0.59972362851087291,0.0,0.66623528468514503,0.35771435166574883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63125268387505618
1962,0.041580906267259105,0.0,0.0,0.0,0.0,0.88554767877753537,0.69479672250340252,1.5182691526622829,2.0,0.0,1.7768650046266492,2.7139296637689378,0.0,0.0,1.1906355073051,0.0,0.33315536513661714,0.0,0.0,0.071483849060232571,0.0,0.0,0.0,0.0,0.0,1.445428021440436
1963,0.0,0.0,0.0,0.0,0.0,0.037613320580925064,0.064880653519463094,0.18496062526118434,0.0,0.0,0.02767805774420876,0.071357145902854066,0.0,0.0,0.76172955786742458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052416721130153388
1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,1.7925071283684655,0.95263640004782446,0.62893597560288572,0.50022651336116386,1.2182748309083971,2.9796372689346979,3.4307884892179952,3.8512431315241518,3.5997236285108727,3.3340642951709811,2.9718257209038441,3.7136428792311,1.3335284469105742,1.166732093012659,4.4759674649543726,0.49959344006286349,2.1322614103398281,0.69268698172374832,0.50006301416385956,3.4286216886889167,1.4002804544433125,1.1585680840997277,0.93330667848035032,1.1838837513375713,1.7497547964267364,2.89333901365799
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11095403665492912,0.0,0.0,0.0,0.071357145902854066,0.0,0.0,0.047634991452031969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10501691032466913
1969,0.0417044191052858,0.0,0.0,0.0,0.0,0.35770256770226844,0.39004466263099785,0.88852521643880589,0.49965453563860124,0.55596969676373997,0.7502084917906281,0.14399830666776692,0.083361224414469484,0.11124784543260069,1.3807930802856567,0.0,0.36612076440704866,0.076982480939535095,0.0,0.14289736794628372,0.0,0.0,0.0,0.0,0.0,0.078952448701448963
1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027816126633092072,0.071357145902854066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02767805774420876,0.14285764166293718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,0.0,0.80998296734644504,0.43323247312639507,1.5178604509528233,1.8998322370118841,0.0,1.610051681413649,1.8574292278689102,0.0,0.44487962839052692,2.0476349914520222,0.0,0.36625418104104829,0.0,0.0,0.071343103736101782,0.0,0.0,0.0,0.0,0.0,1.1052015381283831
1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18496062526118434,0.89993090712772839,0.0,0.055356115488411885,0.42842940522887141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079109005319807899
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07396935776994773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1000690928722716,0.0,0.19490542245835821,0.071999153333883459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,0.083408838210571601,0.0,0.0,0.0,0.17422372899195446,1.488505617953269,0.93178101819641757,1.6279214762142393,2.700088850686611,1.0004387357923579,2.6383921401173338,2.7884999134974686,0.0,0.16684384635251212,3.6665073173995975,0.0,0.76567404479468215,0.0,0.0,2.1428974529220808,0.0,0.0,0.0,0.0,0.0,0.76353609722063864
1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.45833690053491383,0.0,0.0,0.0,0.0,1.4141044364148201,1.2381152757941161,2.2591159168159667,3.0,1.1111720686925468,2.9997245232123553,2.9290014834662741,0.0,1.3336319153330536,2.0,0.0,1.2657571424299194,0.076596172408237628,0.37501575354096489,1.3571378396286691,0.0,0.0,0.099690812059858289,0.0,0.0,2.6295033382014337
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1000690928722716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052756714642646231
1982,0.0417044191052858,0.0,0.0,0.0,0.0,1.451023997894084,1.1716515718609319,2.8507968902548475,1.8998321180558901,0.77809459840724127,1.720376393655505,3.6414317678672603,0.0,0.66664796417393135,2.9047778162136102,0.0,0.89896957280723089,0.076596172408237628,0.0,0.92851615093976747,0.0,0.0,0.0,0.0,0.0,1.893311944525482
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.7508847538320802,0.14312674630771818,0.0,0.0,0.78374876405979144,0.77289388812508852,0.54134564145371578,3.4427380387102162,4.199545808181556,1.222125298367879,3.2766164807579399,4.4282144654370876,0.0,0.0,2.6663640334094598,0.16642259853063007,0.66604397644911117,0.0,0.0,0.92844582076558613,0.0,0.0,0.29990356106097793,0.55260491155395164,0.99975487079629621,2.7080107444148132
1985,0.0,0.0,0.0,0.0,0.0,0.11287757740150818,0.086572773197154188,0.14793871553990295,0.0,0.0,0.055356115488411885,0.28571519833186537,0.0,0.0,0.95236500854796813,0.0,0.13316215104098975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.24965027003288973,0.0,0.0,0.0,0.0,0.37701596335036336,0.10813442253243556,1.3326763523912266,1.8999309071277082,0.5550927540579994,1.4712740067139058,1.8567154606005718,0.0,0.0,0.85709502564392337,0.0,0.46695110623187064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2618247545505039
1987,0.0,0.0,0.0,0.0,0.0,0.2071176753742846,0.0,0.73980527020843734,0.2999111493133485,0.0,0.72200388882351707,1.999716537029411,0.0,0.0,0.523889194374072,0.0,0.2330254406307164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02619523340558531
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5553282491670688,0.0,0.0,0.69294702514264939,1.4291431724972099,0.0,0.0,0.047634991452031969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60403706260265411
1989,0.0,0.0,0.0,0.0,0.0,0.094052109281679147,0.19477243090079904,0.70330419554327916,0.0,0.0,1.1101336963943456,1.8580712352999107,0.0,0.0,1.3806974820503088,0.0,0.16636085084077171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36741519323222321
1990,0.0,0.0,0.0,0.0,0.0,0.77328804520293892,0.26114881780774363,0.96219721223187638,2.0,0.66703214758547935,1.6396872770879787,1.4289281477966951,0.0,0.0,1.0953176120342591,0.0,0.29985674177905053,0.0,0.0,0.92851615093976747,0.0,0.0,0.0,0.0,0.0,1.3429460266666078
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036984678884973865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,1.9979562487066893,2.0431052789667126,2.8512427787036438,4.0999704227564271,0.77809459840724127,4.5003869238763805,4.0014275345366777,0.49983275270575306,0.49935683997771513,3.7141423655330472,0.0,1.0990298126384783,0.076596172408237628,0.87495273937710527,0.92851615093976747,0.3998796353191843,0.0,0.033296841554679803,0.0,0.0,3.6821807883007796
1994,0.0,0.0,0.0,0.0,0.0,1.6777542663668592,1.7379849218742551,2.6662078682022008,2.1996445972533936,0.44479776035609414,2.2498764982700439,1.9294283812027939,0.0,0.22243984727244612,3.0000000000000004,0.0,1.3648868391620894,0.0,0.0,0.92851615093976747,0.0,0.0,0.0,0.0,0.0,2.47191145974725
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.50065833844948482,0.28568686099577678,0.0,0.0,0.87034381979122277,1.7155929672463894,2.4772501415200381,2.1113258161189163,1.6997927213831445,0.4446881424853093,2.722474181906466,1.7867140893970712,0.74999997520185768,1.5005872502751869,3.0949831882549401,0.0,1.0983624120893882,0.15357865334777274,1.0,1.0,1.0,0.0,0.43309017413844642,0.26276424816611793,0.74975479642673637,2.2875764157277096
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036984678884973865,0.0,0.0,0.0,0.0,0.0,0.0,0.42842807173767872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.037613320580925064,0.04325376901297686,0.62914894808556654,0.0,0.0,0.08306185301092088,0.7138579039316435,0.0,0.0,0.57128519029464442,0.0,0.06653097488337717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18357660598845957
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036984678884973865,0.0,0.0,0.11073991075512399,1.0709302481663339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02619523340558531
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1.4592008955916602,0.23804076615420605,0.0,0.0,1.0444383335774263,3.4515492041784062,3.3906549243575985,3.7774966298729611,3.899930907127708,2.0002193678961677,3.6393567375821521,3.0719991533338828,0.91663877558553064,1.4442638942734782,3.9526039473979715,0.0,2.6328456734721102,0.30715730669556113,1.12504726062292,2.2858650660667639,1.0,0.0,1.3667962386417798,0.28906650032626358,0.99950944411440379,2.9457806405731781
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,1.7336118515106242,1.7570553954290453,3.258818422724878,0.79986181425541603,0.88937628497059606,1.304956244157973,1.2170696867364352,0.0,0.0,4.523745740396504,0.0,1.2320250540485107,0.0,0.0,0.99992966982581877,0.0,0.0,0.0,0.0,0.0,1.3917293063515364
