Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,132.32421424778968,99.819517619114364,88.984946640134083,94.570399739440433,114.4054202840463,147.64926692342087,144.12090853435055,172.69653470447801,159.8966734847892,138.66133149151034,159.95773481060556,167.93022761954751,94.332106621726282,124.89898647320757,169.76158593390232,95.494877146802466,144.72750158940079,91.457877186227535,104.74940136544316,135.49890916000618,102.19643449404406,96.949850775342867,126.10835688591452,107.52009499983804,109.24484938630988,159.47643509389761
1952,127.95376762169296,111.91636695790497,103.93981255029713,104.8199030073973,120.70598175604367,143.24012508958305,147.16705198442867,176.58509706347076,172.99486701276868,132.10930750791306,167.45809365735434,174.50485587125161,106.8321903197678,129.17394556889033,166.52169066219912,109.16186972255875,144.95506214611743,103.45726201779352,113.99949588668905,134.64419902851114,113.19643449404406,110.32282312848656,126.43577933751649,120.86581255628853,122.99583012623333,167.34418930405616
1953,101.3325641658037,85.534865005753204,79.500440998453115,90.253606936333469,96.795549484995533,123.05413648444927,137.14749420005452,165.06656817662963,159.79255737073998,103.22289103656595,160.72878550327479,171.92701578986413,90.498996665023256,111.39733601344015,144.28241672223035,84.992683309846697,123.55167700564127,84.686667153906754,95.49955890085289,112.93111981197252,91.192829739304997,86.217300499847141,104.30209262922989,98.571745597434614,97.497547071832997,160.89471450437776
1954,129.49839487951525,109.11034914728431,105.24058961937652,114.860449733541,118.27304923955609,144.10924573043911,148.0036110940386,173.25346343969758,168.29724610453783,131.22124782678324,164.93495997403636,172.71650271408737,109.41555169297105,131.61882539581032,164.2845671152557,108.82918714951111,143.75740241310635,106.52938569712084,118.62435410482038,134.92971235873125,114.99359093885778,112.4763194966104,127.36868750229186,119.01944609127273,122.49656655501798,165.61799549526262
1955,130.7060939025792,113.67690981003756,113.91264377555018,123.25273992379286,121.35602746036152,142.30190284494375,145.41793489473275,168.58506044986012,164.99348539323518,134.55366785454385,164.67836445452235,169.57508555351004,109.83260846280153,130.06163649713105,167.0930233682611,110.66504069153667,142.39094739299176,110.76149142450033,117.2497164362626,136.85724337737784,115.19843716219897,115.90347789501612,126.70112418351306,119.73414304854465,119.49607599913242,165.27353703853089
1956,145.91543718659656,120.21149685332611,114.46124810335156,127.82123272853791,134.23278813928965,166.87831217162258,172.18960907955048,199.06667863455411,192.39405729924769,146.66648326504338,189.12085648040269,196.00044171330043,117.99841117550275,148.39962910472721,196.18843714506065,116.99528331010214,163.78750106142019,113.52429566037144,129.37451164023008,154.35903768906499,125.9943923388379,121.74304639937371,148.00228965857312,132.38584679871821,138.9948499068966,195.424267596806
1957,134.63190259543111,108.16323795884894,106.53970993859501,114.42786424547475,123.50273368041729,149.69677017113139,154.46167759255354,174.88190394334302,172.59261652522702,134.55564044668765,173.70615359461237,175.78801564660287,102.91563519262756,125.17355512682097,169.61719958389622,108.32975534157765,144.25518508517717,102.21744694230532,112.2497164362626,141.359952491184,110.79915863667006,109.00341336169043,124.17152678340291,124.22911758253441,133.49656685249624,173.32363157324355
1958,137.20876867551169,107.92269343262159,104.01982204855608,111.28897739563257,121.62610113115569,150.26293950972544,149.85385461660158,174.87944930792608,175.79166862596136,140.3309952604011,171.89841523385348,175.71943908307094,100.66688910096805,126.1181817060213,173.80783452450061,107.82999907927936,145.85846411160387,95.993439979343918,107.24933835127945,144.71645693436625,119.60752897538944,109.69077748937154,128.50277177027397,119.60178332462188,125.74607607350195,172.97935314283893
1959,142.83532113115021,119.25153808469027,113.61129325180158,120.46993846507769,134.18886423541977,156.18901200345653,154.03334968184919,172.95698899219286,176.19470906920975,146.11171989347676,172.24086404537118,170.86364551640801,117.49933036607169,136.39426025257976,169.85604310530786,116.82821140562325,152.22775568293017,113.68288297473536,126.12441711898414,148.28649837753744,128.8035638402217,116.2741225534686,138.07094347114659,123.57676887128008,136.74656603443117,172.91215557637958
1960,146.5466016295693,127.62160685398791,119.46481189425855,130.00476742135791,139.18998260040831,151.55093034011324,150.88063532179814,169.21651431653629,167.49659421561975,149.33340777824966,162.99203231025052,164.57457667633767,130.33545097245602,138.45024940709723,167.09345344678653,122.1630074954072,150.35968343289596,127.3867636705742,126.37476369688547,150.71540138692308,138.60372535745009,124.4782331230964,140.83630304609673,129.55191178505945,142.49607599913227,166.4145175185844
