Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,39.523100621139548,41.848434169874913,41.981095812555566,42.453023223883484,41.53116493969776,37.175222306096011,37.607964210683981,34.265054375684251,34.916702168704241,38.35124621562732,35.101746773420288,33.959027406002882,41.709599476766627,40.46848831973594,36.231484386806962,42.104119308431862,38.556714796521973,41.516724682650057,40.863717641576969,38.104541999429422,41.619460431989737,42.72810691269661,40.687108027315432,41.847725425076291,41.530427342163158,36.268196154020998
1952,38.461702388698257,40.560962764934366,42.590395627694271,42.399210680031373,40.412822106602604,36.596332227191922,37.198202615863607,33.563751040604977,34.787243157547707,37.23947963884828,35.238997314681875,33.707305414924349,40.125635469671899,38.891223471500275,35.674154157614019,41.688223578678233,37.279964485625563,39.980558220915839,39.220937062693565,36.882043986735859,40.056698440118865,41.74389163423664,39.296572220068285,41.539653109365169,40.706045979742768,35.715740166857131
1953,39.770977061675062,41.544468792994635,42.408183597070618,43.480188500510856,41.499253380692856,38.331660196149841,39.084547347853324,34.952215754238871,36.095618090116815,38.777091754777224,36.581804145424073,34.269433593133236,41.398406530839431,40.679874514968674,37.100983015596661,42.607602709892284,38.811952617270322,41.24406252006824,40.936801342307618,38.999932379951183,41.543192601907961,42.794232018262683,40.719248258345011,42.375124277264511,41.821522958213265,36.808396949468133
1954,40.048570280149555,41.928630609847986,42.600725839632155,43.007484088102544,41.905316448095178,38.025061890546112,38.114030874076199,33.878790624116142,35.844329033769441,39.034367804825273,36.10319123304123,32.7851298345375,41.483395378764889,40.796798073372273,36.643177701757061,42.669528000343107,39.064382339450511,41.372420226152094,40.952330264031083,39.005735887787893,41.73759750326991,42.944219094032633,41.001634404390835,42.751929861343896,42.145973377488538,36.067224345089159
1955,36.84259031874992,38.524049488280042,39.66892899725643,39.050666948939018,38.561404630387813,34.782097881423063,35.020476426407832,30.73490669293534,31.701588743775563,35.677571443793553,31.811504347285791,28.639078472265425,38.853260512849666,37.306505803455423,33.504974206404107,39.46550984369518,35.955071171840231,38.348506078672827,38.247470694624752,35.458565751669994,38.136562787929755,39.400186794419703,37.618787321940417,39.681223199616674,38.877071048579744,32.551977161128555
1956,34.201599173943045,35.909692155477011,36.623431047641219,36.669977709183819,35.960679703108966,32.423181195108526,32.935652909818813,29.72482804830614,29.825959155139682,33.099757618387287,29.789695900926066,27.882849657468117,36.237189482999348,35.07465473342203,31.567576579348891,36.561600308511295,33.836972622707478,35.724081366832429,35.482833079652131,33.076828439009198,35.989886431902889,36.833406287502335,35.443979556278308,36.859345951924055,36.014628146536054,30.847528317212749
1957,36.863593092552634,38.687577386503357,40.327991453024254,40.781467972742405,38.842003524260832,34.814693364356302,35.224701602345164,32.044633820600176,33.025035556270495,35.472210643843034,33.410246817889401,31.376531064868949,38.078177264148131,37.361606342499428,33.980992368994187,39.765724490205038,36.163142163563656,37.583678936329967,37.255918955823937,35.481552892010427,38.379335634644342,40.68954748561525,37.816975270909857,40.107460929590822,39.262189752713375,33.302512472129692
1958,36.663362381087836,38.75742182875485,40.284916278177533,40.730406092176572,38.825459613917289,34.11678666683666,34.4446479754534,31.214047498555182,31.13473065124445,35.073144666646392,31.566624882255407,29.739397433303967,38.907288035211408,37.989218618515636,33.439250549361311,39.516086345527249,35.804889913816218,38.537672857472892,38.239659890973833,34.943950913912744,38.592227647278477,40.473891742448799,37.783949276419918,40.138492945442017,39.250711679951308,31.815415672191989
1959,33.670843712301732,35.096706200591029,36.36605157269166,36.573155462053599,35.152697469845457,31.004460283817707,31.090016500709428,27.452701110368167,28.634449353261942,32.249708555144323,28.940938319223786,26.521042301940863,35.780414622828232,34.252548115883513,30.018039623302759,36.045225288521884,32.15933993402372,35.300542437171515,34.686024373891058,32.168570848631084,34.957373433107954,36.793731541239183,34.235883839535525,36.536724625768308,36.070521916702525,28.705323613596441
1960,38.063370332976611,39.972414815806687,41.235619045005194,41.204171151253888,39.83132439081934,35.341557328461406,36.126640206837898,32.715631155546298,33.02441849510155,36.99986342249629,33.596560983471058,31.853267361550753,40.751778518958183,39.535658237650274,34.859587923668165,40.879133937436585,37.197328780013699,40.127381038898847,39.855849263888629,36.972908600855327,40.357349680046248,41.293611285134631,39.472991538838677,41.154175395128107,40.44523999607712,33.596567233532063
