Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.0,0.0,0.0,0.0,0.0,0.0,0.10822148007518358,0.037059096504785734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033396400605797329,0.0,0.0,0.0
1953,3.7078230322463157,2.1908204240026219,2.0360981002377025,1.3924607734146153,3.6512510401084954,3.9057971359372954,4.4137305085733205,2.2597483564964893,2.5004441344772435,3.5561891968144832,1.3621040823177659,1.2860703362310468,1.0832775759692035,3.3355894159620556,3.9523172661117609,2.166910470377736,4.3994870086352265,1.0,1.0,3.6426510848730045,4.2002407293617132,2.2638817018538324,4.6995982470457323,2.2899688604487158,2.0,3.4243013658238115
1954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44448819420614649,0.0,0.0,0.033332275083595216,0.0,0.24996849291807019,0.0,0.0,0.0,0.033230270686617179,0.0,0.0,0.0
1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055596000919911404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052579918664054426,0.066626671292414508,0.28904064796943146,0.0,0.0
1957,0.45895391934419899,1.0,0.0,0.0,1.0868966610896018,0.056757512431037715,0.13097435264043614,0.0,0.0,0.11128155427845335,0.0,0.0,0.25008357405085563,0.94418069079671163,0.0,0.49975606407648099,0.033332275083595216,0.23117840461781961,0.50006301416388499,0.071483849060232571,1.0,0.52559155699659521,0.53304762692490126,0.34154183666225746,1.0,0.1056175703102175
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033332275083595216,0.0,0.0,0.0,0.0,0.0,0.033396400605797329,0.0,0.0,0.0
1959,0.0,0.14265494005856508,0.0,0.0,0.0,0.018919170810344624,0.043665270915896982,0.0,0.0,0.0,0.0,0.0,0.0,0.72213227777521416,0.0,0.0,0.19989352847285125,0.0,0.24996849291807019,0.0,0.0,0.0,0.19988001387725707,0.0,0.0,0.13204796672511254
1960,0.0,0.80922715885071106,0.0,0.0,0.43409534958142043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3337435362977907,0.0,0.0,0.46621783055483751,0.76943813454639975,1.0,0.0,1.0,0.26258846174317407,0.89908006437825427,0.0,0.0,0.0
1961,1.2517074289546113,3.1902539620174637,0.92632702661874078,0.0,3.4793950139861591,0.6993348182190251,2.4158900176849114,0.51890150414874125,0.0,0.0,0.0,0.0,3.4168060228797441,3.6656974329177681,1.0000002266689063,2.4997560640764807,1.4654850307478211,2.6165533739469313,3.6249842464589843,0.0,2.6007212364410233,2.7878717061172393,2.1998134430880376,2.2622999382791251,4.0,1.0560714364016877
