Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,1024.2017693304301,1731.3292067789148,1099.5308997348272,1087.0707907682659,1242.9125007148582,1644.1211020570022,1352.8218559547706,1504.849112189572,1372.4648125156107,1289.9146072765382,1093.7036179129316,1248.0491027215567,1110.0026845911102,1103.0443367918549,1467.6419798704312
1952,1054.6566402305818,1708.7444960213961,1128.2474876452197,1109.7867528994227,1196.4516252017779,1605.4374351134256,1336.9917142556535,1510.041372661047,1342.8455101176733,1233.5116841791792,1050.0768892994849,1197.1128987060304,1140.4237150007646,1041.2220711949146,1378.6370686561918
1953,1054.2875631363731,1608.2412055910759,989.492298320347,1020.1607855615464,1040.2887511459378,1439.0334804206273,1164.8237296585557,1349.4155582197855,1188.9769109066058,1047.8901516777073,930.70024050580241,1019.8750772111083,1019.246689389777,864.22612552337216,1166.5896094906391
1954,1055.7474984833805,1627.5072514800233,1046.0021830515686,1091.1940399626967,1110.5697957063583,1514.9545227350445,1238.2479059878308,1413.5130831198201,1272.0314855034235,1166.492697076864,979.90605528643277,1143.0191936570673,1065.0643083912073,989.61805115305333,1326.4084162969527
1955,1168.537574314332,1735.3150955187084,1130.9874638330855,1090.4584238557889,1219.8745680968409,1631.5557576323786,1344.8678655481906,1533.7050445680334,1376.9640962571457,1263.8054582426801,1079.2410400048459,1250.0782193740654,1174.996191064861,1104.9738534241606,1429.5979199741589
1956,1197.3141563035344,1821.4898290031861,1164.4417597771951,1085.1897197001174,1234.0564193929013,1730.7120034988145,1391.1486565629591,1628.802431685684,1418.825265347032,1279.4390240482203,1080.5213921139589,1257.7858987288082,1192.0649177524647,1057.7269455816192,1456.674544629768
1957,1072.072196102109,1677.1149505812398,1033.8339641700952,1018.5713767972358,1047.720915722392,1521.1585614852872,1270.8654268301575,1475.5391776536949,1265.0152834628689,1102.3509098363249,981.52796381303199,1108.9051314088422,1061.4229423626775,914.66633770678857,1296.5991987133345
1958,1120.0661404722969,1710.1519890855939,1107.1457252930629,1124.1681220753171,1168.612500915217,1633.1380145520943,1394.2956622526906,1570.204106771095,1363.7840265614805,1226.9872044322315,1079.5031346480016,1218.0145060612742,1139.5476085876221,1098.0315253382309,1422.8659193247436
1959,1078.8829128963373,1598.1553846612246,1055.6722947317242,1106.6354773469707,1116.6846247336985,1519.6038287989834,1318.1904810758404,1469.3120935412785,1298.7413566869279,1195.8251889056176,995.21433926388647,1195.420508061942,1062.3077488840136,1065.3282032574807,1383.5909034334743
1960,1118.6697701044143,1690.5899293390519,1063.0185560608297,1163.0008820021876,1189.9614073107684,1561.6967615286599,1344.9388786983584,1490.6777433228237,1337.5664428341972,1246.0358445840716,1013.6055072039709,1206.9908875138092,1144.7954247619614,1051.0343745007758,1381.2022553375073
1961,977.44150354909641,1464.1104916202089,956.78647240958151,905.40858630885327,1037.951330291522,1364.4388208715359,1178.634562295922,1334.261330142607,1175.290821354396,1089.6962821563461,926.31753912013289,1069.1102376932381,1009.9829892296412,950.8946138184557,1222.9162120483625
1962,1287.9431720222833,1920.7105372598412,1285.9003226893035,1204.7014630218757,1351.888690165388,1805.6293352442508,1608.0213302427151,1772.1259641884965,1557.8193920798799,1463.5822324127635,1136.6429464889034,1392.826161038108,1353.9343994937383,1215.4116613717201,1612.7152687043629
1963,1006.8823853667167,1519.5941545895178,993.75134015571348,978.47690248126787,1030.6878960923264,1418.5364914134441,1283.8480764296401,1348.4656980302509,1212.9076899858524,1123.8119577793941,951.64460113169582,1070.4912277572264,1027.7012175465316,927.88602401933997,1262.7751710909904
1964,1208.3757777796077,1698.9367819761364,1198.319186974602,1092.8513914069015,1310.5485847332964,1639.4171008606943,1458.3349728000039,1484.3356361816354,1423.8766624962191,1376.9642080968661,1100.9929424726358,1299.6617078370991,1245.2361686621359,1147.1659647956858,1489.3256435340759
1965,1287.176096318984,1795.7543653387104,1280.2709788011887,1210.5426358714449,1290.4348813576735,1730.1459918574233,1573.8379818694891,1642.4883516701082,1499.9123885788417,1381.5440605973897,1297.8582780912072,1345.7079749441598,1331.5325271306997,1194.9929507509457,1566.0133774199862
1966,1181.5064405937176,1683.5266281022559,1139.3182541831718,1083.1857672925662,1181.191300207083,1599.6160259474705,1399.0364174903868,1466.1577695157164,1375.2734645949345,1279.4358148355861,1173.4044155095776,1219.488731244508,1248.1263503242831,1038.6492637478186,1442.8619168507876
1967,1249.39778491535,1835.5951419089886,1275.9923887708378,1168.084327582282,1329.1948625111597,1689.8187872292435,1517.7565091760532,1592.1970382361856,1496.8129980450867,1406.6362484300578,1146.016760374669,1363.9313939298333,1367.783433631864,1231.6744572138118,1555.4024243168856
1968,1044.9635253032359,1581.8344650945535,1045.924769065299,915.87272803038695,1153.9064917798864,1487.85487802477,1289.524860901415,1388.4456408844719,1291.3477709201497,1241.3028416225502,932.68963885061703,1177.6677320515018,1139.9226450729241,1033.9982795721533,1371.7896417446736
1969,1140.8814638416977,1662.3961140853896,1145.7003336191965,1027.6619790343552,1227.6793937106038,1565.4304146441016,1396.7129077945358,1461.2869048842865,1374.0099423371651,1286.1541633401885,1039.5510357780636,1278.4866768550091,1254.7231627912513,1106.1880953083964,1442.3081384265993
1970,1087.9997847190534,1539.2890655083943,1051.4713412251028,961.27074083181151,1114.2230432192423,1441.870374291547,1284.0404777898013,1359.9475455811837,1283.3988523951134,1235.823903616483,945.16231292090151,1188.835534020958,1151.1868464381294,1096.5257585797021,1378.9771269043376
1971,1002.5921818280652,1517.4664496957264,1012.9375687273257,887.41442596461195,1087.132441892081,1407.2067280622459,1246.9000935993713,1301.6024231780314,1240.2199526954284,1207.8984151510651,680.86063463157882,1125.3506762998402,1092.6524122762862,972.24106914883589,1344.6127070357359
1972,1239.6035882620226,1925.3352451671155,1308.0308053267879,1173.1743127408765,1378.4455256429385,1800.6553801787825,1574.0262448786848,1690.3474675058628,1579.7854596142506,1536.7876465849795,1261.4928091942977,1430.5353295933412,1388.263968415841,1320.8402653818803,1694.9382579831677
1973,1129.9538503558681,1708.4043264301476,1136.8125075990722,1037.4173784536256,1225.1328529457712,1582.7383248165547,1355.7283213570204,1482.3711068705825,1388.8861208287351,1337.1108709707878,1183.1306692278856,1241.2181520887013,1246.1276065067611,1132.7353875915351,1481.3167465198292
1974,1222.2957358959188,1893.3913898935555,1239.3108310566911,1062.1228714119059,1331.5526008017323,1721.6070066712878,1503.5303631669299,1607.6429638828072,1520.4883963287075,1475.8721179516824,1126.9144193996949,1376.7718412792983,1342.5890003237316,1296.8773266086437,1627.1840450455861
1975,934.43972816578912,1558.6137956453622,922.92085822533795,816.86064325979669,1013.5797724535904,1419.3467546478944,1192.204137618663,1296.3099764965248,1210.4424434816901,1163.1291165469363,728.70360367452736,1052.0619459742763,1047.0359279026443,905.86219535843441,1330.0816744940448
1976,1344.0273253670273,2020.3703793493944,1422.9079537911712,1265.5572712442793,1405.2623366264168,1841.5734220773743,1634.0425638855029,1719.1041163483558,1641.014752664908,1552.9253651076797,1233.1665933487561,1477.1669247655518,1464.3989178055022,1338.8544917877766,1763.5521047432001
1977,1077.101810098756,1669.3644311078381,1115.1783099995787,1008.2685151777812,1183.3316214341123,1519.905721820073,1329.711235920397,1393.0867650282842,1341.8357056060645,1318.7875415751992,1002.7060633601243,1196.8942917321649,1178.9286444393781,1063.2239655366291,1432.5470143024643
1978,1231.8832931778643,1838.4786477962216,1325.1254181713139,1145.8488359209121,1337.98581452393,1703.1826767771952,1566.2046474391398,1581.2083212068083,1516.6911378168616,1435.5287176563045,985.63092532968108,1383.9411940990592,1386.4488823785705,1256.4088502487448,1596.4024186708082
