Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033770577809186866,0.0,0.0,0.0,0.0,0.0,0.017871489635793786
1952,0.27611348675705549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476122190374536,0.0,0.0,0.0,0.37763092522797564,0.0,0.0
1953,0.27624758820874029,0.26410677681219891,0.0,0.0,0.024468493646448469,0.24058254946050497,0.021225172239903643,0.36554063109060236,0.11650708786402125,0.0508748387772733,1.0,0.0,0.094615461129542944,0.16647335123550214,0.0
1954,0.0,0.16110745157580353,0.0,0.0,0.0,0.0,0.0,0.0,0.018469615181900191,0.0,0.0,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00337370597658441,0.016986453707819461,0.0,0.0,0.0,0.16663910682957336,0.0
1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026900492163331485,0.08452582716480854,0.0,0.066662333200015564,0.0,0.0,0.080030515762196774
1957,0.0,0.0,0.0,0.0,0.0,0.0,0.063885625151483869,0.0,0.0050823014548049324,0.0,0.0,0.0,0.0,0.0,0.0
1958,0.31077436146964943,0.08853305024307602,0.0,0.0,0.0,0.0,0.0,0.0,0.039037645006277308,0.033955970618662568,0.0,0.0,0.05676559160007294,0.3332782136591807,0.0089268758940721817
1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,0.0,0.0,0.10010506819989126,0.0,0.0,0.0,0.0,0.0,0.008499280670186073,0.0,0.0,0.0,0.0,0.16663910682960728,0.0
1962,0.72469313094619814,0.0,0.50069529317776584,1.0,0.0,0.0,0.0,0.0,0.12775519092541782,0.0,0.0,0.0,0.45360774220157191,0.0,0.017871489635793786
1963,0.0,0.0,0.0,0.0,0.24348419820327472,0.0,0.0,0.0,0.016752337769155825,0.0,0.0,0.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,0.0,0.048642769059969289,0.0,0.0,0.0,0.0050352762495605718,0.0,0.0,0.0,0.0,0.0,0.0089357448178978022
1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067708222965218619,0.0,0.0,0.10015790855395613,0.0,0.0,0.0089268758940721817
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.025007997245455729,0.0,0.0,0.0,0.0,0.0,0.040721640725992388,0.0,0.0,0.0,0.43369354338210048,0.0,0.0
1969,0.96604479783623809,0.0,0.1746161376769185,1.0,0.024395069714016969,0.0,0.0,0.0,0.19369855998263247,0.10201985801219556,0.0,0.26674786696989178,0.83064745873497381,0.16663910682960728,0.098602785924360642
1970,0.6558073754245699,0.0,1.100104621956782,1.0,0.97580122105053435,0.092503201192644907,0.0,0.0,0.50973339769241144,0.50876373024677801,1.0,1.3997103026754614,1.4343042104163335,1.6667217863408192,0.20585777798861082
1971,0.0,0.0,0.0,0.0,0.097678264642866594,0.0,0.0,0.0,0.013476302756565077,0.0,0.0,0.06659645861589529,0.0,0.16663910682960728,0.0089357448178978022
1972,0.0,0.0,0.024959188523826514,0.0,0.0,0.0,0.0,0.0,0.013529955493023341,0.0,0.0,0.16655702112385512,0.018786115358658904,0.16663910682960728,0.0
1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006769124173922024,0.0,0.0,0.0,0.018915722070595241,0.0,0.026816092744766654
1974,0.41422053871689135,0.1325440213532402,0.8254568821428091,0.49993995401123165,0.12217120385690863,0.25941760492565485,0.1914888747198365,0.26811815591438676,0.28309623584414045,0.016969557315492077,0.0,0.29981573365666075,1.0001296067119363,0.49975156489468281,0.035760695853737694
1975,0.0,0.0,0.0,0.0,0.048716512212355532,0.0,0.0,0.0,0.0067288788581749788,0.0,0.0,0.0,0.0,0.0,0.017871489635793786
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016918746652005493,0.0,0.0,0.033331166600004389,0.0,0.0,0.0
1977,0.10354679440982993,0.0,0.0,0.0,0.048642769059969289,0.0,0.0,0.0,0.015243138258205675,0.0,0.0,0.0,0.075385697915471089,0.0,0.0
1978,0.79273771873315457,0.029428271435258911,0.5008167344102924,0.8749549655084301,0.4635552158763141,0.036964087980007804,0.19159380240515958,0.048784083742774036,0.37292580509985201,0.10208740311655859,1.0,0.30017772642347673,0.98136241031303606,0.0,0.58180462959414458
1979,0.06905354652181829,0.64727361501181713,0.30004700946628282,0.0,0.85434062390816345,0.24086129492844918,0.2976149383432764,0.48752513215946192,0.55666313158906555,1.0676412962167656,0.0,0.63339050130338137,0.4903486487681632,0.66622491613021884,0.69627516097834063
1980,0.06898649577603029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006837180165262139,0.0,0.50011981379381965,0.0,0.0,0.0,0.0
1981,0.0,0.088386986858662586,0.0,0.0,1.0243950697140169,0.055631918209480304,0.14889152016369456,0.21943126795696985,0.16670651765999267,0.18624173194561963,0.0,0.13315994031778997,0.22602717302154809,0.66655622903255474,0.0089357448178978022
1982,0.0,0.014728763094132248,0.0,0.0,0.0,0.0,0.042450344479798646,0.0,0.0050655866713775139,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.034493247888011634,0.0,0.0,0.0,0.0,0.0,0.021225172239899323,0.0,0.018563653668666302,0.0,0.0,0.0,0.0,0.0,0.080288573925104273
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.67592116679135084,0.0,0.0,0.24104683876923194,0.063738615025144163,0.24394453627957979,0.17614418449129926,0.0,0.0,0.0,0.43450724884869424,0.0,0.25001385332585863
1987,0.0,0.058915034850605084,0.12491791980174544,0.0,0.41545071517952503,0.0,0.042471385675317427,0.048784083742774036,0.09782487603521435,0.271089639314188,0.0,0.033331166600011175,0.15067864011550069,0.16663910682960728,0.017871489635793786
1988,0.0,0.0,0.20062353677952388,0.0,0.0,0.0,0.0,0.0,0.028819399128596466,0.13555337882014029,0.0,0.0,0.018952550317203699,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033770577809186866,0.0,0.0,0.0,0.0,0.0,0.017871489635793786
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.86293432532179426,0.0,1.7242550623129738,1.0,0.46409403579982383,0.0,0.0,0.0,0.52057678141269481,0.59410227844099428,0.0,1.7000526758588566,1.604434549267822,1.5002484351053171,0.053738282633677054
1994,0.37868587246344182,0.0,0.27557415201510549,0.0,0.048912541725298374,0.0,0.0,0.0,0.12887512041771523,0.033939114630984153,0.0,0.29981573365666075,0.71585730464511854,0.49975156489468281,0.0
