Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,59.760581018537565,52.677620811056833,60.111824073054883,58.92118540009055,59.30689815227683,53.082140916203869,57.103776480098439,55.067717282899764,56.694149493972255,57.945740713183092,59.404276197871795,58.201742693644157,59.306961853498393,59.998363294977295,55.560670132644752
1952,61.315908641949179,54.093429338514504,61.682100537757805,58.137094755493059,61.048955034736615,54.149288911137312,58.688818451469587,56.15266557707151,58.3438419963597,59.87475953090523,60.564448695135205,60.255888960749971,60.907269702214954,62.307554535772447,57.812472236191695
1953,56.824840957175439,50.660903800768274,58.738742181104108,56.246737551923928,59.039072155504563,51.84827123086184,56.150337996274544,53.717006573177223,55.870828039984701,57.736841940974209,58.623646616694721,57.702890515372296,57.925747123786053,60.717783120734452,56.359703368666821
1954,56.76081341385747,51.11485438539345,57.938137580688675,55.092680804353861,58.492147535084513,52.33508989929782,55.834709067027582,53.933963112443656,55.497881738436796,57.21498663569902,58.20411262371524,57.085924678157049,57.186886205532723,59.986249233563996,55.364479361902852
1955,60.52790388102504,54.274458452954917,61.978966116365875,57.712391510369876,61.771186029389916,55.694089250046709,58.987642968956202,57.321216203745088,58.978901077873715,60.680654311049274,60.094080985579872,60.551178144655005,61.034501486488942,63.00280711893096,59.051529671204086
1956,58.030347840802456,51.161708364942143,59.293539226917602,58.35345261123733,59.266282269269389,51.986716792185561,56.295426041404454,54.011578183135242,56.100023633503483,58.061727727005696,58.102770742936535,57.654968292221795,58.274706413858624,60.677480217308684,55.980109909425934
1957,58.076892358484244,51.126383752721239,59.195997463403813,59.072622151789062,58.713426065370442,51.943411206448836,55.603878529207535,53.623629967982936,55.675267282528807,57.111560782815033,59.636997192409893,56.80045651389915,57.994123515049793,60.784727482873286,55.180782063435267
1958,58.524440440373041,51.394630318881362,59.523824968794329,57.498905718337646,58.748213059767693,52.722520290532124,55.732729671880037,53.655454288989283,56.050872859289839,57.529708821990695,57.824995304284201,57.726655119552639,58.579504604904429,60.064672814545929,55.789301207248407
1959,59.283495911339564,54.538068969025261,61.111446118091699,57.833101707418059,60.34710185722615,55.98727218644585,58.531253110462991,57.024120367084869,58.234392451703336,59.590923269141967,58.765497797173353,59.231767621862396,59.924254852647202,61.524549096833717,57.842312247102861
1960,58.562354572561752,50.814238540117536,59.965438587619239,55.730139661601825,58.510711557405763,52.784673327748543,55.813399380757183,53.991226689447551,55.985349710648336,57.268658233641048,58.428651325477894,57.649747808940162,59.400367180821199,60.821625300738461,55.358317447732176
1961,59.273255623867072,52.2013577208659,60.578701673906501,59.912477996358518,58.597583843268723,53.843818173032936,57.00081473911181,54.981073384214724,56.888380838644672,58.376166284193602,59.048748630013421,58.488709636630666,59.168018205933869,61.433480023650247,56.431359188848681
1962,56.786612350203455,50.690678671301477,57.94778964124157,58.366737822453111,56.808714450883315,51.870101979840385,54.519859447021503,52.722011994356755,54.685542328051397,56.09275508563794,58.084439675513877,55.955410226604727,56.292004665243283,59.315602720454997,54.268342600305949
1963,58.450749605520713,51.830388520841012,59.218242697438448,59.445290014243419,58.329156315830531,52.776536793999135,55.072553889164404,54.093517037853061,55.777265469361119,56.781135965588817,59.455142234786656,56.94437218754603,58.085428583726454,60.598729351577347,55.060425381931367
1964,57.494870136984687,50.594292331436186,57.893008728120009,58.290475987772687,56.457520396861263,51.975014368184702,53.924500026303015,53.870175062204687,54.581334178982765,55.380427988161792,58.639365888892378,56.023782528124435,56.946977760138928,58.801730229017799,53.574961723962488
1965,57.939450468881674,50.360624780818583,58.379284874926036,59.09661168933944,56.960526981189702,51.174096788135557,54.12638575139156,52.604364334399342,54.675130408188529,56.157475193409965,58.627861838657388,56.435825779493491,57.208516932471824,59.615711842873495,53.756206121603704
1966,58.5541784978316,51.860312259011764,59.506440950503666,59.032924665307711,58.29329387885835,52.463737570731254,55.817617607466609,54.109707497363367,55.918992555658782,57.202697042086378,57.178779605603481,57.648995155625371,57.801376208749922,61.107038848035245,55.314834276327346
1967,59.440249589849174,54.240878602771275,60.666030135453312,59.886952288794419,60.122246720860019,55.687911331878496,57.971672960830688,57.018030915993279,57.998516218126234,59.449290413279137,57.089503034270095,59.639485894589825,59.331284830260387,61.703128564408516,57.50677297565877
1968,58.487289294924338,52.785926210689681,59.570884058300997,59.088047118016412,58.197757265370882,53.440120819914263,56.124499523229709,54.689342347937952,56.225698159707974,57.220025105038033,57.251037391063981,57.716061773721364,57.940680130443013,60.730080856490943,55.515455109328322
1969,59.227649646114962,53.272878366271783,60.936868235579098,60.167662170568569,59.906346338938867,54.520029093002954,57.060345946752427,55.821522969321876,57.372889372248771,58.769284417264188,59.542330372190122,58.771552247191345,59.155160041861045,61.714208827461675,56.766507418113285
1970,59.743129123988346,52.881906043167454,60.803372108146576,60.7757472899942,59.847449331746127,54.406632717371622,56.615998038580322,55.473021601947984,57.104358820554701,58.363684721151984,59.780290450685243,58.33169881905215,58.971569704022968,60.972034969480944,56.292233110525274
1971,59.361478462787773,50.669159282296981,59.863701343975961,59.890796226627025,58.561348315094016,52.519812773278659,55.245349967513498,53.368480135848642,55.461706343621962,56.260854448088907,58.921810760211052,57.243437688776588,58.026815135327269,60.743942491613751,54.056080666855237
1972,59.334780640749486,52.814542322703851,58.960167210310708,59.635629795404469,58.569195865547783,54.456496869541276,56.976006204939004,55.460813454300052,56.603258954600321,57.355214455233892,56.656359656865142,58.17534874782821,57.737080313188713,59.6810327082109,56.171156922631795
1973,61.681893271632752,54.628408153242944,62.533596494519593,62.548417284937841,61.811052222119116,57.441296456883933,59.522982283586302,58.212928501998746,59.424903785852379,60.392705702219551,59.666059099737758,61.597108715354857,61.268750012306441,62.853352589734541,58.722311838144535
1974,59.474400801708015,51.175243354420488,59.037001902079318,60.410413951932505,58.037430591179913,53.738861661771409,56.407692708558876,54.554612519157743,55.698242375030034,56.039917593356272,59.083703819760373,57.615903830699679,57.097417472975472,59.412737498220487,54.437384201584457
1975,60.522431054274904,53.564066746237174,61.204038784033763,62.031937335541535,60.507588571735148,55.757576540221024,57.766787843248991,56.632149668946809,57.887494650064731,58.712696146935059,61.274555539817776,59.769222939883008,59.809166510741207,61.573162315619193,56.731228305310715
1976,60.171905309556124,52.704452795700824,58.93056073838769,60.62804757346256,59.61207072124467,54.805873418006257,56.940807898620946,56.050717799783769,56.893776624271545,57.79696529082986,59.24378449763023,59.073967163440244,58.76897600258588,61.49412814516478,55.590859749849898
1977,59.513856053339673,51.514556668923568,58.975207793444014,60.039608193269103,58.867852839551205,54.33849237088473,55.862972532058393,54.810191596830023,56.107760249302181,56.663218235931474,60.23074890260397,58.078391537576636,58.010486462194955,60.360480233326449,55.00414015998858
1978,59.488159258477495,51.591968945768997,58.462162597668012,59.937674706096914,58.783123221453423,53.618947570172828,55.536945847658586,54.831105972576339,56.182167800958581,57.578630131549438,62.575648252244129,58.108355313984873,57.762600386697031,60.372552000089755,55.598874680504274
1979,59.453168596321461,52.315071102059868,59.075001395739086,59.897313660219325,59.714438019667625,54.911003510264671,55.830496658241131,55.370517039257813,56.676728486299133,57.922824928499736,60.501057587471635,58.858046503248168,58.29807054085942,60.681247999574055,55.70989417868455
1980,60.088011665323577,52.51425902162994,58.997692245234461,60.177438974345314,58.471542368489068,54.314998504397771,55.703001718466261,54.724799653275376,56.413287336249837,57.343592708394951,61.664987463407272,58.705977547429264,58.749240644585221,60.739196320722606,55.150290825748627
1981,60.239827884853625,53.073846477189242,58.737312795114065,60.059607709518176,58.39725301579611,54.311031747489679,56.518105885677038,54.998280912063159,56.41153232713912,57.089188451693531,60.796325448373771,58.062037092796871,58.446737644743145,60.103206426149264,54.966158982045982
1982,58.336757209111241,50.41950880934607,56.29949770784787,57.062586047092879,55.79363637115717,52.393188679129956,53.48967436853566,52.943270023549715,54.279406240680807,55.333513874034267,58.437341240255904,56.510475123016683,56.146276290942588,58.139399863890688,53.407284206386606
1983,60.48275161039647,52.922994530354011,59.724271558741535,60.25365444147787,58.633282745778232,54.591449804570161,55.39107845305881,54.734336825909814,56.803653884713761,57.96273539357005,60.353104087236673,58.726762881152659,58.824833457227584,60.480598281648611,56.228511530610895
1984,61.240325427156883,53.287381415859379,60.662042583887491,62.06397728781814,60.163164561635995,55.139963534853258,56.677487338014828,55.87655653396358,57.869621363586205,59.453614722007771,61.017336639464986,59.759319035251487,60.575471813240036,60.442138358954715,57.285148029028683
1985,59.792475755572681,51.535436062505767,58.012246451756944,59.948758863438123,57.413069406616657,52.242439495146861,54.149493142319116,53.358531563446533,55.45566582410359,57.227436796537781,59.394581143144222,57.606602412871183,57.987358244565961,59.788822026774589,54.512015997436357
1986,59.135575004757378,51.77154182726251,57.277033998631516,59.034242010797115,56.311509131814312,52.227864229058881,54.572544935022094,53.576381175453982,55.009148867164285,55.890384188275206,59.188926569517363,56.904209955996485,57.191047225163437,59.217236939212356,53.967390030825264
1987,59.197629320432441,52.93067844585071,59.628625969156516,60.091972213753095,56.580195612754089,53.557447528376322,55.991166271248368,54.907642916944354,56.155540752241208,57.09429218462801,59.529004300929188,58.512137893479256,58.590585590829726,60.444449602719985,54.761402577779918
1988,60.909311245322925,53.760132983671475,61.836694528569424,61.384716135023673,59.46907919163192,54.9242474683805,57.276418746997642,55.956419397007949,57.962162144655991,59.35319865716032,60.89855549845668,60.42295586383942,60.754798464055334,62.557914886570934,56.955800123045272
1989,60.697409782877337,53.783671724625798,61.180198119332566,61.145360658932738,58.269881611046912,54.687314067742115,56.912884071380759,55.711449099257173,57.358831175861916,58.360240518732041,60.533811530429332,59.450035445226916,59.777764455495046,61.681119373271649,56.159508123206216
1990,61.450296891551915,53.809787414232773,61.959794186956465,61.968122419265583,59.539645612878893,55.961175936918245,57.590661028452871,56.845954384921157,58.185207243998192,58.964528035680587,61.505081835958734,60.066278476775558,61.19017569821353,61.859913764108995,57.004781245463761
1991,61.600586743794921,53.795155595326626,60.871912713426049,61.420861171661571,58.443998053096188,54.91677476966241,56.654083941440177,55.768478771307663,57.421169871938105,57.913388797880387,61.457461293485679,59.034094546759412,60.961472226956445,61.668270725776736,56.002084172964167
1992,59.223197248216167,50.806379335925641,58.323603787526778,58.692678928922305,56.470325715560968,52.082546803107839,53.815812417746265,52.598170971010461,54.885169455150319,55.910009762126883,58.886584563788119,57.176718450287559,58.266325504125682,59.091833296197187,53.632528444467191
1993,60.505877756821526,52.514532838529469,60.352236249799567,59.806260098208121,58.020455521211971,54.142561327297628,55.564192082179446,54.323099211693737,56.665893717621614,57.73719643269402,59.970256154147229,59.072744160760735,59.730169900906745,61.15785907393429,55.635953819716391
1994,62.554484450099544,54.410121896096264,62.582220979993409,62.818110210211884,60.941035688734132,55.999843855173161,57.789060310085866,55.235926247906875,58.81811232342514,60.10361740047464,62.197843964094936,61.53633932939357,62.37546981131544,63.214539082824871,57.736843477466792
1995,61.126588084586935,52.899309243598474,60.478859903086985,61.444490650786427,59.139372599101328,54.186434427841796,55.585741452934364,54.1813432568389,56.996924770424627,58.038806598750369,61.094881029334879,59.811198599241791,60.199728313674882,61.873920857068555,55.782438321418979
1996,60.165864576085824,53.237057560537572,60.629835300769251,60.081405177378642,59.289027808059465,54.839279025839261,57.01488305049552,55.575708457640367,57.582368724038588,59.015310034033845,59.749236819547683,60.118591193477322,59.994860756494262,61.196387967861156,57.078312239746815
1997,60.365011087662786,51.963434427155612,59.463016430891678,59.632617510806959,57.934347055791832,53.044155635780498,55.433880417862014,53.768983989393831,56.102659345792532,57.221535799475859,60.06450605068698,58.521113175679119,59.193772687939934,60.708527169767848,54.870875215689317
1998,60.756103913737121,55.069083457555088,61.250395179199089,60.875066159447783,59.699094392257372,55.289171924671138,57.887330929968726,56.372433879283896,58.247887200771729,59.323315047103542,60.58340527987383,60.459204540072498,60.277761586986522,62.198346387810822,57.557291313455387
1999,62.426202687977238,54.965257243936108,62.131680451243128,63.07500474678298,60.407672982090212,54.682829408943242,57.63375033970209,56.055618698320878,58.502115700333206,59.305923054385943,62.564283463164386,61.200059549998556,62.136107781004263,63.075733535447164,57.114500232305588
2000,59.977432533770653,52.811772614806749,59.757031002186984,59.956630434087515,58.248456704711153,52.765381739304068,55.119153126003816,53.997829869045646,56.185417433821627,56.72651752853848,60.191059576226337,58.574287681215516,59.444191517633968,60.376351587101809,54.97412727301132
2001,62.121662627079267,53.723462737065411,61.400882666333999,62.455783662514811,60.063392559519144,54.064121936004184,56.829840376435484,55.273865709111504,57.65933640437936,58.64421190656261,62.271483738387602,60.337494920624145,60.367127236102689,62.265317814318138,56.318254868135668
2002,61.618189465554224,54.954240404026436,60.035128288290103,61.231694537035736,59.65787627097361,54.627844216787103,57.239477465080327,55.620083791022303,57.537870332940621,58.511038965000957,61.67287546759065,59.81972715085837,60.121991434797792,62.278614893396785,55.565603852423585
2003,62.003185565795292,55.942889055360453,61.715828389159697,62.497533420134978,60.924408900270578,56.205963193655577,58.727811005253962,57.216803497194675,58.879942446503343,60.191265495113377,61.999348718239496,61.416652648236372,61.359044567390036,63.124676939925585,56.882480466989783
2004,59.911761228134438,54.441805461520325,59.211879511649869,60.107159244393905,58.857046699573829,53.886751350025143,56.791178251828761,55.211573735314424,56.909707810674043,57.948406585003028,59.936240523869245,59.533471483776836,58.972494923673338,61.368337848128064,55.393561516863052
2005,62.236276469769763,57.775037437869123,62.001787390541679,62.178994216693717,60.872081682609959,57.870971303948807,59.980246216564993,59.020944794227283,60.105034272122609,60.508203366960487,62.150873823097619,62.223462094912946,61.786947800172818,63.2951670560861,59.543821211135004
