Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,60.208526914993051,55.556071157519291,60.55438547928501,59.999581674715941,59.198487222553126,57.022575157979851,59.791877380842266,58.460365624087515,58.831119823281995,60.346251476552005,58.153248795178456,60.109118211268303,60.559950012888557,61.356682511338377,58.145084027525634
1952,60.628268776740555,55.71243611757675,61.104900037656812,60.133745728398409,59.497317023260116,57.644532791438955,59.999276706087556,58.716934543406353,59.177131757289601,60.66924344984303,57.780373392300739,60.81171612905198,60.96260148071859,61.506739584145464,58.430312901652272
1953,60.934925073867753,56.96447936205864,61.839177075309777,60.657988302945938,60.892096848208702,59.482564861169976,61.962606900234135,60.35433424808317,60.630954517593942,62.458253789096297,57.897302873872349,62.05382123626562,62.026340365982477,62.953330746748819,60.30362742967425
1954,58.831200642856537,54.129163021272205,59.782228267011959,58.803122090996844,58.601306303400207,56.199117120772073,59.139215689528584,57.147379643609611,57.964924576812869,59.67009311110678,56.433946800210002,59.609360341668989,60.000690640341489,60.484373012947927,57.384733518604556
1955,58.176677740446728,54.371219771232028,59.835604145752058,57.954355502575872,59.292332683037266,56.525395061266622,59.364800033870161,57.364568416217665,58.118646696542122,59.941054013390996,55.052130136221116,59.473430810506926,59.808033593146696,60.331414776261092,57.726253912257938
1956,57.700323191328145,52.885344677892618,59.137765374472018,57.570090841905312,58.168672014296021,55.040301946336697,57.857894793611464,55.69858252245259,57.017216584792251,58.967515380182078,55.542755211402181,58.621597808082583,59.039860182011786,59.345537335470382,56.710046550015306
1957,60.31933187738661,55.377479666731062,61.723637780615,59.684688293203031,60.546210985491975,58.21156379739022,60.539585184129479,58.552493350746175,59.700712564630727,61.641710171997346,57.396242125488889,61.840988074993909,61.597511290208914,61.643586894332117,59.390143460375967
1958,57.05023456970747,52.003300938071817,58.010146821016242,56.531992983829404,57.562000424021434,54.206595876915195,56.157398404115142,54.241004884182892,55.954415274809364,57.985080438814876,54.737762823139988,57.797539586423468,57.908973487540926,57.538139191316809,55.544725679476514
1959,59.277886846635148,55.380375897064617,60.891199409383908,58.652384647314669,60.072822433071153,56.807397393419301,59.398424427403377,57.163197088840391,58.754986453654453,60.69970854663265,56.148046015377076,60.669422014279249,60.726155848296528,60.204270480489001,58.212849704970481
1960,58.373054254154461,53.860630103257968,59.790200617049763,58.27747269047854,59.303647007890952,55.684490918995579,58.071746611241139,55.965246636480735,57.629120276062366,59.784459070326236,55.749522269456669,59.38072162280335,59.419497073445463,59.022406488499634,57.180130298941073
1961,58.074055995561501,53.821701902833389,59.660272248923718,57.35215964654666,59.286692886936599,55.843263585483065,58.156179187040493,56.045644146073542,57.557384560930068,59.156951983575865,55.213283377632699,59.238682374876753,59.412820382879261,58.842077900031867,57.281361296533156
1962,57.401976129266089,53.305509847560437,58.571130440394796,56.635173830402749,58.305516559628856,54.893892186227156,56.919918198187126,55.312982707182393,56.568748479089884,57.703526917400708,55.340416079978723,58.20230897957375,58.232692099597386,58.124797140726962,56.22208797013208
1963,58.629642294419043,53.764496900968176,59.877398537282474,57.606493759474759,59.732299138582235,55.961498189469111,57.237340911485873,56.113891946214046,57.612898135575506,59.332900887579228,56.033299442604751,59.561880723984686,59.693399052465594,60.069939516368173,57.102424009820012
1964,58.418703216831915,55.017053585102531,59.796347708359633,57.836941510119907,59.059264944535883,56.378694633988736,57.856081892776146,57.038156279751853,57.997263838662647,59.468953539716203,56.117547854412102,59.774945750147417,59.501384116670863,59.623381187485847,57.873761763587019
1965,57.964719925833499,53.817053675003081,59.184965294067439,57.157535594958624,59.256955450551281,55.626442641800033,57.506128885307774,56.273916663695211,57.364335532071763,59.130036478043479,55.253305400958347,59.403421821108928,58.888532400818086,59.51376711170375,56.963563702097098
