Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,63.68886316317343,56.728122501024494,62.911488332218866,63.790337857339587,60.612365090596732,58.486760970883921,61.194778734956223,59.965069258919826,60.583760436727864,61.836723195626959,62.110743263455007,61.681000486333062,62.901933261906073,63.129845318186163,59.757349365914507
1952,63.995467959330824,57.765067609520578,63.496648500961705,63.073932361786895,61.603573183194612,59.617893346900431,62.158378608407567,60.626155717524313,61.518237687967883,63.037139186573761,61.118000460039845,62.950901837658748,63.712354002110366,64.191117382510214,60.904359892127339
1953,64.223345748507896,60.557217305102867,65.071757730456255,64.803272202700413,64.05177409269254,63.280113372137144,65.806214249382279,64.320681885904605,64.235932492945935,65.974034857313868,62.053808828901929,65.543772691941825,65.363235787725884,66.395782071512983,64.124771041854729
1954,62.759901045849602,57.343303502922517,63.130225655643173,63.276979604278104,61.841173561860927,59.295898888216328,62.568852420933453,60.531305264589847,61.192982130882278,62.581250704403246,60.753709609379548,62.671725648234094,63.445716679673133,63.867340639507226,60.281222644968196
1955,61.249820196336465,55.963166996560787,61.795018573340357,61.804833962409674,60.501746247766263,57.882041561267037,60.779601010501182,58.662443268251238,59.773347776488706,61.312189484912146,59.700871439702802,61.067945154704951,61.932838926072129,62.005090731873295,59.147831754703574
1956,61.740379285900914,56.736001532738939,63.033353943148249,62.433206212772085,61.566897662272176,58.677393169803587,61.833680285070329,59.502481646337515,60.863809198869205,62.760909821941809,60.772573185242258,62.559036912583295,62.913373846964809,63.438680469210674,60.564647230265443
1957,63.382211887223903,58.04678543946757,64.60164339858288,63.637222697203931,63.795126838597433,60.807317065072652,63.335795170729185,61.216967582107479,62.675430411483525,64.825143794788502,61.679731201436226,64.958878919952198,64.55108235834021,64.950350913526236,62.558466419969882
1958,61.87830498017081,56.120380448189344,62.863486655731798,61.786403223089131,61.793737207727148,58.096556060637781,60.439714230798671,58.337950953658058,60.392229744163721,62.438560399055248,59.972248100041938,62.567187430180986,62.85907093763182,62.167884749573425,60.014067114428663
1959,63.928382083338917,58.471312189985788,64.9678686548218,64.008117912739692,63.133129858763731,59.740645963745663,62.592494647539155,60.281904339173657,62.121674621012808,63.792667345782789,61.883605612274714,64.002118245011303,64.764726290169506,63.777472519471466,61.230494051974595
1960,62.800759684614299,57.587088404759143,63.822438743159616,63.462511777991935,62.629119802663475,59.596450102585116,61.733277254073677,60.126331548481275,61.503436748521224,63.251837979489849,61.367442884259134,63.111177813781794,63.167825416432947,62.643492118208833,61.27676268084096
