Year,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,MA,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045546501979041351,0.16937353291273816,0.0,0.26645166942575421,0.093967741758593348,0.66655622903255474,0.0
1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,0.0,0.0,0.0,0.0,0.0,0.12961601951327226,0.0,0.0,0.023521778558257954,0.10154613409312842,0.0,0.0,0.0,0.0,0.0088823721535545852
1954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0,0.048716512212350578,0.0,0.0,0.0,0.018464555434093234,0.15218383838587388,0.0,0.0,0.0,0.0,0.0
1956,0.0,0.0,0.049820522010621295,0.0,0.0,0.0,0.10650399562204743,0.0,0.062572503869868679,0.033939114630984153,0.0,0.46660311748001421,0.15040039538921901,1.0,0.0
1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,0.0,0.0,0.29950972749651422,0.0,1.5593199282226515,0.018482043990007666,0.97908991458944283,0.097761920808980912,0.47045522196683903,1.3560543083585892,0.0,1.3002765382604464,0.18817645082522139,0.49991712220298135,0.17889117960999501
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016885288904591714,0.017003329887768513,0.0,0.0,0.0,0.0,0.0
1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,0.0,0.19141497307483563,0.0,0.0,0.95076827153332766,0.87029148399728484,0.8084271122847746,0.61018858257130859,0.58984583709968352,1.1185505738100876,0.0,1.0664976467789324,0.24434957704110016,1.6665562290325548,0.59774271005300172
1963,0.0,0.0,0.0,0.0,0.0,0.0,0.085173845109585977,0.0,0.010134418725473928,0.033820517090253542,0.0,0.0,0.0,0.0,0.0
1964,0.31020389703876361,0.0,1.6992227053281583,0.0,2.0,0.5001485319040575,1.0852369181339176,0.5613560024200881,1.003444211525655,1.6948877123640473,0.0,1.8335748072882663,1.7162090503763558,1.8333608931704266,0.68796826887990681
1965,0.0,0.0,0.44914255467824371,0.0,0.19484148711164698,0.037001276074233265,0.34046450910339021,0.097713511531344791,0.18915664156793599,0.37272003341517823,0.0,0.36657679933219051,0.35756680871187668,0.50024843510535111,0.080075083077211576
1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.14901748904451906,0.0,0.013533251115551448,0.016901770024849373,0.0,0.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0,0.0,0.0,0.085194810386763478,0.0,0.028755147567178146,0.034006659775540488,0.0,0.099993460138861984,0.11280955981331456,0.33344377096747918,0.0
1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050639107692105473,0.016986453707819461,0.0,0.0,0.0,0.33360932827574385,0.0
1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,0.0,0.0,0.14960837825754703,0.0,0.0,0.0,0.021288219958102126,0.0,0.011874809836462842,0.0,0.0,0.0,0.0,0.0,0.0
1975,0.0,0.0,0.59919009164650594,0.0,1.1461977891571029,0.907181526575361,0.23393929511798942,0.58545715297159173,0.65566449476711819,1.8476637311657911,0.0,1.4332061953184894,0.30139401932545729,1.6668875419348568,0.49958197722091369
1976,0.0,0.0,1.9971480401639659,0.0,0.82903830820453084,0.92590444437401787,1.4469055835128197,1.391048582991153,1.1299179981933685,2.0518053907866101,0.0,2.400269800132814,0.82920412140013988,1.8335266487644639,1.1796087948357254
1977,0.0,0.0,0.22446149490483386,0.0,1.2930585716780854,0.0,0.042576439916204252,0.0,0.16837647521772967,0.3056205715042673,0.0,0.29965100761363711,0.018786115358658904,0.6668875419349245,0.035707482331904149
1978,0.0,0.0,0.0,0.0,0.024345975237305053,0.12959739242283805,0.021288219958102126,0.0,0.0572722554997388,0.32245526060528656,0.0,0.0,0.0,0.0,0.053578876273047207
1979,0.0686500123286546,0.13276312527109849,1.0741210164511981,0.0,1.1703725001650331,1.0744667310110323,1.5957339800149559,1.2933592760986288,0.93874914525063802,1.4075903658767444,0.0,1.5999936585032986,0.79124203807960258,1.6668875419349245,0.75988004071155568
1980,0.0,0.0,0.0,0.0,0.0,0.14804233641941306,0.021288219958102126,0.0,0.023546929076190354,0.033939114630987595,0.0,0.0,0.0,0.0,0.026735953986851815
1981,0.0,0.0,0.82384801074251179,0.0,0.22004529475859477,0.0,0.0,0.0,0.10166676080102434,0.033854410755739979,0.0,0.26671508840068836,0.13198507873582799,0.16663910682960728,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067440561344236909,0.06791202204662998,0.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.47410204039765846,0.0,0.17066671863140975,0.18498781934523889,0.021309185235279613,0.0,0.13005176613375805,0.32226923883195918,0.0,0.43353540951612229,0.11319873906655203,0.33327801537337409,0.0
1987,0.34476349908570308,0.029530461479252111,1.9249516485242735,0.37501501149717303,1.8049621349815104,0.88901484296232913,0.95746571841819772,0.90289291085289369,1.099812252794133,1.661625501995126,0.0,1.9667347476060564,1.4716347538303565,1.3331124580651095,1.0005858467474016
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.22208205462584535,0.0,0.0,0.031900534292989328,0.067624057139955729,0.0,0.0,0.0,0.0,0.026656038389671902
1990,0.0,0.16229358675035663,0.77427093777468226,0.0,0.51293300833620148,0.98105404156022435,0.78753794151415091,0.39044210252932998,0.62294179839866748,1.051061304256921,0.0,1.3333115866777416,0.73477233171571066,1.0,0.47316600494351096
1991,0.0,0.0,0.074877476444733526,0.0,0.0,0.018482043990007666,0.0,0.0,0.016951924592130619,0.0,0.0,0.0,0.094393861688578967,0.16663910682960728,0.0
1992,0.10347970262013238,0.0,2.0493084619870259,0.0,1.5603500703641475,1.5367602036303232,1.0640326099467301,0.8783554668581155,1.205398407225865,2.0849322481254591,0.0,2.5003292935394694,1.3958434265933499,1.6668875419348905,1.0173379639263751
